<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FORLU.US,D,20240419,000000,10.85,10.85,10.85,10.85,100,0
FORLU.US,D,20240422,000000,10.85,10.85,10.85,10.85,100,0
FORLU.US,D,20240423,000000,10.85,10.85,10.85,10.85,100,0
FORLU.US,D,20240424,000000,10.85,10.85,10.85,10.85,100,0
FORLU.US,D,20240425,000000,10.85,10.85,10.85,10.85,100,0
FORLU.US,D,20240530,000000,10.99,10.99,10.92,10.92,206,0
FORLU.US,D,20240605,000000,10.94,10.94,10.94,10.94,7100,0
FORLU.US,D,20240626,000000,11,11.1002,10.95,10.95,2451,0
FORLU.US,D,20240701,000000,10.97,10.97,10.97,10.97,101,0
FORLU.US,D,20240726,000000,11,11.03,11,11.03,259,0
FORLU.US,D,20241203,000000,11.3,11.3,11.04,11.04,202,0
