<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FREE.US,D,20190515,000000,9.68,9.68,9.68,9.68,50000,0
FREE.US,D,20190517,000000,9.68,9.68,9.68,9.68,50000,0
FREE.US,D,20190523,000000,9.7,9.7,9.7,9.7,20000,0
FREE.US,D,20190606,000000,9.7,9.7,9.7,9.7,55000,0
FREE.US,D,20190610,000000,9.7,9.7,9.7,9.7,100000,0
FREE.US,D,20190612,000000,9.71,9.71,9.71,9.71,602601,0
FREE.US,D,20190614,000000,9.73,9.73,9.7084,9.71,17701,0
FREE.US,D,20190617,000000,9.71,9.71,9.71,9.71,1500,0
FREE.US,D,20190618,000000,9.71,9.75,9.71,9.71,514399,0
FREE.US,D,20190619,000000,9.74,9.74,9.7,9.7,57401,0
FREE.US,D,20190620,000000,9.71,9.74,9.71,9.72,1436700,0
FREE.US,D,20190624,000000,9.73,9.73,9.7207,9.727,3403,0
FREE.US,D,20190625,000000,9.73,9.73,9.73,9.73,205200,0
FREE.US,D,20190626,000000,9.75,9.75,9.75,9.75,2000,0
FREE.US,D,20190627,000000,9.75,9.75,9.75,9.75,8000,0
FREE.US,D,20190701,000000,9.74,9.79,9.74,9.79,5600,0
FREE.US,D,20190702,000000,9.78,9.78,9.74,9.74,1501,0
FREE.US,D,20190703,000000,9.74,9.74,9.74,9.74,22700,0
FREE.US,D,20190705,000000,9.8,9.8,9.8,9.8,1100,0
FREE.US,D,20190709,000000,9.74,9.8,9.74,9.8,43499,0
FREE.US,D,20190710,000000,9.8,9.8,9.8,9.8,101,0
FREE.US,D,20190711,000000,9.77,9.77,9.77,9.77,1000,0
FREE.US,D,20190715,000000,9.75,9.8,9.75,9.8,21002,0
FREE.US,D,20190717,000000,9.74,9.8,9.73,9.8,5305,0
FREE.US,D,20190718,000000,9.8,9.81,9.75,9.8,149100,0
FREE.US,D,20190719,000000,9.8,9.8,9.8,9.8,1000,0
FREE.US,D,20190722,000000,9.75,9.8,9.75,9.795,4901,0
FREE.US,D,20190724,000000,9.77,9.81,9.77,9.81,2802,0
FREE.US,D,20190725,000000,9.81,9.81,9.78,9.78,105582,0
FREE.US,D,20190729,000000,9.81,9.81,9.79,9.79,5201,0
FREE.US,D,20190801,000000,9.765,9.82,9.765,9.82,100102,0
FREE.US,D,20190805,000000,9.64,9.82,9.64,9.82,106800,0
FREE.US,D,20190806,000000,9.83,9.83,9.83,9.83,2904,0
FREE.US,D,20190809,000000,9.83,9.83,9.83,9.83,7747,0
FREE.US,D,20190812,000000,9.83,9.83,9.83,9.83,15033,0
FREE.US,D,20190814,000000,9.83,9.83,9.83,9.83,130522,0
FREE.US,D,20190816,000000,9.76,9.8012,9.76,9.8012,202121,0
FREE.US,D,20190820,000000,9.7947,9.83,9.7947,9.82,428525,0
FREE.US,D,20190821,000000,9.83,9.83,9.83,9.83,505,0
FREE.US,D,20190822,000000,9.85,9.85,9.85,9.85,157,0
FREE.US,D,20190823,000000,9.85,9.85,9.84,9.85,1788,0
FREE.US,D,20190826,000000,9.85,9.9,9.85,9.88,203209,0
FREE.US,D,20190827,000000,9.83,9.88,9.83,9.88,4684,0
FREE.US,D,20190828,000000,9.88,9.88,9.88,9.88,55026,0
FREE.US,D,20190830,000000,9.88,9.88,9.88,9.88,23812,0
FREE.US,D,20190903,000000,9.87,9.87,9.87,9.87,108630,0
FREE.US,D,20190909,000000,9.86,9.86,9.85,9.85,24037,0
FREE.US,D,20190910,000000,9.83,9.9,9.83,9.9,909317,0
