<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FVNNU.US,D,20240913,000000,10.0131,10.02,10.01,10.01,321691,0
FVNNU.US,D,20240916,000000,10.01,10.015,10.01,10.015,110347,0
FVNNU.US,D,20240917,000000,10.01,10.02,10.005,10.02,185377,0
FVNNU.US,D,20240918,000000,10.02,10.02,10.0106,10.02,2824,0
FVNNU.US,D,20240919,000000,10.01,10.02,9.99,10.02,4856,0
FVNNU.US,D,20240920,000000,10.02,10.02,10.01,10.02,2243,0
FVNNU.US,D,20240923,000000,10.02,10.02,10.01,10.02,1924,0
FVNNU.US,D,20240924,000000,10.02,10.02,10.02,10.02,6005,0
FVNNU.US,D,20240925,000000,10.02,10.02,10.02,10.02,404,0
FVNNU.US,D,20240926,000000,10.02,10.02,10.01,10.02,108651,0
FVNNU.US,D,20240927,000000,10.02,10.02,10,10.0116,65490,0
FVNNU.US,D,20240930,000000,10.02,10.02,10.01,10.01,299,0
FVNNU.US,D,20241001,000000,10.02,10.02,10.02,10.02,25000,0
FVNNU.US,D,20241002,000000,10.02,10.02,10.02,10.02,1199,0
FVNNU.US,D,20241004,000000,10.02,10.02,10.01,10.02,2523,0
FVNNU.US,D,20241007,000000,10.02,10.02,10.015,10.02,2730,0
FVNNU.US,D,20241008,000000,10.02,10.02,10.015,10.02,5270,0
FVNNU.US,D,20241009,000000,10.02,10.02,10.0199,10.02,20350,0
FVNNU.US,D,20241010,000000,10.02,10.02,10.02,10.02,111,0
FVNNU.US,D,20241015,000000,10.02,10.02,10.01,10.02,13347,0
FVNNU.US,D,20241016,000000,10.02,10.02,10.015,10.02,63628,0
FVNNU.US,D,20241022,000000,10.03,10.04,10.03,10.04,3695,0
FVNNU.US,D,20241023,000000,10.04,10.04,10.04,10.04,49262,0
FVNNU.US,D,20241024,000000,10.04,10.04,10.04,10.04,83114,0
FVNNU.US,D,20241025,000000,10.04,10.04,10.04,10.04,44172,0
FVNNU.US,D,20241028,000000,10.05,10.055,10.05,10.055,26167,0
FVNNU.US,D,20241029,000000,10.05,10.07,10.05,10.07,17572,0
FVNNU.US,D,20241030,000000,10.06,10.06,10.06,10.06,1050,0
FVNNU.US,D,20241031,000000,10.07,10.07,10.07,10.07,306,0
FVNNU.US,D,20241101,000000,10.07,10.07,10.07,10.07,27750,0
FVNNU.US,D,20241105,000000,10.07,10.07,10.07,10.07,404,0
FVNNU.US,D,20241111,000000,10.076,10.076,10.076,10.076,100,0
FVNNU.US,D,20241114,000000,10.08,10.1,10.08,10.1,4276,0
FVNNU.US,D,20241119,000000,10.07,10.07,10.07,10.07,1470,0
FVNNU.US,D,20241120,000000,10.07,10.1,10.07,10.07,245375,0
FVNNU.US,D,20241125,000000,10.1,10.1,10.1,10.1,6257,0
FVNNU.US,D,20241126,000000,10.2055,10.2055,10.09,10.11,101818,0
FVNNU.US,D,20241129,000000,10.12,10.12,10.12,10.12,291,0
FVNNU.US,D,20241205,000000,10.59,10.59,10.59,10.59,196,0
FVNNU.US,D,20241209,000000,10.09,10.12,10.09,10.12,889,0
FVNNU.US,D,20241211,000000,10.5,11.02,10.395,11.02,5121,0
FVNNU.US,D,20241213,000000,10.82,10.82,10.82,10.82,569,0
FVNNU.US,D,20241216,000000,10.82,10.82,10.15,10.15,418,0
FVNNU.US,D,20241217,000000,10.14,10.14,10.14,10.14,211,0
FVNNU.US,D,20241218,000000,10.33,10.33,10.33,10.33,510,0
FVNNU.US,D,20241219,000000,10.33,10.515,10.09,10.515,4405,0
FVNNU.US,D,20250121,000000,10.19,10.19,10.19,10.19,121,0
FVNNU.US,D,20250128,000000,10.52,10.52,10.52,10.52,100,0
FVNNU.US,D,20250207,000000,10.21,10.21,10.21,10.21,279,0
