<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GAINI.US,D,20241219,000000,25.25,25.35,25.12,25.2001,68873,0
GAINI.US,D,20241220,000000,25.25,25.35,25.2,25.34,34380,0
GAINI.US,D,20241223,000000,25.34,25.4,25.17,25.195,22210,0
GAINI.US,D,20241224,000000,25.25,25.25,25.09,25.17,10604,0
GAINI.US,D,20241226,000000,25.15,25.26,25.15,25.23,10987,0
GAINI.US,D,20241227,000000,25.194,25.23,25.13,25.21,17563,0
GAINI.US,D,20241230,000000,25.23,25.28,25.15,25.28,87270,0
GAINI.US,D,20241231,000000,25.3,25.39,25.1,25.37,862878,0
GAINI.US,D,20250102,000000,25.37,25.37,25.2,25.31,60653,0
GAINI.US,D,20250103,000000,25.3,25.3999,25.25,25.33,40833,0
GAINI.US,D,20250106,000000,25.38,25.4,25.32,25.37,92966,0
GAINI.US,D,20250107,000000,25.37,25.4,25.3,25.35,32750,0
GAINI.US,D,20250108,000000,25.37,25.39,25.3,25.33,38662,0
GAINI.US,D,20250110,000000,25.3,25.365,25.28,25.3,42712,0
GAINI.US,D,20250113,000000,25.3,25.37,25.18,25.25,45229,0
GAINI.US,D,20250114,000000,25.3,25.3,25.28,25.28,9553,0
GAINI.US,D,20250115,000000,25.24,25.34,25.24,25.27,36235,0
GAINI.US,D,20250116,000000,25.3399,25.34,25.27,25.27,20956,0
GAINI.US,D,20250117,000000,25.37,25.37,25.2701,25.3599,14607,0
GAINI.US,D,20250121,000000,25.37,25.39,25.28,25.35,19167,0
GAINI.US,D,20250122,000000,25.34,25.348,25.28,25.341,19949,0
GAINI.US,D,20250123,000000,25.32,25.3399,25.29,25.3,18043,0
GAINI.US,D,20250124,000000,25.31,25.35,25.3,25.31,12418,0
GAINI.US,D,20250127,000000,25.35,25.38,25.34,25.37,9986,0
GAINI.US,D,20250128,000000,25.37,25.42,25.37,25.4,19905,0
GAINI.US,D,20250129,000000,25.42,25.42,25.37,25.42,6865,0
GAINI.US,D,20250130,000000,25.37,25.43,25.37,25.43,10576,0
GAINI.US,D,20250131,000000,25.38,25.43,25.37,25.38,17479,0
GAINI.US,D,20250203,000000,25.44,25.5,25.4,25.45,32386,0
GAINI.US,D,20250204,000000,25.47,25.47,25.37,25.37,26464,0
GAINI.US,D,20250205,000000,25.41,25.43,25.3298,25.42,24714,0
GAINI.US,D,20250206,000000,25.4,25.44,25.3298,25.43,40122,0
GAINI.US,D,20250207,000000,25.43,25.44,25.2901,25.32,36128,0
GAINI.US,D,20250210,000000,25.45,25.45,25.2499,25.3,46312,0
GAINI.US,D,20250211,000000,25.3,25.35,25.24,25.33,29150,0
GAINI.US,D,20250212,000000,25.33,25.35,25.23,25.26,30250,0
GAINI.US,D,20250213,000000,25.31,25.34,25.27,25.34,17954,0
