<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GHIXU.US,D,20240801,000000,11.15,11.15,10.79,10.8,300,0
GHIXU.US,D,20240802,000000,11.15,13.9,11.15,11.33,14036,0
GHIXU.US,D,20240805,000000,11.37,12.88,10.71,11.11,12337,0
GHIXU.US,D,20240806,000000,11.17,11.17,10.61,10.61,974,0
GHIXU.US,D,20240807,000000,11.17,11.69,11.17,11.55,2561,0
GHIXU.US,D,20240808,000000,11.31,11.84,11.31,11.84,837,0
GHIXU.US,D,20240812,000000,11.54,12.28,11.01,11.1,10009,0
GHIXU.US,D,20240813,000000,11.1,11.1,10.78,11,3490,0
GHIXU.US,D,20240814,000000,11,11.87,10.9,11.1,7071,0
GHIXU.US,D,20240815,000000,11.13,11.67,10.91,11.05,1881,0
GHIXU.US,D,20240816,000000,11,11.81,10.93,11.79,8038,0
GHIXU.US,D,20240819,000000,11,11.99,11,11.99,1013,0
GHIXU.US,D,20240820,000000,12.57,12.57,11.61,11.99,3386,0
GHIXU.US,D,20240821,000000,12.41,12.5,11.05,12.5,6966,0
GHIXU.US,D,20240822,000000,12.99,12.99,11.52,11.98,3398,0
GHIXU.US,D,20240823,000000,11.65,13.05,11.22,11.99,6235,0
GHIXU.US,D,20240826,000000,12.29,12.9,11.44,11.89,11891,0
GHIXU.US,D,20240827,000000,11.11,12.47,11.11,11.99,6673,0
GHIXU.US,D,20240828,000000,11.63,11.9,11.41,11.9,1231,0
GHIXU.US,D,20240829,000000,11.97,12.99,11.22,11.8,2723,0
GHIXU.US,D,20240830,000000,11.22,11.64,11.2,11.64,2333,0
GHIXU.US,D,20240903,000000,12,12,10.81,11.5,1678,0
GHIXU.US,D,20240904,000000,11.34,11.74,10.71,11.3,4774,0
GHIXU.US,D,20240905,000000,10.7,10.73,10.58,10.58,4457,0
GHIXU.US,D,20240909,000000,10.58,10.58,10.58,10.58,148,0
GHIXU.US,D,20240910,000000,10.58,10.58,10.58,10.58,1214,0
GHIXU.US,D,20240911,000000,10.6,10.6,10.6,10.6,150,0
GHIXU.US,D,20240913,000000,10.59,10.59,10.58,10.58,853,0
GHIXU.US,D,20240916,000000,10.54,10.54,10.54,10.54,352,0
GHIXU.US,D,20240918,000000,10.58,10.58,10.58,10.58,495,0
GHIXU.US,D,20240923,000000,10.58,10.58,10.58,10.58,1310,0
GHIXU.US,D,20241101,000000,10.59,10.59,10.59,10.59,301,0
GHIXU.US,D,20241119,000000,10.58,10.58,10.58,10.58,1002,0
GHIXU.US,D,20241122,000000,10.58,10.58,10.58,10.58,278,0
GHIXU.US,D,20241125,000000,10.58,10.58,10.31,10.31,5400,0
