<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GLACU.US,D,20231115,000000,10.1603,10.18,10.16,10.17,295219,0
GLACU.US,D,20231116,000000,10.18,10.19,10.17,10.17,817886,0
GLACU.US,D,20231117,000000,10.19,10.2,10.1712,10.175,86779,0
GLACU.US,D,20231120,000000,10.18,10.18,10.17,10.17,42113,0
GLACU.US,D,20231121,000000,10.17,10.17,10.165,10.17,16436,0
GLACU.US,D,20231122,000000,10.1701,10.1701,10.17,10.1701,1360,0
GLACU.US,D,20231124,000000,10.17,10.17,10.17,10.17,236,0
GLACU.US,D,20231128,000000,10.17,10.17,10.16,10.17,2760,0
GLACU.US,D,20231129,000000,10.1809,10.1809,10.16,10.16,9291,0
GLACU.US,D,20231130,000000,10.19,10.2,10.19,10.2,177715,0
GLACU.US,D,20231201,000000,10.21,10.21,10.2,10.21,60723,0
GLACU.US,D,20231204,000000,10.22,10.23,10.2177,10.23,227801,0
GLACU.US,D,20231205,000000,10.23,10.25,10.23,10.25,130857,0
GLACU.US,D,20231206,000000,10.25,10.25,10.25,10.25,139,0
GLACU.US,D,20231207,000000,10.26,10.26,10.25,10.26,780,0
GLACU.US,D,20231208,000000,10.26,10.26,10.26,10.26,620,0
GLACU.US,D,20231211,000000,10.34,10.34,10.25,10.25,203,0
GLACU.US,D,20231212,000000,10.26,10.27,10.26,10.27,742,0
GLACU.US,D,20231214,000000,10.22,10.26,10.22,10.26,1803,0
GLACU.US,D,20231215,000000,10.33,10.33,10.26,10.26,757,0
GLACU.US,D,20231218,000000,10.18,10.26,10.18,10.21,803,0
GLACU.US,D,20231219,000000,10.32,10.32,10.23,10.23,200,0
GLACU.US,D,20231220,000000,10.36,10.36,10.23,10.23,200,0
GLACU.US,D,20231221,000000,10.35,10.35,10.23,10.23,1120,0
GLACU.US,D,20231222,000000,10.35,10.35,10.23,10.23,203,0
GLACU.US,D,20231226,000000,10.2287,10.2287,10.2287,10.2287,103,0
GLACU.US,D,20231227,000000,10.22,10.25,10.22,10.25,1803,0
GLACU.US,D,20231229,000000,10.22,10.25,10.22,10.25,248,0
GLACU.US,D,20240103,000000,10.236,10.31,10.236,10.28,5614,0
GLACU.US,D,20240104,000000,10.275,10.44,10.275,10.44,9260,0
GLACU.US,D,20240109,000000,10.48,10.49,10.26,10.26,700,0
GLACU.US,D,20240112,000000,10.4,10.4,10.29,10.29,200,0
GLACU.US,D,20240122,000000,10.5,10.5,10.33,10.33,400,0
GLACU.US,D,20240129,000000,10.3242,10.3242,10.32,10.32,7465,0
GLACU.US,D,20240206,000000,10.32,10.32,10.32,10.32,100,0
GLACU.US,D,20240207,000000,10.32,10.32,10.32,10.32,100,0
GLACU.US,D,20240208,000000,10.32,10.32,10.32,10.32,110,0
GLACU.US,D,20240209,000000,10.32,10.32,10.32,10.32,100,0
GLACU.US,D,20240212,000000,10.49,10.49,10.32,10.32,300,0
GLACU.US,D,20240213,000000,10.32,10.32,10.32,10.32,100,0
GLACU.US,D,20240214,000000,10.32,10.32,10.32,10.32,100,0
GLACU.US,D,20240215,000000,10.32,10.32,10.32,10.32,120,0
GLACU.US,D,20240216,000000,10.3,10.3,10.3,10.3,100,0
GLACU.US,D,20240220,000000,10.3,10.3,10.3,10.3,100,0
GLACU.US,D,20240221,000000,10.3,10.3,10.3,10.3,100,0
GLACU.US,D,20240222,000000,10.3,10.3,10.3,10.3,100,0
GLACU.US,D,20240223,000000,10.3,10.3,10.3,10.3,100,0
GLACU.US,D,20240226,000000,10.3,10.3,10.3,10.3,100,0
GLACU.US,D,20240227,000000,10.316,10.316,10.3,10.3,200,0
GLACU.US,D,20240306,000000,10.34,10.34,10.34,10.34,100,0
GLACU.US,D,20240307,000000,10.34,10.34,10.34,10.34,100,0
GLACU.US,D,20240308,000000,10.34,10.34,10.34,10.34,100,0
GLACU.US,D,20240311,000000,10.38,10.38,10.38,10.38,120,0
GLACU.US,D,20240312,000000,10.38,10.38,10.38,10.38,100,0
GLACU.US,D,20240313,000000,10.38,10.38,10.38,10.38,100,0
GLACU.US,D,20240315,000000,10.36,10.36,10.36,10.36,100,0
GLACU.US,D,20240318,000000,10.43,10.43,10.43,10.43,600,0
GLACU.US,D,20240326,000000,10.464,10.464,10.4,10.4,830,0
GLACU.US,D,20240402,000000,10.44,10.44,10.44,10.44,100,0
GLACU.US,D,20240403,000000,10.44,10.44,10.44,10.44,100,0
GLACU.US,D,20240405,000000,10.44,10.44,10.44,10.44,100,0
GLACU.US,D,20240408,000000,10.44,10.44,10.44,10.44,136,0
GLACU.US,D,20240409,000000,10.44,10.44,10.44,10.44,100,0
GLACU.US,D,20240410,000000,10.44,10.44,10.44,10.44,100,0
GLACU.US,D,20240411,000000,10.44,10.44,10.44,10.44,100,0
GLACU.US,D,20240412,000000,10.44,10.44,10.44,10.44,100,0
GLACU.US,D,20240416,000000,10.4,10.4,10.4,10.4,100,0
GLACU.US,D,20240418,000000,10.4,10.4,10.4,10.4,100,0
GLACU.US,D,20240419,000000,10.4,10.4,10.4,10.4,100,0
GLACU.US,D,20240422,000000,10.4,10.4,10.4,10.4,100,0
GLACU.US,D,20240423,000000,10.4,10.4,10.4,10.4,100,0
