<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GLLI.US,D,20211228,000000,9.78,9.83,9.78,9.8,747802,0
GLLI.US,D,20211229,000000,9.8,9.855,9.8,9.8,343236,0
GLLI.US,D,20211230,000000,9.8,9.82,9.8,9.82,170586,0
GLLI.US,D,20220103,000000,9.8,9.82,9.8,9.82,863913,0
GLLI.US,D,20220104,000000,9.82,9.82,9.8,9.8,172578,0
GLLI.US,D,20220105,000000,9.82,9.83,9.8,9.8,18042,0
GLLI.US,D,20220106,000000,9.82,9.82,9.81,9.81,16735,0
GLLI.US,D,20220107,000000,9.82,9.83,9.815,9.83,17720,0
GLLI.US,D,20220110,000000,9.83,9.83,9.83,9.83,66746,0
GLLI.US,D,20220111,000000,9.83,9.84,9.82,9.84,295127,0
GLLI.US,D,20220112,000000,9.84,9.84,9.83,9.84,20098,0
GLLI.US,D,20220114,000000,9.84,9.84,9.84,9.84,1112,0
GLLI.US,D,20220118,000000,9.85,9.85,9.85,9.85,71150,0
GLLI.US,D,20220119,000000,9.84,9.89,9.83,9.83,54698,0
GLLI.US,D,20220120,000000,9.81,9.835,9.81,9.82,10610,0
GLLI.US,D,20220121,000000,9.79,9.83,9.79,9.83,1110,0
GLLI.US,D,20220126,000000,9.81,9.81,9.79,9.79,19903,0
GLLI.US,D,20220128,000000,9.811,9.811,9.811,9.811,224,0
GLLI.US,D,20220131,000000,9.83,9.83,9.825,9.825,9481,0
GLLI.US,D,20220202,000000,9.82,9.83,9.8127,9.83,7710,0
GLLI.US,D,20220204,000000,9.83,9.84,9.83,9.84,100830,0
GLLI.US,D,20220209,000000,9.83,9.83,9.83,9.83,151,0
GLLI.US,D,20220211,000000,9.85,9.85,9.85,9.85,318,0
GLLI.US,D,20220216,000000,9.85,9.89,9.85,9.88,38401,0
GLLI.US,D,20220222,000000,9.8491,9.8491,9.8491,9.8491,506,0
GLLI.US,D,20220224,000000,9.8554,9.8554,9.8554,9.8554,506,0
GLLI.US,D,20220301,000000,9.86,9.89,9.86,9.89,10156,0
