<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GLLIR.US,D,20211228,000000,0.26,0.26,0.23,0.23,136484,0
GLLIR.US,D,20211229,000000,0.2405,0.275,0.22,0.2297,550900,0
GLLIR.US,D,20211230,000000,0.23,0.26,0.23,0.23,251000,0
GLLIR.US,D,20211231,000000,0.25,0.28,0.25,0.28,9892,0
GLLIR.US,D,20220103,000000,0.29,0.2997,0.288,0.295,1041592,0
GLLIR.US,D,20220104,000000,0.3,0.305,0.28,0.2968,283831,0
GLLIR.US,D,20220106,000000,0.25,0.25,0.25,0.25,4247,0
GLLIR.US,D,20220110,000000,0.26,0.26,0.25,0.26,380399,0
GLLIR.US,D,20220111,000000,0.275,0.275,0.25,0.27,304238,0
GLLIR.US,D,20220112,000000,0.28,0.28,0.28,0.28,1000,0
GLLIR.US,D,20220113,000000,0.28,0.28,0.28,0.28,25000,0
GLLIR.US,D,20220114,000000,0.26,0.28,0.24,0.28,30982,0
GLLIR.US,D,20220118,000000,0.235,0.25,0.235,0.25,16432,0
GLLIR.US,D,20220120,000000,0.25,0.25,0.235,0.235,52178,0
GLLIR.US,D,20220124,000000,0.22,0.22,0.22,0.22,2500,0
GLLIR.US,D,20220125,000000,0.22,0.22,0.22,0.22,50000,0
GLLIR.US,D,20220126,000000,0.2,0.22,0.2,0.22,21680,0
GLLIR.US,D,20220131,000000,0.22,0.22,0.22,0.22,54237,0
GLLIR.US,D,20220202,000000,0.2101,0.2101,0.2101,0.2101,187300,0
GLLIR.US,D,20220210,000000,0.2052,0.2052,0.2006,0.2006,71006,0
GLLIR.US,D,20220214,000000,0.2194,0.2194,0.2194,0.2194,5044,0
GLLIR.US,D,20220216,000000,0.2494,0.2494,0.2,0.21,275400,0
GLLIR.US,D,20220217,000000,0.2,0.2127,0.1952,0.1952,91811,0
GLLIR.US,D,20220218,000000,0.1952,0.2,0.1906,0.2,70550,0
GLLIR.US,D,20220222,000000,0.1907,0.1907,0.1906,0.1906,64171,0
GLLIR.US,D,20220303,000000,0.1907,0.1907,0.1872,0.1872,62400,0
GLLIR.US,D,20220304,000000,0.1871,0.1872,0.1806,0.1807,342040,0
GLLIR.US,D,20220307,000000,0.1806,0.1806,0.1806,0.1806,900,0
GLLIR.US,D,20220309,000000,0.18,0.2,0.18,0.2,182831,0
GLLIR.US,D,20220310,000000,0.198,0.198,0.1606,0.1606,114100,0
GLLIR.US,D,20220311,000000,0.1606,0.1606,0.1606,0.1606,100,0
GLLIR.US,D,20220316,000000,0.16,0.16,0.16,0.16,12100,0
GLLIR.US,D,20220318,000000,0.1666,0.1666,0.1666,0.1666,100,0
GLLIR.US,D,20220323,000000,0.165,0.165,0.165,0.165,2000,0
GLLIR.US,D,20220328,000000,0.1793,0.1794,0.1793,0.1793,1000,0
GLLIR.US,D,20220329,000000,0.179299,0.179299,0.15,0.165,285516,0
GLLIR.US,D,20220401,000000,0.161,0.161,0.161,0.161,100,0
GLLIR.US,D,20220404,000000,0.16,0.161,0.16,0.16,28000,0
GLLIR.US,D,20220406,000000,0.16,0.16,0.159899,0.159899,200,0
GLLIR.US,D,20220408,000000,0.1711,0.1794,0.1711,0.1794,11700,0
GLLIR.US,D,20220411,000000,0.165,0.165,0.165,0.165,100,0
GLLIR.US,D,20220412,000000,0.165,0.17,0.165,0.17,2719,0
GLLIR.US,D,20220413,000000,0.17,0.17,0.17,0.17,900,0
GLLIR.US,D,20220414,000000,0.1793,0.1793,0.1722,0.1722,2810,0
GLLIR.US,D,20220418,000000,0.165,0.165,0.165,0.165,100,0
GLLIR.US,D,20220419,000000,0.165,0.165,0.165,0.165,100,0
GLLIR.US,D,20220420,000000,0.165,0.165,0.165,0.165,8491,0
GLLIR.US,D,20220425,000000,0.13,0.1722,0.1135,0.16,47202,0
GLLIR.US,D,20220427,000000,0.1301,0.1301,0.1301,0.1301,101,0
GLLIR.US,D,20220428,000000,0.1717,0.1717,0.125,0.16,596,0
GLLIR.US,D,20220429,000000,0.1525,0.1849,0.15,0.1849,5926,0
GLLIR.US,D,20220502,000000,0.1849,0.1849,0.1849,0.1849,553,0
GLLIR.US,D,20220505,000000,0.17,0.17,0.17,0.17,256,0
GLLIR.US,D,20220506,000000,0.179,0.179,0.13,0.17,866,0
GLLIR.US,D,20220510,000000,0.150101,0.150101,0.15,0.15,402,0
GLLIR.US,D,20220511,000000,0.125,0.125101,0.125,0.125101,700,0
GLLIR.US,D,20220512,000000,0.11,0.11,0.11,0.11,49563,0
GLLIR.US,D,20220516,000000,0.1001,0.1001,0.1001,0.1001,100,0
GLLIR.US,D,20220526,000000,0.135,0.135,0.1323,0.1323,13300,0
GLLIR.US,D,20220527,000000,0.13184,0.13184,0.13184,0.13184,1000,0
GLLIR.US,D,20220601,000000,0.1275,0.1275,0.1275,0.1275,461240,0
GLLIR.US,D,20220603,000000,0.131,0.131,0.131,0.131,505,0
GLLIR.US,D,20220608,000000,0.0925,0.102,0.08,0.102,13022,0
GLLIR.US,D,20220609,000000,0.0852,0.0852,0.0852,0.0852,75000,0
GLLIR.US,D,20220614,000000,0.1,0.1,0.1,0.1,1240,0
GLLIR.US,D,20220621,000000,0.1,0.115,0.1,0.115,57500,0
GLLIR.US,D,20220627,000000,0.114,0.114,0.0775,0.114,66702,0
GLLIR.US,D,20220628,000000,0.114,0.114,0.114,0.114,20000,0
GLLIR.US,D,20220629,000000,0.1,0.11,0.0975,0.108,79996,0
GLLIR.US,D,20220701,000000,0.1149,0.17,0.1149,0.17,37070,0
GLLIR.US,D,20220706,000000,0.15,0.15,0.14,0.14,3138,0
GLLIR.US,D,20220708,000000,0.135,0.135,0.135,0.135,500,0
GLLIR.US,D,20220720,000000,0.1167,0.1167,0.115,0.115,1000,0
GLLIR.US,D,20220722,000000,0.1009,0.1009,0.0855,0.0855,1500,0
GLLIR.US,D,20220803,000000,0.075,0.077501,0.075,0.075,61300,0
GLLIR.US,D,20220804,000000,0.1,0.1436,0.1,0.1322,123141,0
GLLIR.US,D,20220805,000000,0.1322,0.1322,0.12,0.12,91615,0
GLLIR.US,D,20220808,000000,0.1,0.1248,0.1,0.1248,3007,0
GLLIR.US,D,20220809,000000,0.1103,0.15,0.1002,0.15,72121,0
GLLIR.US,D,20220810,000000,0.15,0.15,0.15,0.15,4380,0
GLLIR.US,D,20220812,000000,0.1525,0.154501,0.1525,0.154501,9380,0
GLLIR.US,D,20220817,000000,0.1622,0.1622,0.16,0.16,1631,0
GLLIR.US,D,20220818,000000,0.160101,0.160101,0.160101,0.160101,105922,0
GLLIR.US,D,20220822,000000,0.16,0.16,0.16,0.16,24300,0
GLLIR.US,D,20220823,000000,0.17,0.17,0.1697,0.17,9201,0
GLLIR.US,D,20220826,000000,0.18,0.185,0.18,0.18,1000,0
GLLIR.US,D,20220829,000000,0.18,0.18,0.18,0.18,146,0
GLLIR.US,D,20220830,000000,0.18,0.18,0.18,0.18,10000,0
GLLIR.US,D,20220907,000000,0.19,0.2025,0.19,0.2025,32231,0
GLLIR.US,D,20220913,000000,0.1903,0.215,0.19,0.215,8000,0
GLLIR.US,D,20220916,000000,0.19,0.19,0.19,0.19,13700,0
GLLIR.US,D,20220919,000000,0.195,0.195,0.19,0.19,47800,0
GLLIR.US,D,20220920,000000,0.1949,0.195,0.1949,0.195,3100,0
GLLIR.US,D,20220921,000000,0.1701,0.1826,0.1701,0.1701,13598,0
GLLIR.US,D,20221004,000000,0.16,0.1603,0.16,0.16,50000,0
GLLIR.US,D,20221006,000000,0.1417,0.1417,0.1204,0.1204,660,0
GLLIR.US,D,20221012,000000,0.13,0.1315,0.13,0.13,75000,0
GLLIR.US,D,20221013,000000,0.1203,0.135,0.12,0.135,4110,0
GLLIR.US,D,20221025,000000,0.135,0.135,0.135,0.135,1000,0
GLLIR.US,D,20221027,000000,0.13,0.13,0.13,0.13,110500,0
GLLIR.US,D,20221101,000000,0.13,0.13,0.13,0.13,150000,0
GLLIR.US,D,20221102,000000,0.135,0.135,0.12,0.12,34506,0
GLLIR.US,D,20221104,000000,0.12,0.12,0.12,0.12,25000,0
GLLIR.US,D,20221108,000000,0.12,0.125,0.12,0.125,100300,0
GLLIR.US,D,20221117,000000,0.11,0.11,0.11,0.11,55480,0
GLLIR.US,D,20221118,000000,0.1,0.1,0.1,0.1,425100,0
GLLIR.US,D,20221121,000000,0.1,0.1049,0.1,0.1,126250,0
GLLIR.US,D,20221128,000000,0.08,0.0848,0.08,0.0848,43500,0
GLLIR.US,D,20221129,000000,0.1,0.1,0.1,0.1,4000,0
GLLIR.US,D,20221130,000000,0.0875,0.0875,0.0775,0.0787,52060,0
GLLIR.US,D,20221201,000000,0.07,0.07,0.07,0.07,23000,0
GLLIR.US,D,20221202,000000,0.0603,0.0603,0.0411,0.0449,10760,0
GLLIR.US,D,20221205,000000,0.04,0.04,0.04,0.04,23150,0
GLLIR.US,D,20221206,000000,0.0218,0.04,0.011,0.04,1830,0
GLLIR.US,D,20221208,000000,0.03,0.045,0.03,0.045,67285,0
GLLIR.US,D,20221209,000000,0.0332,0.0332,0.0329,0.0329,200,0
GLLIR.US,D,20221212,000000,0.0329,0.0427,0.0329,0.038,700,0
GLLIR.US,D,20221213,000000,0.045,0.045,0.0355,0.0385,47202,0
GLLIR.US,D,20221214,000000,0.05,0.1265,0.05,0.09,45639,0
GLLIR.US,D,20221215,000000,0.063,0.076,0.063,0.075,47681,0
GLLIR.US,D,20221219,000000,0.07,0.07,0.07,0.07,100,0
GLLIR.US,D,20221220,000000,0.075,0.075,0.075,0.075,100,0
GLLIR.US,D,20221221,000000,0.06,0.075,0.06,0.075,370,0
GLLIR.US,D,20221223,000000,0.0431,0.0431,0.0431,0.0431,100,0
GLLIR.US,D,20221229,000000,0.075,0.075,0.075,0.075,5030,0
GLLIR.US,D,20221230,000000,0.035,0.075,0.035,0.0504,6657,0
GLLIR.US,D,20230103,000000,0.05,0.05,0.0431,0.0431,5106,0
GLLIR.US,D,20230104,000000,0.0432,0.044,0.0431,0.0431,4714,0
GLLIR.US,D,20230105,000000,0.06,0.0675,0.06,0.0675,477,0
GLLIR.US,D,20230106,000000,0.06,0.075,0.06,0.075,1752,0
GLLIR.US,D,20230109,000000,0.07,0.07,0.07,0.07,1000,0
GLLIR.US,D,20230110,000000,0.07,0.07,0.07,0.07,4171,0
GLLIR.US,D,20230111,000000,0.0601,0.07,0.06,0.07,5117,0
GLLIR.US,D,20230113,000000,0.07,0.07,0.07,0.07,1000,0
GLLIR.US,D,20230118,000000,0.075,0.075,0.06,0.075,68414,0
GLLIR.US,D,20230120,000000,0.075,0.075,0.075,0.075,25009,0
GLLIR.US,D,20230123,000000,0.08,0.08,0.08,0.08,4800,0
GLLIR.US,D,20230124,000000,0.0441,0.0441,0.0441,0.0441,100,0
GLLIR.US,D,20230127,000000,0.0515,0.0515,0.0487,0.0487,10658,0
GLLIR.US,D,20230130,000000,0.0323,0.05,0.0323,0.05,1244,0
GLLIR.US,D,20230131,000000,0.05,0.05,0.05,0.05,124200,0
GLLIR.US,D,20230202,000000,0.0431,0.05,0.0431,0.0431,2770,0
GLLIR.US,D,20230209,000000,0.0431,0.0431,0.0431,0.0431,370,0
GLLIR.US,D,20230210,000000,0.059,0.06,0.059,0.06,17576,0
GLLIR.US,D,20230227,000000,0.0566,0.057,0.0566,0.057,10300,0
GLLIR.US,D,20230306,000000,0.0431,0.0431,0.0431,0.0431,100,0
GLLIR.US,D,20230307,000000,0.0431,0.259,0.0431,0.075,29157,0
GLLIR.US,D,20230308,000000,0.0441,0.0441,0.0441,0.0441,1211,0
GLLIR.US,D,20230309,000000,0.059899,0.06,0.0441,0.0581,5359,0
GLLIR.US,D,20230310,000000,0.0581,0.0581,0.0436,0.0436,1490,0
GLLIR.US,D,20230313,000000,0.0998,0.0998,0.0458,0.0651,5294,0
GLLIR.US,D,20230314,000000,0.0651,0.0651,0.0651,0.0651,700,0
GLLIR.US,D,20230315,000000,0.05,0.0572,0.05,0.0505,34090,0
GLLIR.US,D,20230316,000000,0.0524,0.0524,0.0466,0.05,61200,0
GLLIR.US,D,20230317,000000,0.061651,0.061651,0.0452,0.0452,2299,0
GLLIR.US,D,20230320,000000,0.054,0.0705,0.054,0.0654,65865,0
GLLIR.US,D,20230321,000000,0.0463,0.0601,0.0463,0.0601,2504,0
GLLIR.US,D,20230322,000000,0.189,0.189,0.0525,0.078,10321,0
GLLIR.US,D,20230323,000000,0.05,0.0892,0.0475,0.0892,2823,0
GLLIR.US,D,20230324,000000,0.1484,0.156,0.063,0.0661,18166,0
GLLIR.US,D,20230327,000000,0.0661,0.1354,0.0661,0.0814,18311,0
GLLIR.US,D,20230328,000000,0.1564,0.1564,0.0664,0.09,12226,0
GLLIR.US,D,20230403,000000,0.086,0.09,0.0661,0.068,8650,0
GLLIR.US,D,20230404,000000,0.0746,0.0746,0.0746,0.0746,501,0
GLLIR.US,D,20230405,000000,0.1189,0.1189,0.09,0.096,2352,0
GLLIR.US,D,20230406,000000,0.086,0.1195,0.084,0.084,3153,0
GLLIR.US,D,20230410,000000,0.076,0.076,0.07,0.0743,1100,0
GLLIR.US,D,20230411,000000,0.0676,0.069,0.0676,0.069,531,0
GLLIR.US,D,20230412,000000,0.08,0.08,0.066,0.066,1956,0
GLLIR.US,D,20230414,000000,0.0661,0.0661,0.0661,0.0661,433,0
GLLIR.US,D,20230417,000000,0.0661,0.0729,0.0661,0.0729,1056,0
GLLIR.US,D,20230418,000000,0.096,0.1035,0.0745,0.0828,2861,0
GLLIR.US,D,20230421,000000,0.086,0.086,0.086,0.086,509,0
GLLIR.US,D,20230426,000000,0.0776,0.0777,0.0729,0.073,801,0
GLLIR.US,D,20230428,000000,0.0803,0.0803,0.0803,0.0803,302,0
GLLIR.US,D,20230504,000000,0.074514,0.0754,0.0691,0.0754,5701,0
GLLIR.US,D,20230505,000000,0.0754,0.0996,0.0735,0.0989,8958,0
GLLIR.US,D,20230508,000000,0.0989,0.1176,0.0989,0.101,1353,0
GLLIR.US,D,20230512,000000,0.0691,0.0691,0.0661,0.0661,200,0
GLLIR.US,D,20230516,000000,0.1212,0.1848,0.0664,0.087,145404,0
GLLIR.US,D,20230517,000000,0.0987,0.1851,0.0987,0.1238,12326,0
GLLIR.US,D,20230518,000000,0.0881,0.0881,0.0881,0.0881,118,0
GLLIR.US,D,20230519,000000,0.0668,0.088,0.0667,0.0738,7301,0
GLLIR.US,D,20230522,000000,0.0661,0.15,0.0661,0.1003,9789,0
GLLIR.US,D,20230523,000000,0.1159,0.129,0.0661,0.088,3368,0
GLLIR.US,D,20230524,000000,0.12,0.13,0.12,0.13,2596,0
GLLIR.US,D,20230530,000000,0.0981,0.0981,0.0797,0.0948,1400,0
GLLIR.US,D,20230601,000000,0.0961,0.0961,0.0961,0.0961,645,0
GLLIR.US,D,20230602,000000,0.1101,0.1101,0.1101,0.1101,105,0
GLLIR.US,D,20230605,000000,0.13,0.13,0.0672,0.0888,4416,0
GLLIR.US,D,20230606,000000,0.1285,0.1292,0.0839,0.0998,6541,0
GLLIR.US,D,20230608,000000,0.0661,0.0679,0.0661,0.0661,1208,0
GLLIR.US,D,20230609,000000,0.1,0.1,0.09,0.0902,1310,0
GLLIR.US,D,20230612,000000,0.11,0.11,0.1036,0.1036,534,0
GLLIR.US,D,20230614,000000,0.0961,0.0961,0.0753,0.0832,325921,0
GLLIR.US,D,20230616,000000,0.0991,0.1894,0.0753,0.1244,22164,0
GLLIR.US,D,20230620,000000,0.1181,0.1298,0.0892,0.0892,4656,0
GLLIR.US,D,20230622,000000,0.075282,0.075282,0.075282,0.075282,321,0
GLLIR.US,D,20230623,000000,0.0754,0.0754,0.0753,0.0753,446,0
GLLIR.US,D,20230626,000000,0.086192,0.1358,0.085,0.1166,2099,0
GLLIR.US,D,20230627,000000,0.133,0.1898,0.0753,0.14,17917,0
GLLIR.US,D,20230629,000000,0.1414,0.1414,0.088,0.0914,11223,0
GLLIR.US,D,20230703,000000,0.121,0.121,0.101,0.1082,814,0
GLLIR.US,D,20230705,000000,0.1039,0.1593,0.0754,0.113,23321,0
GLLIR.US,D,20230706,000000,0.1051,0.1051,0.1051,0.1051,128,0
GLLIR.US,D,20230717,000000,0.119,0.1191,0.119,0.1191,1586,0
GLLIR.US,D,20230720,000000,0.1104,0.1104,0.1103,0.1103,302,0
GLLIR.US,D,20230725,000000,0.11056,0.11056,0.11056,0.11056,210,0
GLLIR.US,D,20230726,000000,0.1101,0.1101,0.1101,0.1101,200,0
GLLIR.US,D,20230727,000000,0.123,0.1257,0.123,0.1257,500,0
GLLIR.US,D,20230728,000000,0.1292,0.1292,0.1256,0.1257,2069,0
GLLIR.US,D,20230809,000000,0.1256,0.1256,0.1256,0.1256,2001,0
GLLIR.US,D,20231020,000000,0.096,0.096,0.09,0.09,10742,0
GLLIR.US,D,20231023,000000,0.0946,0.0946,0.0901,0.0901,1000,0
GLLIR.US,D,20231025,000000,0.0947,0.0949,0.09,0.09,10001,0
GLLIR.US,D,20231026,000000,0.0964,0.1005,0.0925,0.1005,31136,0
GLLIR.US,D,20231027,000000,0.1005,0.1005,0.0901,0.0925,52704,0
GLLIR.US,D,20231106,000000,0.092,0.092,0.0901,0.0901,10002,0
GLLIR.US,D,20231108,000000,0.0957,0.0957,0.0901,0.0901,450,0
GLLIR.US,D,20231114,000000,0.0901,0.1,0.0901,0.1,28505,0
GLLIR.US,D,20231122,000000,0.096,0.096,0.09,0.09,39595,0
GLLIR.US,D,20231130,000000,0.0825,0.0862,0.0751,0.0767,52834,0
GLLIR.US,D,20231204,000000,0.0866,0.09,0.0866,0.09,14877,0
GLLIR.US,D,20231213,000000,0.09,0.0988,0.09,0.0988,62247,0
GLLIR.US,D,20231214,000000,0.1,0.1,0.08,0.08,25253,0
GLLIR.US,D,20231226,000000,0.1085,0.1085,0.1085,0.1085,100,0
GLLIR.US,D,20240112,000000,0.0801,0.135,0.0801,0.12,412,0
GLLIR.US,D,20240201,000000,0.1153,0.12,0.1151,0.12,26500,0
GLLIR.US,D,20240202,000000,0.1153,0.12,0.1153,0.12,18782,0
GLLIR.US,D,20240306,000000,0.11,0.11,0.11,0.11,4117,0
GLLIR.US,D,20240405,000000,0.1,0.1,0.082,0.1,3548,0
GLLIR.US,D,20240429,000000,0.0956,0.0956,0.0825,0.0825,1352,0
GLLIR.US,D,20240430,000000,0.14,0.14,0.118,0.1181,2252,0
GLLIR.US,D,20240506,000000,0.1,0.1,0.0851,0.0851,2766,0
GLLIR.US,D,20240509,000000,0.087,0.15,0.0869,0.1235,2712,0
GLLIR.US,D,20240520,000000,0.1191,0.123,0.085,0.085,1178,0
