<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GLLIU.US,D,20240429,000000,13.295,14,13.295,14,604,0
GLLIU.US,D,20240430,000000,12.64,12.64,12.64,12.64,100,0
GLLIU.US,D,20240506,000000,12.62,12.62,12.62,12.62,101,0
GLLIU.US,D,20240507,000000,11.04,11.7,11.01,11.7,1011,0
GLLIU.US,D,20240508,000000,12.8,12.8,12.8,12.8,102,0
GLLIU.US,D,20240509,000000,12.61,12.61,12.61,12.61,103,0
GLLIU.US,D,20240510,000000,12.62,14.23,12.62,12.83,1849,0
GLLIU.US,D,20240513,000000,13,13,13,13,100,0
GLLIU.US,D,20240528,000000,11.1,11.8,11.1,11.79,1705,0
GLLIU.US,D,20240529,000000,11.95,15.49,11.94,15.49,3887,0
GLLIU.US,D,20240530,000000,15.36,15.36,15.34,15.34,208,0
GLLIU.US,D,20240531,000000,12.52,13.77,12.52,13.77,466,0
GLLIU.US,D,20240604,000000,12.7742,12.7742,11.22,12.13,2271,0
GLLIU.US,D,20240605,000000,11.55,11.55,11.53,11.53,387,0
GLLIU.US,D,20240606,000000,11.5,11.99,11.5,11.99,303,0
GLLIU.US,D,20240610,000000,12.1,14.8,12.1,12.1,4308,0
GLLIU.US,D,20240612,000000,12.1,15.98,12.09,14.3,5538,0
GLLIU.US,D,20240613,000000,14.16,14.16,12.5,12.5,2048,0
GLLIU.US,D,20240614,000000,13,13.7,12.5,12.5,6596,0
GLLIU.US,D,20240617,000000,13.4,15.4,12.03,12.9,6112,0
GLLIU.US,D,20240618,000000,13,14.19,11.5,11.51,5871,0
GLLIU.US,D,20240620,000000,11.78,11.78,10.63,11.4,2275,0
GLLIU.US,D,20240624,000000,11.28,11.28,11.21,11.22,972,0
GLLIU.US,D,20240702,000000,11.2999,11.5,11.2998,11.5,1406,0
GLLIU.US,D,20240703,000000,11.3,11.3,11.3,11.3,100,0
GLLIU.US,D,20240708,000000,11.48,11.48,11.48,11.48,100,0
GLLIU.US,D,20240710,000000,11.4,11.4,11.34,11.35,955,0
GLLIU.US,D,20240716,000000,11.36,11.36,11.36,11.36,928,0
GLLIU.US,D,20240719,000000,11.44,11.49,11.44,11.49,200,0
GLLIU.US,D,20240724,000000,11.49,11.51,11.49,11.51,500,0
GLLIU.US,D,20240730,000000,11.59,11.59,11.59,11.59,176,0
GLLIU.US,D,20240731,000000,11.37,11.37,11.36,11.36,276,0
GLLIU.US,D,20240806,000000,11.79,11.79,11.79,11.79,100,0
GLLIU.US,D,20240820,000000,11.69,12.99,11.69,12,4915,0
GLLIU.US,D,20240826,000000,11.99,11.99,11.99,11.99,100,0
GLLIU.US,D,20240830,000000,12.61,12.61,12.61,12.61,100,0
GLLIU.US,D,20240913,000000,11.47,11.47,11.4,11.4,2687,0
GLLIU.US,D,20240919,000000,11.8,11.8,11.8,11.8,102,0
GLLIU.US,D,20240920,000000,12.5,12.5,11.66,11.66,403,0
GLLIU.US,D,20240925,000000,11.4,11.41,11.4,11.4,3007,0
GLLIU.US,D,20240930,000000,11.36,11.36,11.35,11.35,1428,0
GLLIU.US,D,20241003,000000,11.47,11.47,11.47,11.47,200,0
GLLIU.US,D,20241016,000000,11.46,11.46,11.46,11.46,425,0
GLLIU.US,D,20241018,000000,11.46,11.47,11.46,11.47,300,0
GLLIU.US,D,20241023,000000,11.5,11.5,11.5,11.5,302,0
GLLIU.US,D,20241112,000000,11.59,11.59,11.59,11.59,399,0
GLLIU.US,D,20241211,000000,11.69,12.27,11.69,12,8000,0
GLLIU.US,D,20241213,000000,11.92,11.92,11.92,11.92,100,0
