<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GLSTU.US,D,20250128,000000,11.55,14,11.55,12.7,6053,0
GLSTU.US,D,20250129,000000,12.88,14.9,11.95,13,7096,0
GLSTU.US,D,20250130,000000,12.5,14.4,11.6,13.06,9007,0
GLSTU.US,D,20250131,000000,12.55,13.9,11,12.5,10890,0
GLSTU.US,D,20250203,000000,11.5,11.9,10.09,11.79,8880,0
GLSTU.US,D,20250204,000000,11.5,14.2,11.5,12.05,22920,0
GLSTU.US,D,20250205,000000,11.3,13.91,11,13.77,5220,0
GLSTU.US,D,20250207,000000,12.15,14.14,11.1,13.72,21337,0
GLSTU.US,D,20250210,000000,13.8,17.84,8.55,10.1,25670,0
GLSTU.US,D,20250211,000000,11.11,13.66,9.55,13.2,14058,0
GLSTU.US,D,20250212,000000,10.9,13.88,10.21,12.22,24177,0
GLSTU.US,D,20250213,000000,12.18,14.48,11.12,11.43,16578,0
