<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GPAK.US,D,20231009,000000,4.2,4.39,2.16,2.23,1889800,0
GPAK.US,D,20231010,000000,2,2.11,1.5,1.68,706538,0
GPAK.US,D,20231011,000000,1.59,1.81,1.3469,1.63,182376,0
GPAK.US,D,20231012,000000,1.54,1.57,1.3,1.32,78461,0
GPAK.US,D,20231013,000000,1.31,1.4199,1.03,1.329,136471,0
GPAK.US,D,20231016,000000,1.3,1.3,1.2,1.23,55962,0
GPAK.US,D,20231017,000000,1.27,1.73,1.25,1.65,1327919,0
GPAK.US,D,20231018,000000,1.73,1.99,1.3,1.44,1267905,0
GPAK.US,D,20231019,000000,1.28,1.31,1.04,1.09,340213,0
GPAK.US,D,20231020,000000,0.9455,1,0.75,0.883,508026,0
GPAK.US,D,20231023,000000,0.9355,0.9355,0.82,0.89,72076,0
GPAK.US,D,20231024,000000,0.9,0.9,0.73,0.7612,146766,0
GPAK.US,D,20231025,000000,0.75,1.11,0.75,0.91,3811840,0
GPAK.US,D,20231026,000000,0.95,0.95,0.75,0.755,588808,0
GPAK.US,D,20231027,000000,0.75,0.79,0.65,0.72,119097,0
GPAK.US,D,20231030,000000,0.6903,0.73,0.6601,0.665499,116480,0
GPAK.US,D,20231031,000000,0.68,0.7,0.621,0.621,51065,0
GPAK.US,D,20231101,000000,0.62,0.65,0.6,0.618,40097,0
GPAK.US,D,20231102,000000,0.655,0.7381,0.655,0.729,118268,0
GPAK.US,D,20231103,000000,0.77,0.772,0.7209,0.7399,37232,0
GPAK.US,D,20231106,000000,0.7663,0.789,0.641,0.734999,53956,0
GPAK.US,D,20231107,000000,0.79,0.79,0.719001,0.748899,22727,0
GPAK.US,D,20231108,000000,0.7224,0.7899,0.7,0.71,24903,0
GPAK.US,D,20231109,000000,0.745,0.745,0.691,0.719899,44233,0
GPAK.US,D,20231110,000000,0.7,0.7199,0.65,0.679999,39953,0
GPAK.US,D,20231113,000000,0.63,0.724833,0.63,0.66475,21920,0
GPAK.US,D,20231114,000000,0.64,0.693736,0.6011,0.6011,69814,0
GPAK.US,D,20231115,000000,0.605,0.68,0.5789,0.6044,52440,0
GPAK.US,D,20231116,000000,0.619999,0.6534,0.5006,0.551,94167,0
GPAK.US,D,20231117,000000,0.55,0.5727,0.501,0.5388,40351,0
GPAK.US,D,20231120,000000,0.5009,0.538,0.5,0.5047,30359,0
GPAK.US,D,20231121,000000,0.6,0.75,0.51,0.666,2560666,0
GPAK.US,D,20231122,000000,0.6099,0.65,0.5317,0.616301,432718,0
GPAK.US,D,20231124,000000,0.618,0.7199,0.6,0.7,62168,0
GPAK.US,D,20231127,000000,0.6985,0.77,0.656,0.71,49789,0
GPAK.US,D,20231128,000000,0.73,0.73,0.68,0.7,58222,0
GPAK.US,D,20231129,000000,0.65,0.6768,0.55,0.642499,65521,0
GPAK.US,D,20231130,000000,0.565,0.700391,0.565,0.6,26202,0
GPAK.US,D,20231201,000000,0.637,0.640051,0.61,0.63,23185,0
GPAK.US,D,20231204,000000,0.640051,0.668,0.6001,0.6001,26568,0
GPAK.US,D,20231205,000000,0.627,0.6719,0.6001,0.6162,16795,0
GPAK.US,D,20231206,000000,0.565,0.6218,0.55,0.556644,36291,0
GPAK.US,D,20231207,000000,0.5651,0.6,0.501,0.5015,52423,0
GPAK.US,D,20231208,000000,0.527,0.549999,0.4751,0.481,53265,0
GPAK.US,D,20231211,000000,0.48,0.569899,0.474,0.525001,47747,0
GPAK.US,D,20231212,000000,0.5325,0.5629,0.4755,0.5001,54884,0
GPAK.US,D,20231213,000000,0.5002,0.5269,0.475,0.4805,24434,0
GPAK.US,D,20231214,000000,0.495,0.515,0.46,0.473,81905,0
GPAK.US,D,20231215,000000,0.471,0.5,0.4599,0.4599,32090,0
GPAK.US,D,20231218,000000,0.486,0.486,0.45,0.454,45527,0
GPAK.US,D,20231219,000000,0.4413,0.4633,0.4111,0.4295,52316,0
GPAK.US,D,20231220,000000,0.4069,0.46,0.37,0.3966,116276,0
GPAK.US,D,20231221,000000,0.4199,0.4199,0.367,0.4137,39798,0
GPAK.US,D,20231222,000000,0.4,0.4001,0.3627,0.3825,52116,0
GPAK.US,D,20231226,000000,0.375,0.3863,0.3611,0.363,82259,0
GPAK.US,D,20231227,000000,0.361,0.52,0.361,0.46,796497,0
GPAK.US,D,20231228,000000,0.4462,0.5,0.43,0.5,128785,0
GPAK.US,D,20231229,000000,0.5,0.5,0.4202,0.45,68918,0
GPAK.US,D,20240102,000000,0.4069,0.4875,0.4069,0.475,60007,0
GPAK.US,D,20240103,000000,0.4655,0.474999,0.4311,0.455,36255,0
GPAK.US,D,20240104,000000,0.454,0.454,0.431,0.4497,30889,0
GPAK.US,D,20240105,000000,0.4599,0.459999,0.4,0.452,133309,0
GPAK.US,D,20240108,000000,0.4385,0.46,0.4,0.4227,120569,0
GPAK.US,D,20240109,000000,0.426,0.426,0.38,0.4068,48061,0
GPAK.US,D,20240110,000000,0.4,0.4,0.362,0.363,72703,0
