<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GRDI.US,D,20240130,000000,5.48,5.7999,4.5,5.21,167632,0
GRDI.US,D,20240131,000000,5.2,5.3,4.14,4.44,65344,0
GRDI.US,D,20240201,000000,4.3,4.8,4.05,4.05,83060,0
GRDI.US,D,20240202,000000,4.15,4.2872,1.98,1.9996,393149,0
GRDI.US,D,20240205,000000,2.5,2.85,1.99,2.03,8079682,0
GRDI.US,D,20240206,000000,2.15,2.6,2.02,2.12,1829279,0
GRDI.US,D,20240207,000000,2.4,2.561,2.17,2.53,4645614,0
GRDI.US,D,20240208,000000,2.4,2.47,2.14,2.15,734658,0
GRDI.US,D,20240209,000000,2.43,2.45,2.1,2.14,846955,0
GRDI.US,D,20240212,000000,2.13,2.18,2.01,2.03,691038,0
GRDI.US,D,20240213,000000,1.98,1.98,1.759,1.95,334430,0
GRDI.US,D,20240214,000000,2.15,2.18,1.97,2.12,422801,0
GRDI.US,D,20240215,000000,2.1,2.1055,1.94,2.07,241507,0
GRDI.US,D,20240216,000000,2.05,2.07,1.96,2.07,191068,0
GRDI.US,D,20240220,000000,2.05,2.05,1.85,2.04,156154,0
GRDI.US,D,20240221,000000,1.92,1.97,1.8,1.97,108292,0
GRDI.US,D,20240222,000000,1.91,2.04,1.82,2.04,133516,0
GRDI.US,D,20240223,000000,1.95,2.2201,1.9,2.15,470787,0
GRDI.US,D,20240226,000000,2.09,2.27,2.02,2.23,230038,0
GRDI.US,D,20240227,000000,2.27,2.27,1.98,2.09,413213,0
GRDI.US,D,20240228,000000,2.15,2.24,1.91,1.98,488693,0
GRDI.US,D,20240229,000000,2.02,2.02,1.89,2.01,92530,0
GRDI.US,D,20240301,000000,2,2.1,1.95,2.02,146838,0
GRDI.US,D,20240304,000000,2,2.19,1.98,2.02,472249,0
GRDI.US,D,20240305,000000,2.09,2.1,1.52,1.63,674489,0
GRDI.US,D,20240306,000000,1.69,1.79,1.56,1.67,154793,0
GRDI.US,D,20240307,000000,1.62,1.9299,1.61,1.79,146333,0
GRDI.US,D,20240308,000000,1.77,1.95,1.71,1.82,131509,0
GRDI.US,D,20240311,000000,1.84,1.98,1.75,1.75,162457,0
GRDI.US,D,20240312,000000,1.76,1.78,1.59,1.63,198661,0
GRDI.US,D,20240313,000000,1.6,1.81,1.34,1.34,280034,0
GRDI.US,D,20240314,000000,1.4,1.46,1.29,1.33,148307,0
GRDI.US,D,20240315,000000,1.3,1.44,1.23,1.23,304378,0
GRDI.US,D,20240318,000000,1.23,1.3,0.9166,0.9357,360101,0
GRDI.US,D,20240319,000000,0.952,1.03,0.95,0.9653,97286,0
GRDI.US,D,20240320,000000,0.96,1.13,0.96,1.12,155915,0
GRDI.US,D,20240321,000000,1.15,1.23,1.08,1.1,113133,0
GRDI.US,D,20240322,000000,1.39,1.39,0.953,1.09,13708686,0
GRDI.US,D,20240325,000000,0.9841,1.16,0.971,1.09,900557,0
GRDI.US,D,20240326,000000,1.03,1.08,1.01,1.08,311082,0
GRDI.US,D,20240327,000000,1.05,1.09,1.01,1.03,348044,0
GRDI.US,D,20240328,000000,1.05,1.4,1.0255,1.32,1976062,0
GRDI.US,D,20240401,000000,1.2,1.35,1.1,1.35,383421,0
GRDI.US,D,20240402,000000,1.25,1.3,1.19,1.27,189413,0
GRDI.US,D,20240403,000000,1.23,1.31,1.2,1.31,165139,0
GRDI.US,D,20240404,000000,1.3,1.36,1.26,1.26,429101,0
GRDI.US,D,20240405,000000,1.28,1.2894,1.2,1.22,72534,0
GRDI.US,D,20240408,000000,1.3,1.31,1.2,1.28,120549,0
GRDI.US,D,20240409,000000,1.28,1.28,1.12,1.19,535350,0
GRDI.US,D,20240410,000000,1.17,1.2,1.07,1.1,754523,0
GRDI.US,D,20240411,000000,1.13,1.13,1.06,1.09,93016,0
GRDI.US,D,20240412,000000,1.09,1.09,1.02,1.08,73378,0
GRDI.US,D,20240415,000000,1.07,1.09,1.04,1.07,105020,0
GRDI.US,D,20240416,000000,1.02,1.0497,0.85,0.9879,298898,0
GRDI.US,D,20240417,000000,0.94,0.98,0.9001,0.9786,62130,0
GRDI.US,D,20240418,000000,1.05,1.05,0.9355,0.9589,89143,0
GRDI.US,D,20240419,000000,0.96,1.1,0.96,1.06,142899,0
GRDI.US,D,20240422,000000,1.11,1.11,1.05,1.09,37312,0
GRDI.US,D,20240423,000000,1.08,1.09,1.06,1.07,123431,0
GRDI.US,D,20240424,000000,1.08,1.09,1.06,1.08,71979,0
GRDI.US,D,20240425,000000,1.08,1.1,1.04,1.1,74127,0
GRDI.US,D,20240426,000000,1.09,1.09,1.06,1.08,19273,0
GRDI.US,D,20240429,000000,1.11,1.11,0.91,0.92,331115,0
GRDI.US,D,20240430,000000,0.9,0.94,0.8994,0.9183,58430,0
GRDI.US,D,20240501,000000,0.92,0.9537,0.89,0.8902,260656,0
GRDI.US,D,20240502,000000,0.91,0.92,0.59,0.6697,869175,0
GRDI.US,D,20240503,000000,0.66,0.7616,0.66,0.7574,191439,0
GRDI.US,D,20240506,000000,0.7873,0.7873,0.7255,0.741,75173,0
GRDI.US,D,20240507,000000,0.75,0.7599,0.74,0.74,21528,0
GRDI.US,D,20240508,000000,0.74,0.7691,0.7114,0.7385,22574,0
GRDI.US,D,20240509,000000,0.7385,0.7657,0.7265,0.7657,49562,0
GRDI.US,D,20240510,000000,0.7618,0.766,0.729,0.732021,27777,0
GRDI.US,D,20240513,000000,0.755,0.7686,0.7092,0.737,56439,0
GRDI.US,D,20240514,000000,0.695,0.79,0.621,0.745,212549,0
GRDI.US,D,20240515,000000,0.7446,0.78,0.7,0.7134,143849,0
GRDI.US,D,20240516,000000,0.7137,0.7562,0.713,0.7495,84486,0
GRDI.US,D,20240517,000000,0.76,0.8224,0.744951,0.76,125360,0
GRDI.US,D,20240520,000000,0.7417,0.7792,0.7417,0.7759,17045,0
GRDI.US,D,20240521,000000,0.799,0.799,0.75,0.77,102364,0
GRDI.US,D,20240522,000000,0.7455,0.78,0.7344,0.765,137720,0
GRDI.US,D,20240523,000000,0.78,0.78,0.7417,0.7599,45438,0
GRDI.US,D,20240524,000000,0.7203,0.7828,0.7203,0.755,54484,0
GRDI.US,D,20240528,000000,0.7547,0.8,0.7547,0.78,29605,0
GRDI.US,D,20240529,000000,0.784999,0.78515,0.7599,0.760001,42526,0
GRDI.US,D,20240530,000000,0.7699,0.7699,0.7391,0.7428,52743,0
GRDI.US,D,20240531,000000,0.765,0.765,0.6651,0.6887,108744,0
GRDI.US,D,20240603,000000,0.71,0.72,0.69,0.72,102360,0
GRDI.US,D,20240604,000000,0.71,0.72,0.67,0.6989,141409,0
GRDI.US,D,20240605,000000,0.6779,1,0.6779,0.7863,801417,0
GRDI.US,D,20240606,000000,0.7,0.819,0.7,0.769,92588,0
GRDI.US,D,20240607,000000,0.7456,0.768,0.6801,0.71,114921,0
GRDI.US,D,20240610,000000,0.718,0.82,0.67,0.6751,198451,0
GRDI.US,D,20240611,000000,0.6705,0.7418,0.6705,0.7181,123453,0
GRDI.US,D,20240612,000000,0.7,0.75,0.6905,0.70211,168577,0
GRDI.US,D,20240613,000000,0.6927,0.73,0.627,0.658,248585,0
GRDI.US,D,20240614,000000,0.6772,0.699,0.6143,0.6248,101550,0
GRDI.US,D,20240617,000000,0.63,0.6634,0.5788,0.6275,144565,0
GRDI.US,D,20240618,000000,0.6502,0.6502,0.56,0.56,241763,0
GRDI.US,D,20240620,000000,0.9897,1.7,0.8817,1.11,155762911,0
GRDI.US,D,20240621,000000,1.07,1.47,1.04,1.2,9961883,0
GRDI.US,D,20240624,000000,1.18,1.59,1.15,1.38,8884045,0
GRDI.US,D,20240625,000000,1.42,2.22,1.32,1.98,12015391,0
GRDI.US,D,20240626,000000,2.075,3.29,1.93,2.34,37646656,0
GRDI.US,D,20240627,000000,1.85,1.855,1.01,1.22,9710601,0
GRDI.US,D,20240628,000000,1.15,1.18,1.01,1.06,2339061,0
GRDI.US,D,20240701,000000,1.09,1.37,1.02,1.21,5215017,0
GRDI.US,D,20240702,000000,1.16,1.28,1.1001,1.21,1460421,0
GRDI.US,D,20240703,000000,1.22,1.28,1.12,1.23,857426,0
GRDI.US,D,20240705,000000,1.18,1.3579,1.16,1.31,792864,0
GRDI.US,D,20240708,000000,1.34,1.3593,1.14,1.16,567884,0
GRDI.US,D,20240709,000000,1.13,1.17,1.11,1.13,424200,0
GRDI.US,D,20240710,000000,1.12,1.1599,1.06,1.1,314207,0
GRDI.US,D,20240711,000000,1.1,1.17,1.09,1.14,385906,0
GRDI.US,D,20240712,000000,1.14,1.24,1.1,1.13,627674,0
GRDI.US,D,20240715,000000,1.15,1.19,1.12,1.14,302601,0
GRDI.US,D,20240716,000000,1.15,1.1888,1.104,1.15,320183,0
GRDI.US,D,20240717,000000,1.12,1.15,1.1001,1.13,300315,0
GRDI.US,D,20240718,000000,1.12,1.1201,1.05,1.07,358382,0
GRDI.US,D,20240719,000000,1.07,1.14,1.0316,1.14,459035,0
GRDI.US,D,20240722,000000,1.14,1.185,1.08,1.12,210833,0
GRDI.US,D,20240723,000000,1.1,1.18,1.09,1.135,303363,0
GRDI.US,D,20240724,000000,1.11,1.145,1.07,1.0891,170241,0
GRDI.US,D,20240725,000000,1.06,1.12,1.01,1.1,282660,0
GRDI.US,D,20240726,000000,1.13,1.13,1.08,1.1,37801,0
GRDI.US,D,20240729,000000,1.11,1.15,1.05,1.12,199508,0
GRDI.US,D,20240730,000000,1.11,1.1338,1.05,1.08,142885,0
GRDI.US,D,20240731,000000,1.07,1.12,1.06,1.07,126677,0
GRDI.US,D,20240801,000000,1.11,1.19,1.07,1.12,432047,0
GRDI.US,D,20240802,000000,1.12,1.12,1.03,1.045,137620,0
GRDI.US,D,20240805,000000,0.8711,1.0199,0.85,0.96,172882,0
GRDI.US,D,20240806,000000,0.99,1.1,0.9301,1.05,133754,0
GRDI.US,D,20240807,000000,1.0153,1.025,0.97,0.99,31116,0
GRDI.US,D,20240808,000000,1,1.07,0.994,1.02,78766,0
GRDI.US,D,20240809,000000,1.01,1.0575,0.97,0.9975,112258,0
GRDI.US,D,20240812,000000,1.02,1.02,0.9421,0.9978,38889,0
GRDI.US,D,20240813,000000,0.97,1.01,0.97,0.9722,60144,0
GRDI.US,D,20240814,000000,0.941,1.07,0.94,1.01,44502,0
GRDI.US,D,20240815,000000,0.99,1.05,0.99,1,85738,0
GRDI.US,D,20240816,000000,1.0126,1.0126,0.9506,0.97,51120,0
GRDI.US,D,20240819,000000,0.98,1.02,0.96,1.02,24811,0
GRDI.US,D,20240820,000000,0.96,1.03,0.96,1.02,38626,0
GRDI.US,D,20240821,000000,1,1.01,0.9798,0.9999,34884,0
GRDI.US,D,20240822,000000,1.03,1.03,0.975101,1.0099,51814,0
GRDI.US,D,20240823,000000,0.9999,1.02,0.96,0.9978,43101,0
GRDI.US,D,20240826,000000,0.9977,1,0.972,0.972,20745,0
GRDI.US,D,20240827,000000,0.972,0.9815,0.94,0.9815,14390,0
GRDI.US,D,20240828,000000,0.94,0.9809,0.8747,0.894601,48815,0
GRDI.US,D,20240829,000000,0.8811,0.97,0.87,0.9,24456,0
