<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GRDIW.US,D,20240130,000000,0.166451,0.1734,0.06,0.14,43130,0
GRDIW.US,D,20240131,000000,0.14,0.15,0.1199,0.125,103362,0
GRDIW.US,D,20240201,000000,0.121,0.149,0.121,0.1224,44906,0
GRDIW.US,D,20240202,000000,0.12,0.147,0.087,0.13,33943,0
GRDIW.US,D,20240205,000000,0.13,0.13,0.125,0.1285,9034,0
GRDIW.US,D,20240206,000000,0.127799,0.127799,0.0825,0.1266,11711,0
GRDIW.US,D,20240207,000000,0.1188,0.1201,0.11,0.1201,8719,0
GRDIW.US,D,20240208,000000,0.12,0.12,0.1198,0.12,14514,0
GRDIW.US,D,20240209,000000,0.105,0.11,0.1,0.1,19330,0
GRDIW.US,D,20240212,000000,0.1,0.12,0.092876,0.1199,27697,0
GRDIW.US,D,20240213,000000,0.1199,0.1199,0.1198,0.1198,11631,0
GRDIW.US,D,20240214,000000,0.12,0.121,0.11,0.121,75677,0
GRDIW.US,D,20240215,000000,0.1,0.1199,0.1,0.1198,31775,0
GRDIW.US,D,20240216,000000,0.119899,0.119899,0.105,0.11,4930,0
GRDIW.US,D,20240220,000000,0.1198,0.1198,0.08,0.0989,92110,0
GRDIW.US,D,20240223,000000,0.0815,0.1,0.073,0.1,12501,0
GRDIW.US,D,20240226,000000,0.1,0.1199,0.1,0.1198,31440,0
GRDIW.US,D,20240227,000000,0.1099,0.1099,0.095,0.1,145394,0
GRDIW.US,D,20240228,000000,0.0952,0.121,0.0952,0.1,33444,0
GRDIW.US,D,20240229,000000,0.101,0.1011,0.1,0.1,15121,0
GRDIW.US,D,20240304,000000,0.1154,0.121,0.1,0.1,39710,0
GRDIW.US,D,20240305,000000,0.1,0.1,0.1,0.1,18000,0
GRDIW.US,D,20240306,000000,0.078,0.1,0.078,0.1,103444,0
GRDIW.US,D,20240307,000000,0.1,0.1,0.1,0.1,351,0
GRDIW.US,D,20240308,000000,0.095999,0.100601,0.092,0.0978,60946,0
GRDIW.US,D,20240311,000000,0.11,0.11,0.11,0.11,10625,0
GRDIW.US,D,20240312,000000,0.10999,0.11,0.1099,0.11,17701,0
GRDIW.US,D,20240313,000000,0.1045,0.10655,0.099,0.10655,27088,0
GRDIW.US,D,20240314,000000,0.105,0.105,0.105,0.105,900,0
GRDIW.US,D,20240315,000000,0.085,0.121,0.085,0.101949,42262,0
GRDIW.US,D,20240318,000000,0.1,0.1209,0.1,0.1209,21534,0
GRDIW.US,D,20240319,000000,0.1126,0.115,0.1126,0.115,8000,0
GRDIW.US,D,20240320,000000,0.121,0.121,0.121,0.121,52000,0
GRDIW.US,D,20240321,000000,0.0902,0.1211,0.09,0.1211,2000,0
GRDIW.US,D,20240322,000000,0.125,0.13,0.07,0.07,34101,0
GRDIW.US,D,20240325,000000,0.119899,0.119899,0.081,0.099899,3602,0
GRDIW.US,D,20240326,000000,0.0851,0.0873,0.0511,0.0798,48250,0
GRDIW.US,D,20240327,000000,0.053,0.088699,0.053,0.0602,8000,0
GRDIW.US,D,20240401,000000,0.057,0.0601,0.057,0.0601,11519,0
GRDIW.US,D,20240402,000000,0.060201,0.07,0.060201,0.0643,2400,0
GRDIW.US,D,20240403,000000,0.0651,0.0651,0.0651,0.0651,200,0
GRDIW.US,D,20240404,000000,0.07,0.07,0.07,0.07,101,0
GRDIW.US,D,20240408,000000,0.071,0.0711,0.07,0.07,9250,0
GRDIW.US,D,20240409,000000,0.08,0.08,0.07,0.07,13350,0
GRDIW.US,D,20240411,000000,0.07,0.08,0.07,0.07,5050,0
GRDIW.US,D,20240412,000000,0.07,0.09,0.07,0.07,7700,0
GRDIW.US,D,20240415,000000,0.0702,0.0702,0.07,0.07,122654,0
GRDIW.US,D,20240416,000000,0.07,0.07,0.07,0.07,12500,0
GRDIW.US,D,20240417,000000,0.07,0.07,0.07,0.07,9350,0
