<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GRI.US,D,20210210,000000,24597.3,27027,20475,20529.6,1243.2648227322,0
GRI.US,D,20210211,000000,21048.3,21539.7,18618.6,20748,137.44541987097,0
GRI.US,D,20210212,000000,20884.5,21567,19519.5,21375.9,76.302197039175,0
GRI.US,D,20210216,000000,21703.5,21730.8,20065.5,20884.5,54.57362582789,0
GRI.US,D,20210217,000000,21157.5,21430.5,20065.5,20365.8,44.816116767956,0
GRI.US,D,20210218,000000,20802.6,20802.6,18536.7,20065.5,46.923442754209,0
GRI.US,D,20210219,000000,19683.3,19977.6,18946.2,19219.2,29.14029274889,0
GRI.US,D,20210222,000000,19219.2,19219.2,17717.7,17745,61.977655057879,0
GRI.US,D,20210223,000000,17717.7,17745,15864,17089.8,29.775823878066,0
GRI.US,D,20210224,000000,16489.2,19028.1,16489.2,18809.7,22.056776336209,0
GRI.US,D,20210225,000000,18782.4,18782.4,16707.6,16707.6,14.63479838845,0
GRI.US,D,20210226,000000,17308.2,17717.7,16680.3,16680.3,7.0952380242857,0
GRI.US,D,20210301,000000,17062.5,17744.7,16926,16926,7.104029232989,0
GRI.US,D,20210302,000000,16653,17199,16107,16325.4,13.389743455846,0
GRI.US,D,20210303,000000,16352.7,16461.9,15697.5,15834,25.982783622956,0
GRI.US,D,20210304,000000,15861.3,15861.3,14223.3,14469,18.264468681825,0
GRI.US,D,20210305,000000,14742,14851.2,13379.2,13652.7,26.674358707615,0
GRI.US,D,20210308,000000,14196,14933.1,14196,14332.5,8.904761815714,0
GRI.US,D,20210309,000000,14605.5,14823.9,14141.4,14141.4,14.389743445846,0
GRI.US,D,20210310,000000,14141.4,15015,14141.4,14305.2,14.855311206758,0
GRI.US,D,20210311,000000,14469,16325.4,14309.6,16107,18.187179305308,0
GRI.US,D,20210312,000000,16025.1,16025.1,15042.3,15178.8,11.599999884,0
GRI.US,D,20210315,000000,15970.5,16243.5,15178.8,15888.6,23.184248852406,0
GRI.US,D,20210316,000000,15747.7,16107,14837.6,14878.5,15.532966877637,0
GRI.US,D,20210317,000000,15424.5,15834,13977.6,14823.9,19.339560246165,0
GRI.US,D,20210318,000000,14742,14987.7,14476.4,14496.3,9.2655676729119,0
GRI.US,D,20210319,000000,14742,15369.9,13704.6,13704.6,21.449084034594,0
GRI.US,D,20210322,000000,13950.3,15369.9,13950.3,14059.5,6.1454211839671,0
GRI.US,D,20210323,000000,14469,14741.7,13404.3,13595.4,18.248351465868,0
GRI.US,D,20210324,000000,13923,13923,11793.6,11793.6,23.578021742242,0
GRI.US,D,20210325,000000,12612.6,12612.6,11739,11957.4,19.152014460494,0
GRI.US,D,20210326,000000,12831,12831,11739,12039.3,8.0512819707692,0
GRI.US,D,20210329,000000,11739,13076.7,11739,12885.6,15.579487023692,0
GRI.US,D,20210330,000000,12694.5,12694.5,12012,12285,8.4798533950553,0
GRI.US,D,20210331,000000,12558,13485.9,12103.5,12667.2,17.07216100144,0
GRI.US,D,20210401,000000,12831,13418,12612.9,13322.4,16.302197639175,0
GRI.US,D,20210405,000000,13431.6,13593.2,12749.1,12749.1,7.5791208033296,0
GRI.US,D,20210406,000000,12530.7,12639.9,12154,12312.3,37.47216079744,0
GRI.US,D,20210407,000000,13377,13458.9,12476.1,13322.4,27.254944782396,0
GRI.US,D,20210408,000000,13408.3,13408.3,12312.3,12558,14.111721470604,0
GRI.US,D,20210409,000000,12612.9,12885.6,12367.2,12721.8,3.2402930078901,0
GRI.US,D,20210412,000000,12503.4,12503.4,12012,12121.2,172.24358802116,0
GRI.US,D,20210413,000000,13049.4,14059.2,12558,13977.6,92.250182227679,0
GRI.US,D,20210414,000000,13841.1,14059.5,12885.6,13295.1,16.523076757846,0
GRI.US,D,20210415,000000,13076.7,13076.7,11957.4,12667.2,15.573259917527,0
GRI.US,D,20210416,000000,12476.1,12748.8,12287.5,12421.5,2.6897435628462,0
GRI.US,D,20210419,000000,12203.1,12598.1,11960.7,11984.7,7.7457874683293,0
GRI.US,D,20210420,000000,11930.1,11930.1,11766.3,11793.6,4.7194138722198,0
GRI.US,D,20210421,000000,11793.6,12503.4,11793.6,12039.3,41.89853437955,0
GRI.US,D,20210422,000000,11957.4,12530.7,11930.1,12476.1,10.10695960589,0
GRI.US,D,20210423,000000,12558,12694.5,12070.1,12257.7,32.028204807923,0
GRI.US,D,20210426,000000,12257.7,12776.4,12148.5,12721.5,9.766300268637,0
GRI.US,D,20210427,000000,12448.8,12558,12285,12380.6,7.4032966292637,0
GRI.US,D,20210428,000000,12285,12285,11793.6,12121.2,10.723809416571,0
GRI.US,D,20210429,000000,12248.1,12448.8,11902.8,11984.7,7.8677654890881,0
GRI.US,D,20210430,000000,11930.1,12093.9,11466,11684.4,9.7263735291098,0
