<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HAIUF.US,D,20240806,000000,11.31,13,11.31,12.2,10442,0
HAIUF.US,D,20240807,000000,13.4,13.54,11.8,12.38,2417,0
HAIUF.US,D,20240808,000000,11.99,12.2,11.8,11.8,1164,0
HAIUF.US,D,20240809,000000,12.34,12.34,12.34,12.34,407,0
HAIUF.US,D,20240812,000000,11.85,11.85,11.13,11.75,4153,0
HAIUF.US,D,20240813,000000,11.59,11.78,11.59,11.78,713,0
HAIUF.US,D,20240814,000000,11.62,11.62,11.62,11.62,858,0
HAIUF.US,D,20240816,000000,11.79,11.79,11.55,11.55,861,0
HAIUF.US,D,20240819,000000,11.7,11.7,11.7,11.7,300,0
HAIUF.US,D,20240821,000000,11.3,11.31,11.2,11.23,3758,0
HAIUF.US,D,20240823,000000,11.25,11.25,11.25,11.25,864,0
HAIUF.US,D,20240827,000000,11.23,11.23,11.22,11.23,1862,0
HAIUF.US,D,20240828,000000,11.23,11.23,11.23,11.23,301,0
HAIUF.US,D,20240912,000000,11.21,11.21,11.21,11.21,660,0
HAIUF.US,D,20240913,000000,11.9,11.9,11.9,11.9,560,0
HAIUF.US,D,20240919,000000,11.21,11.21,11.21,11.21,101,0
HAIUF.US,D,20240924,000000,11.25,11.25,11.21,11.23,1343,0
HAIUF.US,D,20240927,000000,11.24,11.24,11.24,11.24,250,0
HAIUF.US,D,20241016,000000,11.24,11.24,11.21,11.21,1065,0
HAIUF.US,D,20241018,000000,11.27,11.27,11.27,11.27,494,0
HAIUF.US,D,20241114,000000,11.37,11.37,11.37,11.37,400,0
HAIUF.US,D,20241122,000000,11.21,11.21,11.21,11.21,100,0
HAIUF.US,D,20241206,000000,11.5,11.5,11.5,11.5,402,0
