<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HCVIU.US,D,20210930,000000,9.99,9.99,9.93,9.95,1770796,0
HCVIU.US,D,20211001,000000,9.915,10,9.91,9.98,1137206,0
HCVIU.US,D,20211004,000000,9.95,9.98,9.93,9.94,72523,0
HCVIU.US,D,20211005,000000,9.94,9.94,9.88,9.88,13219,0
HCVIU.US,D,20211006,000000,9.86,9.97,9.86,9.96,50677,0
HCVIU.US,D,20211007,000000,9.865,9.97,9.865,9.95,5294,0
HCVIU.US,D,20211008,000000,9.95,9.95,9.95,9.95,319,0
HCVIU.US,D,20211011,000000,9.98,9.98,9.98,9.98,865,0
HCVIU.US,D,20211013,000000,9.945,9.945,9.945,9.945,527,0
HCVIU.US,D,20211014,000000,9.91,9.96,9.91,9.96,10335,0
HCVIU.US,D,20211018,000000,9.98,9.98,9.9345,9.96,2649,0
HCVIU.US,D,20211019,000000,9.9715,10,9.95,10,33170,0
HCVIU.US,D,20211020,000000,9.95,9.95,9.95,9.95,205,0
HCVIU.US,D,20211022,000000,9.96,9.96,9.95,9.95,3005,0
HCVIU.US,D,20211025,000000,10.03,10.03,9.95,9.95,158458,0
HCVIU.US,D,20211026,000000,9.9401,9.9401,9.9401,9.9401,1300,0
HCVIU.US,D,20211027,000000,9.94,9.96,9.94,9.94,253139,0
HCVIU.US,D,20211028,000000,9.94,9.94,9.94,9.94,1663,0
HCVIU.US,D,20211029,000000,9.9726,9.9726,9.9383,9.95,70797,0
HCVIU.US,D,20211102,000000,9.9731,9.99,9.96,9.99,13133,0
HCVIU.US,D,20211103,000000,9.94,9.99,9.94,9.99,4503,0
HCVIU.US,D,20211104,000000,10,10.01,10,10,43559,0
HCVIU.US,D,20211105,000000,10.01,10.01,9.97,9.97,605,0
HCVIU.US,D,20211108,000000,9.97,9.97,9.93,9.94,14054,0
HCVIU.US,D,20211109,000000,9.96,9.97,9.95,9.97,1281,0
HCVIU.US,D,20211110,000000,9.95,9.95,9.95,9.95,330,0
HCVIU.US,D,20211111,000000,9.95,9.97,9.95,9.97,1117,0
HCVIU.US,D,20211112,000000,9.9699,9.97,9.9699,9.97,495,0
HCVIU.US,D,20211115,000000,9.96,9.98,9.95,9.98,6560,0
HCVIU.US,D,20211116,000000,9.98,10.01,9.98,10.01,12077,0
HCVIU.US,D,20211118,000000,9.97,9.97,9.97,9.97,159,0
HCVIU.US,D,20211119,000000,9.97,10.04,9.97,10.02,15912,0
HCVIU.US,D,20211122,000000,9.93,10,9.93,9.95,8761,0
HCVIU.US,D,20211123,000000,10.01,10.01,10,10,802,0
HCVIU.US,D,20211124,000000,10.02,10.04,10.02,10.02,24632,0
HCVIU.US,D,20211129,000000,10.02,10.02,10.02,10.02,401,0
HCVIU.US,D,20211130,000000,10.33,10.33,10.05,10.05,407,0
HCVIU.US,D,20211206,000000,10,10,10,10,1002,0
HCVIU.US,D,20211216,000000,9.92,9.94,9.92,9.92,12302,0
HCVIU.US,D,20211217,000000,9.92,9.92,9.92,9.92,389,0
HCVIU.US,D,20211223,000000,9.94,9.99,9.94,9.99,1473,0
HCVIU.US,D,20211227,000000,9.99,10,9.99,10,838,0
HCVIU.US,D,20211228,000000,9.99,9.99,9.99,9.99,538,0
HCVIU.US,D,20211229,000000,9.99,9.99,9.99,9.99,5759,0
HCVIU.US,D,20220103,000000,9.92,9.92,9.89,9.89,200,0
HCVIU.US,D,20220104,000000,10.1,10.1,9.88,10,10813,0
HCVIU.US,D,20220107,000000,9.98,10,9.98,9.99,22873,0
HCVIU.US,D,20220110,000000,9.98,10,9.98,10,21474,0
HCVIU.US,D,20220111,000000,9.9662,9.9662,9.95,9.95,1700,0
HCVIU.US,D,20220112,000000,10,10,9.99,10,10161,0
