<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HEPA.US,D,20140210,000000,8400,8400,8400,8400,0.1,0
HEPA.US,D,20140211,000000,19600,23520,17920,20720,6.7,0
HEPA.US,D,20140212,000000,20720,28000,19600,22400,7.4,0
HEPA.US,D,20140213,000000,16800,22400,16800,21280,6,0
HEPA.US,D,20140214,000000,19040,21728,19040,19040,28.95,0
HEPA.US,D,20140218,000000,21280,21280,17472,17472,9.9,0
HEPA.US,D,20140219,000000,15680,19040,15680,16688,13.95,0
HEPA.US,D,20140220,000000,16800,17360,13104,13440,54.8,0
HEPA.US,D,20140221,000000,13328,17360,12880,15680,32.4,0
HEPA.US,D,20140224,000000,19040,19040,13440,14000,23.65,0
HEPA.US,D,20140225,000000,14560,14560,12656,13440,40.4,0
HEPA.US,D,20140226,000000,13104,13664,12880,13664,30.65,0
HEPA.US,D,20140227,000000,13440,15680,13440,14784,6.05,0
HEPA.US,D,20140228,000000,14784,17920,14784,17472,13,0
HEPA.US,D,20140303,000000,18032,18480,15680,16800,16.15,0
HEPA.US,D,20140304,000000,16016,17920,16016,16912,4.95,0
HEPA.US,D,20140305,000000,17024,18480,16800,18480,11.25,0
HEPA.US,D,20140306,000000,18480,20160,17920,20160,3.55,0
HEPA.US,D,20140307,000000,20160,21616,19040,21168,6.55,0
HEPA.US,D,20140310,000000,21840,33488,21280,29120,13.05,0
HEPA.US,D,20140311,000000,33040,33040,26432,26544,7.35,0
HEPA.US,D,20140312,000000,30128,30128,25312,25312,2.8,0
HEPA.US,D,20140313,000000,29568,29568,25648,25760,3.05,0
HEPA.US,D,20140314,000000,27104,27104,25648,25894.4,13.6,0
HEPA.US,D,20140317,000000,27440,28000,25872,25872,3.25,0
HEPA.US,D,20140318,000000,25312,26880,25312,25872,10.9,0
HEPA.US,D,20140319,000000,26768,26768,25760,26432,2.45,0
HEPA.US,D,20140320,000000,26880,28784,26656,27776,11.3,0
HEPA.US,D,20140321,000000,28336,33600,28336,32480,5.8,0
HEPA.US,D,20140324,000000,32480,34720,31360,33152,5.5,0
HEPA.US,D,20140325,000000,33152,33152,31024,31136,4.85,0
HEPA.US,D,20140326,000000,31136,31136,28336,28560,2.7,0
HEPA.US,D,20140327,000000,28560,29120,25200,25200,19.45,0
HEPA.US,D,20140328,000000,25424,26320,25088,25200,4.25,0
HEPA.US,D,20140331,000000,25200,29008,23968,25200,1.8,0
HEPA.US,D,20140401,000000,25536,32816,25536,26320,1.85,0
HEPA.US,D,20140402,000000,28560,28896,26320,26320,3.15,0
HEPA.US,D,20140403,000000,29008,29008,25312,25536,2.8,0
HEPA.US,D,20140404,000000,25536,25760,25200,25200,2.1,0
HEPA.US,D,20140407,000000,25200,25312,24528,24864,2.85,0
HEPA.US,D,20140408,000000,24640,24976,24304,24304,2.4,0
HEPA.US,D,20140409,000000,24640,27888,24640,24640,1.15,0
HEPA.US,D,20140410,000000,24864,25760,22064,22960,1.9,0
HEPA.US,D,20140411,000000,22288,22736,22064,22512,2.65,0
HEPA.US,D,20140414,000000,22512,24080,22288,23520,2.4,0
HEPA.US,D,20140415,000000,23520,23520,21840,22064,2.35,0
HEPA.US,D,20140416,000000,22736,22736,21840,22176,1.05,0
HEPA.US,D,20140417,000000,22400,22512,21952,22400,0.75,0
HEPA.US,D,20140421,000000,21840,22400,21280,21840,0.75,0
HEPA.US,D,20140422,000000,21840,21840,20160,21056,2.1,0
HEPA.US,D,20140423,000000,19936,21280,19936,20720,1.1,0
HEPA.US,D,20140424,000000,19936,21280,16240,21280,3.35,0
HEPA.US,D,20140425,000000,19600,19600,16800,19600,2,0
HEPA.US,D,20140428,000000,19376,23408,19264,20720,0.85,0
HEPA.US,D,20140429,000000,20496,21280,20160,21280,0.3,0
HEPA.US,D,20140430,000000,21280,21280,20160,20944,0.9,0
HEPA.US,D,20140501,000000,21280,22400,20944,21280,0.2,0
HEPA.US,D,20140502,000000,22400,22960,21840,22624,0.55,0
HEPA.US,D,20140505,000000,22960,23520,19712,22960,1.15,0
HEPA.US,D,20140506,000000,21504,23072,20832,22400,3.85,0
HEPA.US,D,20140507,000000,22512,22512,19488,19600,1.75,0
HEPA.US,D,20140508,000000,18144,18480,17024,17920,6.6,0
HEPA.US,D,20140509,000000,17360,17360,16240,16240,2.05,0
HEPA.US,D,20140512,000000,16352,16912,14000,14560,1.9,0
HEPA.US,D,20140513,000000,15120,19600,15120,17696,2.25,0
HEPA.US,D,20140514,000000,17920,17920,16128,16800,4.8,0
HEPA.US,D,20140515,000000,16800,16800,15344,16688,0.9,0
HEPA.US,D,20140516,000000,16688,16800,16688,16800,0.7,0
HEPA.US,D,20140519,000000,16016,16800,15344,16800,0.9,0
HEPA.US,D,20140520,000000,16240,16800,15680,15792,1.55,0
HEPA.US,D,20140521,000000,15792,16240,15792,16240,0.7,0
HEPA.US,D,20140522,000000,16240,16688,16016,16128,0.55,0
HEPA.US,D,20140523,000000,16240,19488,16240,17248,0.15,0
HEPA.US,D,20140527,000000,17248,21616,17248,17584,0.45,0
HEPA.US,D,20140528,000000,20944,21728,17248,18816,0.95,0
HEPA.US,D,20140529,000000,18928,19600,18032,18928,0.5,0
HEPA.US,D,20140530,000000,16912,17360,16912,17248,0.45,0
HEPA.US,D,20140602,000000,17248,18256,17024,17696,1.95,0
HEPA.US,D,20140603,000000,17920,17920,17136,17136,0.9,0
HEPA.US,D,20140604,000000,17360,21840,17360,20160,1.6,0
HEPA.US,D,20140605,000000,21504,22512,19936,22512,2.55,0
HEPA.US,D,20140606,000000,22400,22400,20048,22400,0.75,0
HEPA.US,D,20140609,000000,22288,22400,20048,20720,1.2,0
HEPA.US,D,20140610,000000,20160,20384,20160,20384,0.65,0
HEPA.US,D,20140611,000000,20384,20608,19152,20496,0.25,0
HEPA.US,D,20140612,000000,20496,20496,18480,19264,0.4,0
HEPA.US,D,20140613,000000,18816,18816,18480,18480,0.8,0
HEPA.US,D,20140616,000000,18480,19040,18480,18592,0.2,0
HEPA.US,D,20140617,000000,18480,18480,18032,18480,0.5,0
HEPA.US,D,20140618,000000,16912,17248,16912,17248,0.2,0
HEPA.US,D,20140619,000000,17360,19040,17360,18480,0.6,0
HEPA.US,D,20140620,000000,18480,19936,18480,19040,0.2,0
HEPA.US,D,20140623,000000,17808,17920,17808,17920,0.2,0
HEPA.US,D,20140624,000000,19152,19152,17136,17136,1.45,0
HEPA.US,D,20140625,000000,17136,17136,13888,13888,3.25,0
HEPA.US,D,20140626,000000,13888,14560,13440,13440,4,0
HEPA.US,D,20140627,000000,12992,13440,12096,12432,5.25,0
HEPA.US,D,20140630,000000,12432,12544,12320,12432,0.95,0
HEPA.US,D,20140701,000000,12544,13888,12544,13328,3.85,0
HEPA.US,D,20140702,000000,13440,13440,12992,12992,0.9,0
HEPA.US,D,20140703,000000,12432,12992,12432,12992,0.5,0
HEPA.US,D,20140707,000000,12432,14000,12320,12320,3.4,0
HEPA.US,D,20140708,000000,12320,12432,11760,12432,2.25,0
HEPA.US,D,20140709,000000,12320,12320,11424,11536,0.45,0
HEPA.US,D,20140710,000000,11200,11984,11200,11312,0.4,0
HEPA.US,D,20140711,000000,11984,16240,11984,15120,2.1,0
HEPA.US,D,20140714,000000,15120,15120,12992,13104,0.15,0
HEPA.US,D,20140715,000000,12880,14000,12320,12521.6,8.15,0
HEPA.US,D,20140716,000000,15680,16016,12992,15344,1.3,0
HEPA.US,D,20140717,000000,14784,15456,14784,15456,1.05,0
HEPA.US,D,20140718,000000,15456,15456,15456,15456,0.15,0
HEPA.US,D,20140721,000000,14672,17248,14560,16800,1.75,0
HEPA.US,D,20140722,000000,14268.8,17136,14112,16688,3.7,0
HEPA.US,D,20140723,000000,15120,15344,15120,15344,0.05,0
HEPA.US,D,20140724,000000,14000,16800,14000,16800,2,0
HEPA.US,D,20140725,000000,16800,19600,16800,19600,2.5,0
HEPA.US,D,20140728,000000,19040,19040,14224,18928,0.4,0
HEPA.US,D,20140729,000000,17920,18928,15792,18368,0.65,0
HEPA.US,D,20140730,000000,18368,18368,16240,16240,0.6,0
HEPA.US,D,20140731,000000,14000,15120,14000,14112,0.25,0
HEPA.US,D,20140801,000000,14000,14448,13440,14448,4.1,0
HEPA.US,D,20140804,000000,13776,14604.8,13776,14604.8,0.3,0
HEPA.US,D,20140805,000000,14560,14582.4,14560,14560,0.2,0
HEPA.US,D,20140806,000000,13552,14291.2,12768,13328,0.85,0
HEPA.US,D,20140807,000000,13328,17808,13328,17360,2,0
HEPA.US,D,20140808,000000,17360,17360,13888,15120,0.3,0
HEPA.US,D,20140811,000000,13440,13888,12768,12992,4.05,0
HEPA.US,D,20140812,000000,12880,16800,12880,13216,1.15,0
HEPA.US,D,20140813,000000,13036.8,13104,12992,12992,0.1,0
HEPA.US,D,20140814,000000,13193.6,13440,13104,13440,0.65,0
HEPA.US,D,20140815,000000,14000,15680,13440,13440,0.4,0
HEPA.US,D,20140818,000000,13440,14224,13328,14224,0.4,0
HEPA.US,D,20140819,000000,13104,15456,13104,14022.4,0.2,0
HEPA.US,D,20140820,000000,13440,13440,13440,13440,0.35,0
HEPA.US,D,20140821,000000,13272,13440,12992,13440,0.85,0
HEPA.US,D,20140822,000000,14112,17740.8,14112,17360,2,0
HEPA.US,D,20140825,000000,15792,16576,14560,14560,0.8,0
HEPA.US,D,20140826,000000,14448,14896,14448,14784,0.05,0
HEPA.US,D,20140827,000000,15456,15456,15456,15456,0.1,0
HEPA.US,D,20140828,000000,15568,15568,15456,15456,0.25,0
HEPA.US,D,20140829,000000,15456,15456,14448,14448,0.15,0
HEPA.US,D,20140902,000000,15120,15568,15120,15120,0.2,0
HEPA.US,D,20140903,000000,15120,15904,13776,13776,0.85,0
HEPA.US,D,20140904,000000,13888,14000,12992,14000,1.65,0
HEPA.US,D,20140905,000000,14000,15120,12992,15008,0.5,0
HEPA.US,D,20140908,000000,12880,13888,12880,13888,0.15,0
HEPA.US,D,20140909,000000,14000,14000,14000,14000,0.2,0
HEPA.US,D,20140910,000000,14672,14672,14672,14672,0.45,0
HEPA.US,D,20140911,000000,14784,14784,14000,14000,0.25,0
HEPA.US,D,20140912,000000,14224,14896,14224,14224,0.2,0
HEPA.US,D,20140915,000000,14392,15120,14224,14336,0.15,0
HEPA.US,D,20140916,000000,15008,15008,14336,14672,0.05,0
HEPA.US,D,20140917,000000,14336,14336,14224,14224,0.4,0
HEPA.US,D,20140918,000000,14448,14896,13440,13440,1.25,0
HEPA.US,D,20140919,000000,12992,14000,12880,12880,2.55,0
HEPA.US,D,20140922,000000,12992,12992,12656,12656,1.75,0
HEPA.US,D,20140923,000000,12432,12880,12432,12768,0.7,0
HEPA.US,D,20140924,000000,12768,12880,12320,12320,0.45,0
HEPA.US,D,20140925,000000,11872,11872,10236.8,11200,0.75,0
HEPA.US,D,20140926,000000,11424,11760,11424,11760,2.35,0
HEPA.US,D,20140929,000000,11424,11760,11424,11424,0.8,0
HEPA.US,D,20140930,000000,11872,11872,11424,11513.6,0.15,0
HEPA.US,D,20141001,000000,11872,11872,9553.6,10640,0.65,0
HEPA.US,D,20141002,000000,10080,10080,10080,10080,0.25,0
HEPA.US,D,20141003,000000,9744,11648,9744,11648,0.55,0
HEPA.US,D,20141006,000000,9520,9744,9520,9520,1.3,0
HEPA.US,D,20141007,000000,9520,9632,9520,9520,1.55,0
HEPA.US,D,20141008,000000,9408,9408,7840,8400,47.6,0
HEPA.US,D,20141009,000000,8512,8736,7844.4,8400,3.8,0
HEPA.US,D,20141010,000000,7844.4,9184,7844.4,8176,1.8,0
HEPA.US,D,20141013,000000,8176,8220.8,7844.4,8176,3.05,0
HEPA.US,D,20141014,000000,7844.4,7844.4,7280,7280,0.2,0
HEPA.US,D,20141015,000000,7840,13328,7840,12768,6.5,0
HEPA.US,D,20141016,000000,14784,14784,11200,14560,1.8,0
HEPA.US,D,20141017,000000,14560,15008,14560,14560,0.5,0
HEPA.US,D,20141020,000000,11424,14784,11200,14560,1.05,0
HEPA.US,D,20141021,000000,11424,14672,11424,11872,6.5,0
HEPA.US,D,20141022,000000,14000,14000,12320,12320,0.3,0
HEPA.US,D,20141023,000000,14448,14784,14448,14448,0.75,0
HEPA.US,D,20141024,000000,14672,14672,14672,14672,0.25,0
HEPA.US,D,20141027,000000,12208,12880,11872,12208,2.05,0
HEPA.US,D,20141028,000000,11536,14672,11536,14672,0.25,0
HEPA.US,D,20141029,000000,14560,14784,14336,14336,0.35,0
HEPA.US,D,20141030,000000,12880,14784,12432,12432,2.65,0
HEPA.US,D,20141031,000000,14336,14784,14336,14448,0.75,0
HEPA.US,D,20141103,000000,14336,14560,14336,14448,3.2,0
HEPA.US,D,20141104,000000,14336,14560,13440,13440,4.05,0
HEPA.US,D,20141105,000000,13440,13440,13328,13440,0.65,0
HEPA.US,D,20141106,000000,13328,14784,13328,14784,0.5,0
HEPA.US,D,20141107,000000,13328,13440,13328,13440,0.8,0
HEPA.US,D,20141110,000000,12992,14672,12992,13216,0.5,0
HEPA.US,D,20141111,000000,12880,13776,12880,12880,1.35,0
HEPA.US,D,20141112,000000,12432,12656,12432,12544,1.05,0
HEPA.US,D,20141113,000000,12544,12544,12454.4,12544,0.1,0
HEPA.US,D,20141114,000000,12432,13104,12320,12320,0.75,0
HEPA.US,D,20141117,000000,12880,14560,12432,14560,0.15,0
HEPA.US,D,20141118,000000,14448,14448,12320,14112,1.8,0
HEPA.US,D,20141119,000000,12656,13440,12544,13440,0.2,0
HEPA.US,D,20141120,000000,12656,14000,12320,14000,0.65,0
HEPA.US,D,20141121,000000,12320,14280,12320,14000,0.65,0
HEPA.US,D,20141124,000000,14000,14627.2,12656,14560,2.45,0
HEPA.US,D,20141125,000000,14604.8,14672,14560,14672,1.1,0
HEPA.US,D,20141126,000000,14560,15680,14560,15120,0.4,0
HEPA.US,D,20141128,000000,14000,15120,11760,15120,0.2,0
HEPA.US,D,20141201,000000,14224,14224,14224,14224,0.45,0
HEPA.US,D,20141202,000000,14896,15904,13888,14112,1.1,0
HEPA.US,D,20141203,000000,14560,17360,14560,16800,1,0
HEPA.US,D,20141204,000000,17248,17360,17248,17360,0.65,0
HEPA.US,D,20141205,000000,17360,18816,16800,16800,0.55,0
HEPA.US,D,20141208,000000,17113.6,17136,14896,15568,0.55,0
HEPA.US,D,20141209,000000,18592,18816,17808,18144,1.15,0
HEPA.US,D,20141210,000000,17808,18480,17360,18480,1,0
HEPA.US,D,20141211,000000,15008,19040,15008,15904,1.35,0
HEPA.US,D,20141212,000000,16688,19600,15232,16800,1.1,0
HEPA.US,D,20141215,000000,18480,19600,18480,19264,1.4,0
HEPA.US,D,20141216,000000,15344,19600,14560,19096,3,0
HEPA.US,D,20141217,000000,19488,20048,19152,20048,1.85,0
HEPA.US,D,20141218,000000,21840,29680,21840,24640,8.7,0
HEPA.US,D,20141219,000000,25312,25312,22624,24640,1,0
HEPA.US,D,20141222,000000,23744,23856,22400,22512,2.2,0
HEPA.US,D,20141223,000000,22624,23744,22400,23408,0.4,0
HEPA.US,D,20141224,000000,23408,23632,21840,23632,0.65,0
HEPA.US,D,20141226,000000,24080,24080,21840,23408,0.65,0
HEPA.US,D,20141229,000000,22960,23520,19040,23520,5.45,0
