<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HHGC.US,D,20220712,000000,10.02,10.02,10.02,10.02,100,0
HHGC.US,D,20220718,000000,10.02,10.025,10.0125,10.02,9901,0
HHGC.US,D,20220801,000000,10.05,10.05,10.05,10.05,100,0
HHGC.US,D,20220811,000000,10.1202,10.1202,10.105,10.105,309,0
HHGC.US,D,20220822,000000,10.11,10.11,10.11,10.11,108,0
HHGC.US,D,20220901,000000,10.05,10.05,10.05,10.05,2000,0
HHGC.US,D,20220907,000000,10.16,10.16,10.16,10.16,100,0
HHGC.US,D,20220908,000000,10.13,10.16,10.13,10.16,402,0
HHGC.US,D,20220909,000000,10.16,10.16,10.1599,10.16,1323,0
HHGC.US,D,20220912,000000,10.15,10.15,10.1399,10.14,462,0
HHGC.US,D,20220913,000000,10.16,10.2,10.1,10.2,10402,0
HHGC.US,D,20220914,000000,10.13,10.13,10.13,10.13,8629,0
HHGC.US,D,20220915,000000,10.15,10.1601,10.15,10.1601,2732,0
HHGC.US,D,20220916,000000,10.19,10.1901,10.19,10.1901,7213,0
HHGC.US,D,20220920,000000,11.74,11.74,10.33,10.33,2611,0
HHGC.US,D,20220921,000000,10.35,10.35,10.24,10.25,7076,0
HHGC.US,D,20220922,000000,10.2037,10.25,10.2,10.25,129001,0
HHGC.US,D,20220923,000000,10.91,13.15,10.53,11.4,1626103,0
HHGC.US,D,20220926,000000,10.52,10.6347,10.31,10.5,131028,0
HHGC.US,D,20220927,000000,10.33,11.3023,10.25,10.74,78931,0
HHGC.US,D,20220928,000000,10.5101,11.2455,10.27,10.41,47250,0
HHGC.US,D,20220929,000000,10.63,10.93,10.36,10.55,13560,0
HHGC.US,D,20220930,000000,10.54,10.55,10.3601,10.39,4285,0
HHGC.US,D,20221003,000000,10.73,10.73,10.38,10.48,7844,0
HHGC.US,D,20221004,000000,10.41,10.85,10.36,10.37,8191,0
HHGC.US,D,20221005,000000,10.36,12,10.26,11.45,425673,0
HHGC.US,D,20221006,000000,10.99,11.3618,10.75,10.95,112702,0
HHGC.US,D,20221007,000000,10.98,10.98,10.71,10.88,18793,0
HHGC.US,D,20221010,000000,10.98,10.98,10.62,10.623,18334,0
HHGC.US,D,20221011,000000,10.6,10.7001,10.55,10.6001,23256,0
HHGC.US,D,20221012,000000,10.5801,10.8,10.5801,10.68,10087,0
HHGC.US,D,20221013,000000,10.47,10.78,10.47,10.68,2050,0
HHGC.US,D,20221014,000000,10.55,10.6843,10.5,10.6843,9241,0
HHGC.US,D,20221017,000000,10.5289,10.77,10.51,10.55,8704,0
HHGC.US,D,20221018,000000,10.6,10.6,10.47,10.52,10687,0
HHGC.US,D,20221019,000000,10.5001,10.6125,10.4,10.4596,23020,0
HHGC.US,D,20221020,000000,10.46,10.5475,10.44,10.44,5950,0
HHGC.US,D,20221021,000000,10.36,10.6775,10.36,10.44,3678,0
HHGC.US,D,20221024,000000,10.44,10.545,10.38,10.44,4457,0
HHGC.US,D,20221025,000000,10.54,10.67,10.5,10.64,11206,0
HHGC.US,D,20221026,000000,10.45,10.66,10.45,10.64,5072,0
HHGC.US,D,20221027,000000,10.535,10.63,10.4201,10.48,2427,0
HHGC.US,D,20221028,000000,10.54,10.65,10.525,10.6,7321,0
HHGC.US,D,20221031,000000,10.52,10.52,10.5,10.5,4221,0
HHGC.US,D,20221101,000000,10.48,10.5,10.48,10.5,6005,0
HHGC.US,D,20221102,000000,10.62,10.62,10.48,10.48,451,0
HHGC.US,D,20221103,000000,10.6036,10.6036,10.45,10.48,8914,0
HHGC.US,D,20221104,000000,10.45,10.56,10.45,10.495,7823,0
HHGC.US,D,20221107,000000,10.4801,10.64,10.4801,10.5101,19248,0
HHGC.US,D,20221108,000000,10.57,10.57,10.41,10.41,20551,0
HHGC.US,D,20221109,000000,10.5,10.59,10.45,10.4844,15329,0
HHGC.US,D,20221110,000000,10.63,10.63,10.42,10.4501,3326,0
HHGC.US,D,20221111,000000,10.475,10.5199,10.475,10.5199,963,0
HHGC.US,D,20221114,000000,10.48,10.58,10.2,10.2,87289,0
HHGC.US,D,20221115,000000,10.1734,10.1734,10.06,10.0809,47990,0
HHGC.US,D,20221116,000000,10.05,10.05,10.05,10.05,206,0
HHGC.US,D,20221117,000000,10.05,10.1,10.02,10.1,9962,0
HHGC.US,D,20221118,000000,10.1258,10.15,10.11,10.14,6776,0
HHGC.US,D,20221121,000000,10.12,10.14,10.12,10.12,1751,0
HHGC.US,D,20221122,000000,10.12,10.12,10.11,10.111,2621,0
HHGC.US,D,20221123,000000,10.1001,10.1001,10.1001,10.1001,331,0
HHGC.US,D,20221129,000000,10.1,10.1,10.1,10.1,258,0
HHGC.US,D,20221130,000000,10.1,10.1001,10.1,10.1001,982,0
HHGC.US,D,20221201,000000,10.1,10.11,10.1,10.11,546,0
HHGC.US,D,20221202,000000,10.12,10.14,10.12,10.13,3505,0
HHGC.US,D,20221205,000000,10.1399,10.15,10.135,10.15,6259,0
HHGC.US,D,20221206,000000,10.14,10.14,10.14,10.14,1889,0
HHGC.US,D,20221207,000000,10.14,10.14,10.14,10.14,7494,0
HHGC.US,D,20221208,000000,10.14,10.1401,10.14,10.1401,2263,0
HHGC.US,D,20221209,000000,10.14,10.1499,10.11,10.135,46023,0
HHGC.US,D,20221213,000000,10.125,10.125,10.1,10.1,2835,0
HHGC.US,D,20221215,000000,10.1,10.1001,10.09,10.1001,9056,0
HHGC.US,D,20221216,000000,10.1001,10.1001,10.1001,10.1001,363,0
HHGC.US,D,20221220,000000,10.1,10.1,10.1,10.1,435,0
HHGC.US,D,20221222,000000,10.0001,10.1,10,10.09,14007,0
HHGC.US,D,20221227,000000,10.07,10.115,10.06,10.072,1332,0
HHGC.US,D,20221228,000000,10.0601,10.0601,10.0601,10.0601,2032,0
HHGC.US,D,20221229,000000,10.1,10.1001,10.1,10.1,497,0
HHGC.US,D,20230103,000000,10.1,10.12,10.1,10.11,4294,0
HHGC.US,D,20230104,000000,10.11,10.11,10.11,10.11,677,0
HHGC.US,D,20230105,000000,10.16,10.16,10.16,10.16,298,0
HHGC.US,D,20230109,000000,10.2,10.245,10.2,10.245,1174,0
HHGC.US,D,20230110,000000,10.29,10.29,10.265,10.265,493,0
HHGC.US,D,20230111,000000,10.26,10.29,10.26,10.26,3780,0
HHGC.US,D,20230113,000000,10.26,10.26,10.26,10.26,2120,0
HHGC.US,D,20230117,000000,10.26,10.26,10.26,10.26,100,0
HHGC.US,D,20230118,000000,10.26,10.26,10.26,10.26,208,0
HHGC.US,D,20230119,000000,10.28,10.3,10.28,10.3,14471,0
HHGC.US,D,20230120,000000,10.335,10.335,10.3,10.3,7489,0
HHGC.US,D,20230125,000000,10.31,10.33,10.31,10.33,3560,0
HHGC.US,D,20230126,000000,10.3,10.3001,10.3,10.3001,417,0
HHGC.US,D,20230130,000000,10.31,10.3104,10.31,10.31,2663,0
HHGC.US,D,20230206,000000,10.34,10.34,10.34,10.34,206,0
HHGC.US,D,20230207,000000,10.36,10.365,10.35,10.36,16047,0
HHGC.US,D,20230208,000000,10.38,10.38,10.37,10.38,5166,0
HHGC.US,D,20230213,000000,10.415,10.415,10.38,10.41,1358,0
HHGC.US,D,20230214,000000,10.41,10.41,10.41,10.41,1093,0
HHGC.US,D,20230215,000000,10.4197,10.4197,10.4197,10.4197,191,0
HHGC.US,D,20230216,000000,10.41,10.41,10.41,10.41,265,0
HHGC.US,D,20230217,000000,10.42,10.42,10.42,10.42,100,0
HHGC.US,D,20230222,000000,10.42,10.42,10.42,10.42,104,0
HHGC.US,D,20230223,000000,10.42,10.42,10.42,10.42,696,0
HHGC.US,D,20230224,000000,10.44,10.44,10.43,10.4301,19877,0
HHGC.US,D,20230302,000000,10.44,10.44,10.44,10.44,2040,0
HHGC.US,D,20230303,000000,10.58,10.58,10.44,10.45,2298,0
HHGC.US,D,20230306,000000,10.4501,10.4501,10.4501,10.4501,321,0
HHGC.US,D,20230307,000000,10.45,10.4501,10.45,10.4501,401,0
HHGC.US,D,20230308,000000,10.575,10.575,10.57,10.57,690,0
