<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HOND.US,D,20241011,000000,9.96,9.97,9.96,9.96,252278,0
HOND.US,D,20241014,000000,9.9686,9.9686,9.9686,9.9686,323,0
HOND.US,D,20241015,000000,9.96,9.97,9.9598,9.965,733654,0
HOND.US,D,20241016,000000,9.96,9.97,9.96,9.96,54089,0
HOND.US,D,20241017,000000,9.97,9.97,9.96,9.97,249745,0
HOND.US,D,20241018,000000,9.96,9.97,9.96,9.97,745093,0
HOND.US,D,20241021,000000,9.96,9.97,9.96,9.97,859762,0
HOND.US,D,20241022,000000,9.97,9.99,9.96,9.97,485752,0
HOND.US,D,20241023,000000,9.97,9.98,9.97,9.975,865543,0
HOND.US,D,20241024,000000,9.985,9.985,9.97,9.97,11015,0
HOND.US,D,20241025,000000,9.99,9.99,9.97,9.97,59106,0
HOND.US,D,20241028,000000,9.98,9.98,9.98,9.98,378,0
HOND.US,D,20241029,000000,9.9799,10.01,9.97,10.01,164524,0
HOND.US,D,20241030,000000,9.98,10,9.98,10,490270,0
HOND.US,D,20241031,000000,10,10,9.98,9.98,1501,0
HOND.US,D,20241101,000000,10,10,9.99,9.99,4122,0
HOND.US,D,20241104,000000,10.455,10.455,9.99,9.99,19663,0
HOND.US,D,20241105,000000,10.25,10.25,9.98,9.98,122904,0
HOND.US,D,20241106,000000,10.005,10.005,10,10,482181,0
HOND.US,D,20241107,000000,10.01,10.01,10,10.01,1311,0
HOND.US,D,20241108,000000,9.99,10,9.99,10,2678,0
HOND.US,D,20241111,000000,10,10.01,10,10.01,11687,0
HOND.US,D,20241112,000000,9.9978,10,9.99,10,18601,0
HOND.US,D,20241113,000000,10,10.01,10,10.01,126702,0
HOND.US,D,20241114,000000,10.005,10.01,10.005,10.01,3934,0
HOND.US,D,20241115,000000,10.01,10.01,10.01,10.01,2282,0
HOND.US,D,20241119,000000,10.0099,10.01,9.99,9.99,88875,0
HOND.US,D,20241120,000000,10.0033,10.0038,10,10,1777,0
HOND.US,D,20241121,000000,10,10,10,10,296,0
HOND.US,D,20241122,000000,9.99,10,9.99,10,314,0
HOND.US,D,20241125,000000,9.99,10.0035,9.99,10,1510,0
HOND.US,D,20241126,000000,10,10,10,10,208,0
HOND.US,D,20241127,000000,10.0005,10.0123,10.0005,10.01,77193,0
HOND.US,D,20241129,000000,10.01,10.0151,10.01,10.01,5350,0
HOND.US,D,20241202,000000,10.1221,10.48,9.9949,9.9999,15565,0
HOND.US,D,20241203,000000,10,10.05,9.9998,10,54753,0
HOND.US,D,20241205,000000,10,10.02,9.99,10.01,32327,0
HOND.US,D,20241206,000000,10.01,10.01,10.01,10.01,120488,0
HOND.US,D,20241209,000000,10,10.01,10,10.01,2625,0
HOND.US,D,20241211,000000,10.01,10.02,10,10.02,21329,0
HOND.US,D,20241212,000000,10.01,10.01,10.01,10.01,458,0
HOND.US,D,20241216,000000,10.01,10.01,10.01,10.01,282,0
HOND.US,D,20241217,000000,10.01,10.05,10,10.05,13159,0
HOND.US,D,20241218,000000,10.01,10.01,10.01,10.01,225103,0
HOND.US,D,20241219,000000,10.07,10.07,10.01,10.02,2176,0
HOND.US,D,20241220,000000,10.02,10.0377,10.01,10.0292,203911,0
HOND.US,D,20241223,000000,10.01,10.02,10,10.02,70401,0
HOND.US,D,20241224,000000,10.01,10.01,10.01,10.01,121,0
HOND.US,D,20241226,000000,10.01,10.01,10.01,10.01,172,0
HOND.US,D,20241227,000000,10.02,10.0276,10.01,10.0276,3522,0
HOND.US,D,20241230,000000,10.01,10.01,10.01,10.01,602,0
HOND.US,D,20241231,000000,10.02,10.03,10.02,10.02,9004,0
HOND.US,D,20250102,000000,10.02,10.03,10.02,10.03,60714,0
HOND.US,D,20250103,000000,10.02,10.03,10.02,10.03,265,0
HOND.US,D,20250106,000000,10.02,10.02,10.02,10.02,2256,0
HOND.US,D,20250107,000000,10.02,10.03,10.02,10.03,2919,0
HOND.US,D,20250108,000000,10.03,10.03,10.03,10.03,22608,0
HOND.US,D,20250110,000000,10.03,10.03,10.03,10.03,324,0
HOND.US,D,20250114,000000,10.04,10.05,10.0399,10.05,17259,0
HOND.US,D,20250116,000000,10.04,10.06,10.04,10.05,3925,0
HOND.US,D,20250117,000000,10.0489,10.0489,10.0489,10.0489,475,0
HOND.US,D,20250122,000000,10.04,10.05,10.04,10.05,36236,0
HOND.US,D,20250123,000000,10.25,10.2501,10.25,10.25,500,0
HOND.US,D,20250124,000000,10.12,10.12,10.05,10.1,14723,0
HOND.US,D,20250127,000000,10.08,10.08,10.05,10.05,836,0
HOND.US,D,20250128,000000,10.06,10.06,10.06,10.06,2608,0
HOND.US,D,20250129,000000,10.0601,10.0601,10.0601,10.0601,1055,0
HOND.US,D,20250130,000000,10.0624,10.0624,10.0624,10.0624,1104,0
HOND.US,D,20250131,000000,10.07,10.0799,10.07,10.0799,1260,0
HOND.US,D,20250203,000000,10.0952,10.0952,10.08,10.08,1249,0
HOND.US,D,20250204,000000,10.08,10.08,10.08,10.08,184,0
HOND.US,D,20250206,000000,10.08,10.08,10.08,10.08,740,0
HOND.US,D,20250207,000000,10.09,10.09,10.07,10.0889,11204,0
HOND.US,D,20250210,000000,10.09,10.11,10.08,10.11,1394,0
HOND.US,D,20250211,000000,10.08,10.11,10.08,10.08,3326,0
HOND.US,D,20250212,000000,10.09,10.11,10.0879,10.1,51500,0
HOND.US,D,20250213,000000,10.1001,10.101,10.1,10.1,2229,0
