<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HPCO.US,D,20220830,000000,380,418,75,77.8,452208.2,0
HPCO.US,D,20220831,000000,71.6,74.3,48,51.1,174512,0
HPCO.US,D,20220901,000000,77.7,114.9,75.2,83.5,5088627.2,0
HPCO.US,D,20220902,000000,70.1,74,54.1,56.4,247307.3,0
HPCO.US,D,20220906,000000,52.2,53.999,41.7,45.5,115933.5,0
HPCO.US,D,20220907,000000,42.7,48.481,40,47.4,88191.3,0
HPCO.US,D,20220908,000000,47.4,47.4,42.3,43.1,32759.1,0
HPCO.US,D,20220909,000000,40.9,42.4,37.5,38.4,58254.1,0
HPCO.US,D,20220912,000000,38.9,39.499,35.5,37.501,58794.2,0
HPCO.US,D,20220913,000000,36.9,37,33.7,34,25938.6,0
HPCO.US,D,20220914,000000,33.4,37.193,33.201,34.8,52420.3,0
HPCO.US,D,20220915,000000,33.1,34.948,31.5,31.8,39667.4,0
HPCO.US,D,20220916,000000,29.5,30.5,28,28.4,42226.6,0
HPCO.US,D,20220919,000000,26.7,26.8,23.7,24.1,40027.2,0
HPCO.US,D,20220920,000000,23.5,24.9,23.3,24.5,20526.9,0
HPCO.US,D,20220921,000000,24.5,24.8,22.001,22.4,12547.2,0
HPCO.US,D,20220922,000000,22.2,24.2,22.101,22.7,11244.9,0
HPCO.US,D,20220923,000000,22,23.199,20.9,21.8,14267.8,0
HPCO.US,D,20220926,000000,21.1,23.5,21.01,22.7,20242.6,0
HPCO.US,D,20220927,000000,23.1,25,22.5,23.6,28339.5,0
HPCO.US,D,20220928,000000,24.3,24.9,23.1,24.1,15824.2,0
HPCO.US,D,20220929,000000,23.9,31.399,23.6,25.8,298603.8,0
HPCO.US,D,20220930,000000,25.2,25.95,22.2,22.5,36000.3,0
HPCO.US,D,20221003,000000,25.3,25.5,23.4,25,37344.2,0
HPCO.US,D,20221004,000000,25.3,26.4,24.301,25.5,39338.4,0
HPCO.US,D,20221005,000000,24.5,25.7,23.7,24.4,15774.3,0
HPCO.US,D,20221006,000000,24.9,27.7,23,25.5,96065.1,0
HPCO.US,D,20221007,000000,25.7,26,22.6,23.4,29503.1,0
HPCO.US,D,20221010,000000,22.8,25,21.9,22,7616.6,0
HPCO.US,D,20221011,000000,21.9,22.9,20.7,21.9,12872.5,0
HPCO.US,D,20221012,000000,35.3,36.4,28.6,31.4,2910249.2,0
HPCO.US,D,20221013,000000,29,36,28.6,33.8,241002.4,0
HPCO.US,D,20221014,000000,32.9,32.9,27.3,27.8,57902,0
HPCO.US,D,20221017,000000,28,29.2,25.2,25.4,35027.2,0
HPCO.US,D,20221018,000000,25.8,26.9,23.5,23.7,25687.9,0
HPCO.US,D,20221019,000000,22.7,22.799,20.6,21.1,19364.7,0
HPCO.US,D,20221020,000000,21,22,20.5,20.9,9535.8,0
HPCO.US,D,20221021,000000,20.8,21.4,19.6,20.6,11101,0
HPCO.US,D,20221024,000000,19.5,20.8,17.8,19,13322.4,0
HPCO.US,D,20221025,000000,19.4,20.4,18.4,19.6,18983,0
HPCO.US,D,20221026,000000,19.2,20.5,18.5,18.7,22169.9,0
HPCO.US,D,20221027,000000,19.2,19.9,18.3,18.3,15728.7,0
HPCO.US,D,20221028,000000,18.8,19.663,17.72,18.9,8816.2,0
HPCO.US,D,20221031,000000,19.6,19.6,17.9,19.4,48584.8,0
HPCO.US,D,20221101,000000,19.3,20.6,19,20,45596.7,0
HPCO.US,D,20221102,000000,20,20.4,17.801,18.9,12425.1,0
HPCO.US,D,20221103,000000,18.9,18.9,17.8,18.8,9898.1,0
HPCO.US,D,20221104,000000,18.1,18.5,17.801,18.5,3653.6,0
HPCO.US,D,20221107,000000,18.8,19.3,16.5,17.1,12330.2,0
HPCO.US,D,20221108,000000,16.9,17.15,15.064,15.9,9912.3,0
HPCO.US,D,20221109,000000,14.6,15.2,13.85,14.4,9642.9,0
HPCO.US,D,20221110,000000,14.6,15.466,13.605,15.1,18538,0
HPCO.US,D,20221111,000000,15,17.2,14.5,17,27039,0
HPCO.US,D,20221114,000000,17.2,17.2,15.612,16.1,7214.2,0
HPCO.US,D,20221115,000000,15.8,16.61,15.2,15.7,5724.2,0
HPCO.US,D,20221116,000000,15.601,15.888,15.2,15.5,1485.8,0
HPCO.US,D,20221117,000000,15.1,15.85,14.6,15.5,8940.8,0
HPCO.US,D,20221118,000000,15.3,15.899,15.2,15.2,986.2,0
HPCO.US,D,20221121,000000,15.4,15.5,14.6,14.7,6167.2,0
HPCO.US,D,20221122,000000,15.6,15.6,14.2,14.4,5149.7,0
HPCO.US,D,20221123,000000,14.75,15.3,14.2,14.8,4267.8,0
HPCO.US,D,20221125,000000,15.5,15.5,14.8,15,3876.5,0
HPCO.US,D,20221128,000000,15.4,15.4,13.6,13.6,8125.2,0
HPCO.US,D,20221129,000000,15.2,15.2,13.5,13.6,4581.3,0
HPCO.US,D,20221130,000000,15.4,16.121,14.5,15.3,11282.9,0
HPCO.US,D,20221201,000000,15.899,15.899,14.5,14.96,4411.3,0
HPCO.US,D,20221202,000000,14.8,15.8,14,15.5,9121.7,0
HPCO.US,D,20221205,000000,16.1,16.1,14,14,15213.4,0
HPCO.US,D,20221206,000000,14.2,14.2,13.1,14.2,4265.1,0
HPCO.US,D,20221207,000000,13.7,13.95,13.3,13.6,3312.4,0
HPCO.US,D,20221208,000000,13.943,13.999,13.1,13.2,4025.6,0
HPCO.US,D,20221209,000000,13.7,14.1,12.5,12.7,2675.9,0
HPCO.US,D,20221212,000000,13.1,13.1,11.7,11.7,9829.5,0
HPCO.US,D,20221213,000000,11.7,12.2,11.6,12,6729.5,0
HPCO.US,D,20221214,000000,11.7,11.8,11.2,11.4,6598.2,0
HPCO.US,D,20221215,000000,10.5,11.9,10.4,11.2,2688.7,0
HPCO.US,D,20221216,000000,11.4,11.4,10.1,10.801,4816,0
HPCO.US,D,20221219,000000,10.1,10.7,10.1,10.419,7064.6,0
HPCO.US,D,20221220,000000,10.2,10.733,8.16,9.275,6146.2,0
HPCO.US,D,20221221,000000,9.77,9.77,8.5,8.828,5895.1,0
HPCO.US,D,20221222,000000,8.944,9.79899,8.4,8.80001,7612.1,0
HPCO.US,D,20221223,000000,8.96,8.96,8.3,8.70001,2132.3,0
HPCO.US,D,20221227,000000,9.189,9.617,8.302,8.30301,4160.5,0
HPCO.US,D,20221228,000000,8.401,8.821,8.2,8.2,3444.4,0
HPCO.US,D,20221229,000000,8.2,8.5,7.573,8.251,9217.9,0
HPCO.US,D,20221230,000000,8.003,8.4,7.81,8.19,3434.2,0
HPCO.US,D,20230103,000000,8.839,8.839,7.95,7.95,2736.8,0
HPCO.US,D,20230104,000000,8,8.399,7.62,8,3899.4,0
HPCO.US,D,20230105,000000,8.403,8.79899,7.8,8.79899,13655.3,0
HPCO.US,D,20230106,000000,9,9.752,8.78508,9.3,7703.8,0
HPCO.US,D,20230109,000000,10.1,12.5,9.1,9.1,33754.5,0
HPCO.US,D,20230110,000000,9.448,10.175,9.1,9.2,8686.8,0
HPCO.US,D,20230111,000000,10.4,10.9,9.2,9.4,12640.5,0
HPCO.US,D,20230112,000000,9.4,12,9.4,11.3,11723.6,0
HPCO.US,D,20230113,000000,11.8,11.8,10.2,10.5,8548,0
HPCO.US,D,20230117,000000,11.1,12,10.6,11.8,6563.7,0
HPCO.US,D,20230118,000000,11.4,11.449,10.45,10.6,6731,0
HPCO.US,D,20230119,000000,10.4,10.8,10.001,10.5,9015.4,0
HPCO.US,D,20230120,000000,10.3,11.025,10.3,10.4,8594.9,0
HPCO.US,D,20230123,000000,10.4,10.5,9.4,10.2,10581.6,0
HPCO.US,D,20230124,000000,10,10.6,9.5,9.915,8529.3,0
HPCO.US,D,20230125,000000,10,10.1,9.5,10.1,2715.6,0
HPCO.US,D,20230126,000000,9.8,10.1,9.6,10,2425.6,0
HPCO.US,D,20230127,000000,10,10,9.8,9.812,5295.8,0
HPCO.US,D,20230130,000000,10.1,10.1,9.8,10.099,3369.2,0
HPCO.US,D,20230131,000000,10,10.5,10,10.3,7219.1,0
HPCO.US,D,20230201,000000,10.4,12.8,10.4,12.299,32318.7,0
HPCO.US,D,20230202,000000,13,13.5,11,11.1,55277.7,0
HPCO.US,D,20230203,000000,11.4,11.4,10.2,10.2,18358.7,0
HPCO.US,D,20230206,000000,9.1,9.85,7.7,8.6,57011,0
HPCO.US,D,20230207,000000,8.47,8.8,7.8,8.036,29537.9,0
HPCO.US,D,20230208,000000,8.26,8.26,7.4,7.55,235678.2,0
HPCO.US,D,20230209,000000,13.5,44.9,12.5,44,13491378.9,0
HPCO.US,D,20230210,000000,17.1,22.1,13.9,14.6,3380052.9,0
HPCO.US,D,20230213,000000,13.5,14,11.9,12.7,496298.9,0
HPCO.US,D,20230214,000000,12.1,16,10.6,15,1303016.8,0
HPCO.US,D,20230215,000000,14.2,14.397,11.773,12.3,377946.8,0
HPCO.US,D,20230216,000000,12.2,13.5,11.6,12.9,227025.6,0
HPCO.US,D,20230217,000000,12,12.499,11.6,12.1,121589.7,0
HPCO.US,D,20230221,000000,11.9,12.594,11.3,11.6,109282,0
HPCO.US,D,20230222,000000,11.7,11.7,10,10,167301.4,0
HPCO.US,D,20230223,000000,10.3,10.399,8.6,9.054,157046.8,0
HPCO.US,D,20230224,000000,8.8,9.415,8.5,9.077,73233.9,0
HPCO.US,D,20230227,000000,8.8,9.1,8.588,8.755,50424.2,0
HPCO.US,D,20230228,000000,9.4,9.48,8.66,8.752,53593,0
HPCO.US,D,20230301,000000,8.6,9.33,8.6,9,35746.1,0
HPCO.US,D,20230302,000000,8.736,8.999,8.4,8.68,30670.8,0
HPCO.US,D,20230303,000000,8.625,9.231,8.4,8.7,46703.8,0
HPCO.US,D,20230306,000000,8.848,9.48,8.52,8.841,56289.8,0
HPCO.US,D,20230307,000000,8.888,8.944,8.2,8.5,41798.6,0
HPCO.US,D,20230308,000000,8.252,8.5,7.936,8.5,52797.4,0
HPCO.US,D,20230309,000000,8.245,8.39,8,8.203,35909.6,0
HPCO.US,D,20230310,000000,7.957,8.221,7.60301,8,33126.4,0
HPCO.US,D,20230313,000000,7.7,7.909,7.16,7.909,37908.1,0
HPCO.US,D,20230314,000000,8,8.369,7.6,7.985,44870.2,0
HPCO.US,D,20230315,000000,7.725,7.816,7.2,7.816,17647.3,0
HPCO.US,D,20230316,000000,7.7,7.899,7.279,7.437,26222.1,0
HPCO.US,D,20230317,000000,7.6,7.609,7.139,7.181,25705.6,0
HPCO.US,D,20230320,000000,7.4,7.41,6.34,6.401,35971.2,0
HPCO.US,D,20230321,000000,6.5,6.8,6.2,6.2,39734.3,0
HPCO.US,D,20230322,000000,6.5,6.798,5.605,5.709,32336.5,0
HPCO.US,D,20230323,000000,5.781,6,5.5,5.5,19390.7,0
HPCO.US,D,20230324,000000,5.5,6.19,5.5,5.9,28724.9,0
HPCO.US,D,20230327,000000,6,7.2,6,6.9,50080.1,0
HPCO.US,D,20230328,000000,6.9,6.9,6.3,6.3,21315.1,0
HPCO.US,D,20230329,000000,6.301,6.798,6.301,6.5,21325.6,0
HPCO.US,D,20230330,000000,6.6,6.787,6.3,6.3,12850.6,0
HPCO.US,D,20230331,000000,6.398,6.5,6,6,17057.8,0
HPCO.US,D,20230403,000000,6.227,6.262,5.901,6.005,9982,0
HPCO.US,D,20230404,000000,6.157,6.205,5.8,6.2,11404.1,0
HPCO.US,D,20230405,000000,6.205,6.599,6.01,6.472,15218.2,0
HPCO.US,D,20230406,000000,6.598,7.097,6.309,6.9,28705.9,0
HPCO.US,D,20230410,000000,6.9,7.901,6.8,7.4,73050,0
HPCO.US,D,20230411,000000,7.7,7.7,6.903,7.2,33018.9,0
HPCO.US,D,20230412,000000,7.2,7.299,6.6,7.099,21587.6,0
HPCO.US,D,20230413,000000,6.886,7.345,6.64719,7.02,10878.5,0
HPCO.US,D,20230414,000000,6.893,7.2,6.701,6.802,16383.9,0
HPCO.US,D,20230417,000000,7,7,6.65,6.9,7842.9,0
HPCO.US,D,20230418,000000,7,7.14899,6.4,6.724,17717.8,0
HPCO.US,D,20230419,000000,6.9,7.2,6.63,6.835,16589.6,0
HPCO.US,D,20230420,000000,6.9,7.19,6.431,6.58,20381.3,0
HPCO.US,D,20230421,000000,6.5,6.8,6.101,6.3,16292.7,0
HPCO.US,D,20230424,000000,6.111,6.357,5.8,6.06,15170.1,0
HPCO.US,D,20230425,000000,6.2,6.29899,5.911,6.1,6667,0
HPCO.US,D,20230426,000000,6,6.199,5.4,5.8,26818.7,0
HPCO.US,D,20230427,000000,5.674,5.851,5.253,5.45,15179.7,0
HPCO.US,D,20230428,000000,5.45,5.699,5.074,5.556,26070.7,0
HPCO.US,D,20230501,000000,5.484,5.556,5.2,5.4,9123,0
HPCO.US,D,20230502,000000,5.6,5.67,4.9,5.09,16760.4,0
HPCO.US,D,20230503,000000,4.937,5.26,4.937,5.05,11112.3,0
HPCO.US,D,20230504,000000,5.1,5.499,4.911,5.3,20894.6,0
HPCO.US,D,20230505,000000,5.1,5.454,5.1,5.45,11318.7,0
HPCO.US,D,20230508,000000,5.39,7.69224,5.39,6.6,229345,0
HPCO.US,D,20230509,000000,6.27,6.459,5.7,6.2,38354.8,0
HPCO.US,D,20230510,000000,6.2,6.8,6.05,6.102,41342.2,0
HPCO.US,D,20230511,000000,6.10101,6.6,5.90101,6.2,14852.7,0
HPCO.US,D,20230512,000000,6.12499,6.125,5.376,5.999,13827.6,0
HPCO.US,D,20230515,000000,5.432,5.999,5.432,5.85,7285.3,0
HPCO.US,D,20230516,000000,5.703,5.999,5.501,5.7,26107.8,0
HPCO.US,D,20230517,000000,5.799,5.9,5.6,5.771,7710.4,0
HPCO.US,D,20230518,000000,5.771,6,5.7,5.801,10320.8,0
HPCO.US,D,20230519,000000,5.7,5.96,5.6,5.749,7325.7,0
HPCO.US,D,20230522,000000,5.88,5.9,5.61,5.7,8405,0
HPCO.US,D,20230523,000000,5.8,5.9,5.511,5.676,6190.8,0
HPCO.US,D,20230524,000000,6,6.1,5.691,5.9,10813.3,0
HPCO.US,D,20230525,000000,6,6.06999,5.52,5.999,8377.3,0
HPCO.US,D,20230526,000000,5.607,6.09899,5.6,5.799,7405.9,0
HPCO.US,D,20230530,000000,5.6,5.799,5.4,5.401,15327.9,0
HPCO.US,D,20230531,000000,5.4,5.5,4.96,5.016,14492.1,0
HPCO.US,D,20230601,000000,5.39,5.39,4.702,5,29315.8,0
HPCO.US,D,20230602,000000,4.9,4.997,4.822,4.831,11356.3,0
HPCO.US,D,20230605,000000,4.89,5.071,4.7,4.95,13650.4,0
HPCO.US,D,20230606,000000,4.999,5.005,4.705,4.99899,13427.1,0
HPCO.US,D,20230607,000000,4.921,5.299,4.901,5.292,8453.1,0
HPCO.US,D,20230608,000000,5.386,5.386,5.05,5.145,4638.8,0
HPCO.US,D,20230609,000000,5.025,5.2,4.801,4.94,5767.1,0
HPCO.US,D,20230612,000000,4.92,5,4.71501,5,6604.4,0
HPCO.US,D,20230613,000000,5,5,4.65589,4.81,28707.8,0
HPCO.US,D,20230614,000000,4.711,4.99,4.7,4.715,14383.8,0
HPCO.US,D,20230615,000000,4.615,4.849,4.5,4.542,18303,0
HPCO.US,D,20230616,000000,4.602,4.799,4.41101,4.48,70961.6,0
HPCO.US,D,20230620,000000,4.588,4.65,4.111,4.225,31424.8,0
HPCO.US,D,20230621,000000,4.385,4.4,4.114,4.114,19292.5,0
HPCO.US,D,20230622,000000,4.2,4.30701,4.111,4.2,3820.5,0
HPCO.US,D,20230623,000000,4.3,4.4,4.115,4.39899,9796,0
HPCO.US,D,20230626,000000,4.22,4.391,4.021,4.1,6785.8,0
HPCO.US,D,20230627,000000,4.173,4.39899,4.1,4.18,5174.9,0
HPCO.US,D,20230628,000000,4.2,4.24208,4.02,4.023,7642,0
HPCO.US,D,20230629,000000,4.011,4.211,3.851,3.99,10395.7,0
HPCO.US,D,20230630,000000,3.91,4.0075,3.65,3.899,8773.4,0
HPCO.US,D,20230703,000000,4,4.099,3.9,4.049,4606.6,0
HPCO.US,D,20230705,000000,4.087,4.399,3.961,4.2,32747.7,0
HPCO.US,D,20230706,000000,4.1,4.123,3.926,4.1,23565.7,0
HPCO.US,D,20230707,000000,4,4.19799,3.94301,4,8503.5,0
HPCO.US,D,20230710,000000,3.98,3.98,3.70601,3.918,10466.2,0
HPCO.US,D,20230711,000000,4,4.098,3.921,3.999,15306,0
HPCO.US,D,20230712,000000,4,4.1,3.97701,4.01,14007.6,0
HPCO.US,D,20230713,000000,4,4.1,3.92,4,22894.1,0
HPCO.US,D,20230714,000000,4.0183,4.1,3.9,3.927,4377.4,0
HPCO.US,D,20230717,000000,4,4.004,3.9,3.97551,11617.1,0
HPCO.US,D,20230718,000000,4.002,5.97,3.92001,5.4,336303.4,0
HPCO.US,D,20230719,000000,5.32,5.59,4.71,5.23,70558.5,0
HPCO.US,D,20230720,000000,4.984,5.379,4.801,4.921,38665.8,0
HPCO.US,D,20230721,000000,4.884,5.04,4.58,4.751,25160.6,0
HPCO.US,D,20230724,000000,4.7,4.854,4.1,4.205,32697.8,0
HPCO.US,D,20230725,000000,4.297,4.343,3.671,3.81,22437.7,0
HPCO.US,D,20230726,000000,4,4.15,3.801,3.92367,40158.9,0
HPCO.US,D,20230727,000000,3.99,4.298,3.805,3.917,78570.9,0
HPCO.US,D,20230728,000000,3.948,4.1,3.81,3.95,20999.1,0
HPCO.US,D,20230731,000000,4.05,4.145,3.901,3.92,16242.9,0
HPCO.US,D,20230801,000000,3.99,3.999,3.9,3.908,10437.8,0
HPCO.US,D,20230802,000000,3.825,4,3.779,3.925,17604.3,0
HPCO.US,D,20230803,000000,3.9,3.99,3.781,3.909,13013.2,0
HPCO.US,D,20230804,000000,3.844,4,3.831,3.939,9417.7,0
HPCO.US,D,20230807,000000,3.9,3.93,3.738,3.899,14235.7,0
HPCO.US,D,20230808,000000,3.89,4.201,3.8,4.08,29337.7,0
HPCO.US,D,20230809,000000,4.141,4.295,3.9,4.044,8309.6,0
HPCO.US,D,20230810,000000,4,4,3.801,3.999,4243.2,0
HPCO.US,D,20230811,000000,3.89,3.89,3.008,3.799,18343.7,0
HPCO.US,D,20230814,000000,3.7,3.88,3.505,3.68,24945.4,0
HPCO.US,D,20230815,000000,3.538,3.759,3.2,3.49,8908.7,0
HPCO.US,D,20230816,000000,3.4,3.662,3.257,3.445,12642.9,0
HPCO.US,D,20230817,000000,3.37,3.52781,3.34,3.488,3358.8,0
HPCO.US,D,20230818,000000,3.34,3.488,3.3,3.431,12223.8,0
HPCO.US,D,20230821,000000,3.35,3.431,3.126,3.2,11226.2,0
HPCO.US,D,20230822,000000,3.232,3.39999,3.157,3.277,8052.4,0
HPCO.US,D,20230823,000000,3.348,3.348,3.12701,3.152,14484.8,0
HPCO.US,D,20230824,000000,3.2,3.26,3.061,3.099,5043.2,0
HPCO.US,D,20230825,000000,3.05,3.26,3.01,3.1,6246.1,0
HPCO.US,D,20230828,000000,3,3.099,3,3.098,2961.9,0
HPCO.US,D,20230829,000000,3.198,3.198,2.805,3.15,6447.5,0
HPCO.US,D,20230830,000000,3.188,3.898,3,3.88051,153704.5,0
HPCO.US,D,20230831,000000,3.764,4.2,3.4,3.426,97268,0
HPCO.US,D,20230901,000000,3.75,3.986,3.6,3.8,66737,0
HPCO.US,D,20230905,000000,3.899,4.198,3.626,4.039,35238.2,0
HPCO.US,D,20230906,000000,4,4.019,3.72,3.95,14353.3,0
