<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HTLFP.US,D,20200630,000000,24.6,24.748,24.424,24.424,256571,0
HTLFP.US,D,20200701,000000,24.561,24.669,24.463,24.473,66704,0
HTLFP.US,D,20200702,000000,24.65,24.699,24.512,24.512,137884,0
HTLFP.US,D,20200706,000000,24.61,24.708,24.61,24.64,19170,0
HTLFP.US,D,20200707,000000,24.63,24.748,24.62,24.62,67828,0
HTLFP.US,D,20200708,000000,24.64,24.841,24.64,24.836,15140,0
HTLFP.US,D,20200709,000000,24.875,25.404,24.767,25.101,46951,0
HTLFP.US,D,20200710,000000,25.11,25.346,25.07,25.297,47419,0
HTLFP.US,D,20200713,000000,25.326,25.326,25.14,25.194,10197,0
HTLFP.US,D,20200714,000000,25.15,25.218,25.14,25.159,27314,0
HTLFP.US,D,20200715,000000,25.365,25.365,25.101,25.179,28369,0
HTLFP.US,D,20200716,000000,25.15,25.218,25.081,25.081,18817,0
HTLFP.US,D,20200717,000000,25.15,25.248,25.002,25.248,14730,0
HTLFP.US,D,20200720,000000,25.022,25.424,25.012,25.395,18138,0
HTLFP.US,D,20200721,000000,25.404,25.503,25.375,25.429,17208,0
HTLFP.US,D,20200722,000000,25.444,25.659,25.444,25.64,31758,0
HTLFP.US,D,20200723,000000,25.65,25.679,25.523,25.679,7257,0
HTLFP.US,D,20200724,000000,25.689,25.689,25.503,25.689,5360,0
HTLFP.US,D,20200727,000000,25.689,25.743,25.689,25.689,12038,0
HTLFP.US,D,20200728,000000,25.767,26.699,25.767,25.787,16563,0
HTLFP.US,D,20200729,000000,26.277,26.439,26.071,26.179,114120,0
HTLFP.US,D,20200730,000000,26.444,26.444,26.003,26.052,23872,0
HTLFP.US,D,20200731,000000,26.081,26.356,25.836,26.356,528728,0
HTLFP.US,D,20200803,000000,26.297,26.454,26.297,26.297,11608,0
HTLFP.US,D,20200804,000000,26.454,26.571,26.003,26.076,42710,0
HTLFP.US,D,20200805,000000,26.248,26.277,26.009,26.11,19438,0
HTLFP.US,D,20200806,000000,26.307,26.326,26.14,26.14,20968,0
HTLFP.US,D,20200807,000000,26.179,26.336,26.052,26.336,24163,0
HTLFP.US,D,20200810,000000,26.199,26.199,26.12,26.199,17481,0
HTLFP.US,D,20200811,000000,26.356,26.412,26.061,26.412,9244,0
HTLFP.US,D,20200812,000000,26.357,26.571,26.357,26.552,5370,0
HTLFP.US,D,20200813,000000,26.542,26.561,26.049,26.081,15383,0
HTLFP.US,D,20200814,000000,26.14,26.34,26.14,26.218,2730,0
HTLFP.US,D,20200817,000000,26.346,26.434,26.204,26.434,6505,0
HTLFP.US,D,20200818,000000,26.424,26.65,26.424,26.571,5955,0
