<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HVIIU.US,D,20250117,000000,9.98,10,9.97,9.98,12388598,0
HVIIU.US,D,20250121,000000,9.99,10,9.98,9.99,163931,0
HVIIU.US,D,20250122,000000,9.98,10,9.98,10,293791,0
HVIIU.US,D,20250123,000000,10,10.01,9.99,10.01,202765,0
HVIIU.US,D,20250124,000000,9.99,10.025,9.99,10.025,437,0
HVIIU.US,D,20250127,000000,9.998,10.02,9.99,10.02,1272,0
HVIIU.US,D,20250128,000000,10,10.02,10,10.02,200,0
HVIIU.US,D,20250129,000000,10.02,10.02,10.0099,10.01,111458,0
HVIIU.US,D,20250130,000000,10.02,10.03,10.02,10.0299,286757,0
HVIIU.US,D,20250131,000000,10.05,10.05,10.02,10.03,52620,0
HVIIU.US,D,20250203,000000,10.04,10.05,10.03,10.0451,14060,0
HVIIU.US,D,20250204,000000,10.0375,10.05,10.0375,10.04,15602,0
HVIIU.US,D,20250205,000000,10.06,10.06,10.04,10.04,2448,0
HVIIU.US,D,20250206,000000,10.03,10.05,10.03,10.05,1183,0
HVIIU.US,D,20250207,000000,10.03,10.05,10.03,10.04,412,0
HVIIU.US,D,20250210,000000,10.05,10.05,10.04,10.05,3320,0
HVIIU.US,D,20250211,000000,10.05,10.05,10.05,10.05,790,0
HVIIU.US,D,20250212,000000,10.04,10.05,10.04,10.05,1119,0
HVIIU.US,D,20250213,000000,10.0494,10.05,10.0449,10.05,1235,0
