<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HWH.US,D,20220325,000000,9.8,9.81,9.8,9.8,175000,0
HWH.US,D,20220328,000000,9.8,9.83,9.8,9.81,48902,0
HWH.US,D,20220329,000000,9.83,9.83,9.8184,9.82,5128,0
HWH.US,D,20220330,000000,9.92,9.92,9.92,9.92,996,0
HWH.US,D,20220331,000000,9.8619,9.8619,9.8619,9.8619,1619,0
HWH.US,D,20220404,000000,9.88,9.8936,9.86,9.88,54321,0
HWH.US,D,20220405,000000,9.88,9.91,9.88,9.91,300,0
HWH.US,D,20220406,000000,9.87,9.87,9.87,9.87,231097,0
HWH.US,D,20220408,000000,9.8932,9.8932,9.8932,9.8932,112,0
HWH.US,D,20220413,000000,9.88,9.91,9.88,9.91,1400,0
HWH.US,D,20220428,000000,9.9,9.93,9.9,9.93,431,0
HWH.US,D,20220509,000000,9.9,9.92,9.83,9.83,163120,0
HWH.US,D,20220513,000000,9.87,9.87,9.86,9.86,7500,0
HWH.US,D,20220523,000000,9.89,9.89,9.87,9.87,22700,0
HWH.US,D,20220524,000000,9.85,9.855,9.85,9.85,37800,0
HWH.US,D,20220526,000000,9.85,9.88,9.85,9.88,22200,0
HWH.US,D,20220606,000000,10.4,10.4,9.9,9.9,767,0
HWH.US,D,20220613,000000,9.89,9.89,9.83,9.86,300648,0
HWH.US,D,20220615,000000,9.88,9.88,9.84,9.84,205011,0
HWH.US,D,20220617,000000,9.86,9.86,9.86,9.86,108001,0
HWH.US,D,20220627,000000,9.88,9.88,9.855,9.88,18057,0
HWH.US,D,20220705,000000,9.89,9.89,9.89,9.89,11188,0
HWH.US,D,20220713,000000,9.84,9.84,9.84,9.84,159,0
HWH.US,D,20220714,000000,9.83,9.89,9.83,9.89,405,0
HWH.US,D,20220715,000000,9.9,9.92,9.89,9.89,58139,0
HWH.US,D,20220718,000000,9.865,9.865,9.85,9.85,10891,0
HWH.US,D,20220719,000000,9.9,9.9,9.9,9.9,19221,0
HWH.US,D,20220720,000000,9.9,9.91,9.9,9.9,20045,0
HWH.US,D,20220721,000000,9.9,9.9,9.9,9.9,915,0
HWH.US,D,20220722,000000,9.91,9.91,9.91,9.91,6148,0
HWH.US,D,20220725,000000,9.91,9.93,9.91,9.92,56926,0
HWH.US,D,20220726,000000,9.92,9.93,9.91,9.91,19077,0
HWH.US,D,20220727,000000,9.905,9.905,9.9,9.9,5156,0
HWH.US,D,20220801,000000,9.91,9.91,9.91,9.91,152,0
HWH.US,D,20220803,000000,9.91,9.91,9.9,9.9,377142,0
HWH.US,D,20220804,000000,9.91,9.91,9.91,9.91,300,0
HWH.US,D,20220809,000000,9.9,9.9,9.9,9.9,100,0
HWH.US,D,20220810,000000,9.99,9.99,9.99,9.99,153,0
HWH.US,D,20220815,000000,9.91,9.91,9.91,9.91,403,0
HWH.US,D,20220816,000000,9.91,9.91,9.91,9.91,423,0
HWH.US,D,20220822,000000,9.93,9.93,9.93,9.93,806,0
HWH.US,D,20220824,000000,9.93,9.93,9.92,9.92,10031,0
HWH.US,D,20220826,000000,9.91,9.91,9.9,9.9,9494,0
HWH.US,D,20220830,000000,9.91,9.91,9.91,9.91,396,0
HWH.US,D,20220902,000000,9.94,9.94,9.94,9.94,155,0
HWH.US,D,20220908,000000,9.93,9.93,9.93,9.93,176,0
HWH.US,D,20220912,000000,9.94,9.94,9.87,9.87,367673,0
HWH.US,D,20220913,000000,9.88,9.88,9.88,9.88,50,0
HWH.US,D,20220915,000000,9.87,9.88,9.87,9.88,900,0
HWH.US,D,20220916,000000,9.88,9.88,9.88,9.88,613,0
HWH.US,D,20220919,000000,9.8799,9.8799,9.8799,9.8799,206,0
HWH.US,D,20220920,000000,9.88,9.89,9.88,9.88,8001,0
HWH.US,D,20220921,000000,9.88,9.88,9.88,9.88,2827,0
HWH.US,D,20221005,000000,9.88,9.89,9.88,9.89,7317,0
HWH.US,D,20221011,000000,9.89,9.89,9.89,9.89,35763,0
HWH.US,D,20221013,000000,9.89,9.89,9.89,9.89,2600,0
HWH.US,D,20221017,000000,9.9,9.9,9.9,9.9,1173,0
