<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBTX.US,D,20130403,000000,26.5332,27.4141,25.6474,25.9657,1730667.6602191,0
IBTX.US,D,20130404,000000,25.7542,25.9123,25.4675,25.4675,113630.06266198,0
IBTX.US,D,20130405,000000,25.6474,25.6474,24.7813,25.2934,80033.82110586,0
IBTX.US,D,20130408,000000,25.4873,25.6474,24.9958,25.071,102124.84687137,0
IBTX.US,D,20130409,000000,25.1145,25.595,24.988,25.5851,36535.508113258,0
IBTX.US,D,20130410,000000,25.8699,25.8699,25.4279,25.595,20242.099658675,0
IBTX.US,D,20130411,000000,26.4354,26.4354,25.341,25.6296,21014.845580786,0
IBTX.US,D,20130412,000000,25.4873,26.4166,25.341,25.4279,39117.733688064,0
IBTX.US,D,20130415,000000,26.0884,26.0884,24.7625,24.978,76208.526501897,0
IBTX.US,D,20130416,000000,24.9958,25.6385,24.7715,24.896,19818.303138564,0
IBTX.US,D,20130417,000000,25.341,25.341,24.7625,24.9405,22228.582631224,0
IBTX.US,D,20130418,000000,25.2846,25.6652,24.7813,25.6296,24277.77535138,0
IBTX.US,D,20130419,000000,25.9123,25.9123,24.8169,24.9128,135748.39751112,0
IBTX.US,D,20130422,000000,24.9405,25.0236,24.7625,24.7813,111163.14210696,0
IBTX.US,D,20130423,000000,25.0334,25.249,24.8673,25.071,34175.800997699,0
IBTX.US,D,20130424,000000,25.5139,25.6197,25.0552,25.418,52098.651442495,0
IBTX.US,D,20130425,000000,25.5585,25.5801,25.1046,25.3112,31293.175502909,0
IBTX.US,D,20130426,000000,25.3824,25.77,24.3562,24.978,76664.689343354,0
IBTX.US,D,20130429,000000,24.9405,25.3746,24.8258,25.2341,19785.936817218,0
IBTX.US,D,20130430,000000,25.0967,25.331,24.8001,25.2401,9394.3247703876,0
IBTX.US,D,20130501,000000,25.1145,25.5851,24.8258,24.9958,15180.816158349,0
IBTX.US,D,20130502,000000,24.808,25.6029,24.808,25.3824,24499.282363085,0
IBTX.US,D,20130503,000000,25.2243,27.5131,25.2243,25.5417,26286.510169854,0
IBTX.US,D,20130506,000000,25.7018,25.9123,25.1965,25.4675,14311.982719744,0
IBTX.US,D,20130507,000000,25.2341,25.6474,25.2153,25.5585,33531.508913425,0
