<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTE.US,D,20211229,000000,9.76,9.76,9.72,9.72,391275,0
INTE.US,D,20211230,000000,10.77,10.77,9.72,10.2,1139,0
INTE.US,D,20211231,000000,9.76,10.01,9.7495,9.82,8964,0
INTE.US,D,20220105,000000,9.8,9.84,9.8,9.84,1971,0
INTE.US,D,20220106,000000,9.84,9.84,9.71,9.71,860,0
INTE.US,D,20220107,000000,9.83,10.49,9.83,10.49,2963,0
INTE.US,D,20220110,000000,9.85,9.85,9.85,9.85,71191,0
INTE.US,D,20220111,000000,9.85,9.85,9.85,9.85,200,0
INTE.US,D,20220112,000000,9.85,9.87,9.85,9.87,14352,0
INTE.US,D,20220113,000000,9.87,9.87,9.87,9.87,375,0
INTE.US,D,20220118,000000,9.89,9.89,9.72,9.72,1125,0
INTE.US,D,20220119,000000,10.49,10.49,9.76,9.77,24658,0
INTE.US,D,20220120,000000,9.86,9.86,9.86,9.86,100,0
INTE.US,D,20220121,000000,9.92,9.92,9.92,9.92,473,0
INTE.US,D,20220124,000000,9.92,9.92,9.92,9.92,530,0
INTE.US,D,20220125,000000,9.87,9.92,9.87,9.87,618,0
INTE.US,D,20220126,000000,9.92,9.92,9.92,9.92,238,0
INTE.US,D,20220127,000000,9.8399,9.8399,9.81,9.81,1105,0
INTE.US,D,20220128,000000,9.78,9.78,9.78,9.78,344,0
INTE.US,D,20220201,000000,9.8,9.84,9.8,9.84,2701,0
INTE.US,D,20220202,000000,9.85,9.86,9.8,9.82,13546,0
INTE.US,D,20220203,000000,9.81,9.82,9.81,9.82,1114,0
INTE.US,D,20220207,000000,9.81,9.81,9.8,9.8,16980,0
INTE.US,D,20220208,000000,9.81,9.82,9.8,9.8,5454,0
INTE.US,D,20220209,000000,9.81,9.82,9.81,9.82,400,0
INTE.US,D,20220210,000000,9.81,9.81,9.8,9.8,14971,0
INTE.US,D,20220211,000000,9.87,9.87,9.81,9.81,700,0
INTE.US,D,20220214,000000,9.8,9.8,9.75,9.75,5208,0
INTE.US,D,20220215,000000,9.8,9.8,9.8,9.8,254,0
INTE.US,D,20220216,000000,9.79,9.79,9.79,9.79,862,0
INTE.US,D,20220223,000000,9.79,9.79,9.79,9.79,3901,0
INTE.US,D,20220224,000000,9.78,9.81,9.77,9.81,35646,0
INTE.US,D,20220225,000000,9.81,9.81,9.8,9.8,1057,0
INTE.US,D,20220301,000000,9.82,9.8603,9.82,9.85,36485,0
INTE.US,D,20220302,000000,9.845,9.85,9.845,9.85,718,0
INTE.US,D,20220303,000000,9.8501,9.8612,9.845,9.8501,3045,0
INTE.US,D,20220304,000000,9.87,9.87,9.85,9.8501,500,0
INTE.US,D,20220307,000000,9.9,9.9,9.84,9.85,8775,0
INTE.US,D,20220308,000000,9.85,9.8501,9.85,9.85,2039,0
INTE.US,D,20220310,000000,9.8601,9.875,9.845,9.845,13156,0
INTE.US,D,20220311,000000,9.81,9.87,9.81,9.855,1520,0
INTE.US,D,20220317,000000,9.9,9.9,9.9,9.9,4831,0
INTE.US,D,20220321,000000,9.87,9.87,9.87,9.87,5936,0
INTE.US,D,20220323,000000,9.87,9.88,9.82,9.88,2502,0
INTE.US,D,20220324,000000,9.87,9.87,9.87,9.87,128,0
INTE.US,D,20220325,000000,9.82,9.87,9.82,9.86,12749,0
INTE.US,D,20220328,000000,9.88,9.88,9.865,9.865,3266,0
INTE.US,D,20220329,000000,9.84,9.89,9.84,9.87,1255,0
INTE.US,D,20220330,000000,9.88,9.88,9.88,9.88,1263,0
INTE.US,D,20220331,000000,9.9,9.9,9.9,9.9,2998,0
INTE.US,D,20220401,000000,9.9,9.9,9.9,9.9,7477,0
INTE.US,D,20220404,000000,9.9097,9.92,9.9097,9.92,502,0
INTE.US,D,20220408,000000,9.88,9.88,9.88,9.88,2302,0
INTE.US,D,20220411,000000,9.8608,9.91,9.8608,9.89,1312,0
INTE.US,D,20220412,000000,9.91,9.91,9.86,9.86,447918,0
INTE.US,D,20220414,000000,9.88,9.88,9.88,9.88,300,0
INTE.US,D,20220418,000000,9.9,9.93,9.88,9.9108,524054,0
INTE.US,D,20220425,000000,9.915,9.95,9.8901,9.95,3093,0
INTE.US,D,20220427,000000,9.94,9.94,9.94,9.94,108,0
INTE.US,D,20220428,000000,9.89,9.89,9.88,9.88,23282,0
INTE.US,D,20220429,000000,9.89,9.89,9.885,9.885,2701,0
INTE.US,D,20220502,000000,9.87,9.88,9.87,9.88,50470,0
INTE.US,D,20220504,000000,9.88,9.88,9.88,9.88,735,0
INTE.US,D,20220506,000000,9.88,9.88,9.88,9.88,3000,0
INTE.US,D,20220509,000000,9.88,9.91,9.88,9.89,11294,0
INTE.US,D,20220510,000000,9.88,9.88,9.88,9.88,9023,0
INTE.US,D,20220513,000000,9.88,9.88,9.88,9.88,12299,0
INTE.US,D,20220516,000000,9.84,9.84,9.79,9.79,10000,0
INTE.US,D,20220518,000000,9.85,9.85,9.83,9.83,12504,0
INTE.US,D,20220519,000000,9.83,9.83,9.83,9.83,346,0
INTE.US,D,20220523,000000,9.83,9.85,9.83,9.85,2400,0
INTE.US,D,20220527,000000,9.89,9.89,9.88,9.88,6125,0
INTE.US,D,20220531,000000,9.88,9.91,9.88,9.91,867,0
INTE.US,D,20220602,000000,9.85,9.85,9.85,9.85,75005,0
INTE.US,D,20220603,000000,9.84,9.85,9.84,9.85,3485,0
INTE.US,D,20220609,000000,9.87,9.87,9.87,9.87,129,0
INTE.US,D,20220614,000000,9.86,9.86,9.85,9.85,2170,0
INTE.US,D,20220617,000000,9.87,9.87,9.86,9.87,28446,0
INTE.US,D,20220624,000000,9.91,9.91,9.91,9.91,200,0
INTE.US,D,20220627,000000,9.88,9.88,9.88,9.88,302,0
INTE.US,D,20220706,000000,9.89,9.905,9.89,9.89,187615,0
INTE.US,D,20220711,000000,9.91,9.92,9.91,9.92,469,0
INTE.US,D,20220712,000000,9.9,9.9,9.89,9.89,491,0
INTE.US,D,20220713,000000,9.88,9.88,9.88,9.88,7230,0
INTE.US,D,20220714,000000,9.88,9.8946,9.88,9.88,214,0
INTE.US,D,20220718,000000,9.94,9.94,9.9016,9.9016,2006,0
INTE.US,D,20220719,000000,9.92,9.92,9.92,9.92,103,0
INTE.US,D,20220721,000000,9.915,9.915,9.915,9.915,100,0
INTE.US,D,20220722,000000,9.9,9.915,9.9,9.91,5750,0
INTE.US,D,20220725,000000,9.92,9.92,9.9,9.91,10524,0
INTE.US,D,20220726,000000,9.93,9.93,9.9,9.91,9673,0
INTE.US,D,20220727,000000,9.91,9.92,9.91,9.92,199354,0
INTE.US,D,20220729,000000,9.91,9.91,9.91,9.91,3000,0
INTE.US,D,20220801,000000,9.93,9.93,9.93,9.93,50324,0
INTE.US,D,20220802,000000,9.95,9.95,9.95,9.95,111,0
INTE.US,D,20220803,000000,9.95,9.95,9.93,9.93,604,0
INTE.US,D,20220808,000000,9.93,9.93,9.93,9.93,5658,0
INTE.US,D,20220809,000000,9.93,9.94,9.93,9.93,3870,0
INTE.US,D,20220810,000000,9.96,9.96,9.93,9.94,27325,0
INTE.US,D,20220812,000000,9.95,9.95,9.94,9.95,1305,0
INTE.US,D,20220815,000000,9.95,9.95,9.95,9.95,212,0
INTE.US,D,20220816,000000,9.94,9.95,9.94,9.95,3500,0
INTE.US,D,20220819,000000,9.9,9.9,9.9,9.9,107,0
INTE.US,D,20220822,000000,9.89,9.93,9.89,9.93,3103,0
INTE.US,D,20220823,000000,9.93,9.93,9.91,9.93,13805,0
INTE.US,D,20220824,000000,9.93,9.93,9.92,9.93,8200,0
INTE.US,D,20220826,000000,9.91,9.91,9.9,9.9,900,0
INTE.US,D,20220829,000000,9.9,9.9,9.9,9.9,1510,0
INTE.US,D,20220901,000000,9.93,9.94,9.9,9.9,1152,0
INTE.US,D,20220902,000000,9.9334,9.9334,9.9334,9.9334,305,0
INTE.US,D,20220909,000000,9.93,9.93,9.92,9.92,258,0
INTE.US,D,20220914,000000,9.93,9.93,9.93,9.93,5000,0
INTE.US,D,20220916,000000,9.92,9.92,9.92,9.92,424,0
INTE.US,D,20220919,000000,9.92,9.93,9.9,9.92,23965,0
INTE.US,D,20220921,000000,9.95,9.95,9.92,9.92,9000,0
INTE.US,D,20220922,000000,9.93,9.93,9.93,9.93,91967,0
INTE.US,D,20220926,000000,9.91,9.91,9.89,9.91,51614,0
INTE.US,D,20220927,000000,9.93,9.93,9.93,9.93,188,0
INTE.US,D,20220928,000000,9.93,9.93,9.93,9.93,104,0
INTE.US,D,20220929,000000,9.9,9.9,9.9,9.9,174,0
INTE.US,D,20221003,000000,9.9,9.93,9.9,9.93,1302,0
INTE.US,D,20221006,000000,9.92,9.92,9.92,9.92,6899,0
INTE.US,D,20221012,000000,9.93,9.93,9.92,9.93,2084,0
INTE.US,D,20221013,000000,9.93,9.93,9.93,9.93,3465,0
INTE.US,D,20221017,000000,10.01,10.01,10.01,10.01,168,0
INTE.US,D,20221018,000000,10.01,10.01,10.01,10.01,168,0
INTE.US,D,20221019,000000,9.96,9.96,9.95,9.95,3537,0
INTE.US,D,20221025,000000,9.95,9.95,9.95,9.95,917,0
INTE.US,D,20221026,000000,9.97,9.97,9.97,9.97,1907,0
INTE.US,D,20221027,000000,9.97,9.97,9.97,9.97,4801,0
INTE.US,D,20221028,000000,9.97,9.97,9.97,9.97,5580,0
INTE.US,D,20221101,000000,10,10,9.99,10,18399,0
INTE.US,D,20221102,000000,10,10,10,10,71817,0
INTE.US,D,20221103,000000,10,10,10,10,100320,0
INTE.US,D,20221108,000000,10,10,10,10,2680,0
INTE.US,D,20221110,000000,10,10.02,10,10.02,8270,0
INTE.US,D,20221111,000000,9.99,9.99,9.99,9.99,1731,0
INTE.US,D,20221114,000000,10.0199,10.0199,9.99,9.9901,1078,0
INTE.US,D,20221115,000000,9.99,10.02,9.99,10,5294,0
INTE.US,D,20221116,000000,10,10,10,10,501448,0
INTE.US,D,20221125,000000,10.02,10.02,10.02,10.02,103,0
INTE.US,D,20221128,000000,10.03,10.05,10.03,10.05,5850,0
INTE.US,D,20221129,000000,10.04,10.055,10.035,10.055,25638,0
INTE.US,D,20221130,000000,10.05,10.05,10.05,10.05,300,0
INTE.US,D,20221201,000000,10.05,10.06,10.04,10.04,16112,0
INTE.US,D,20221202,000000,10.06,10.06,10.04,10.05,93658,0
INTE.US,D,20221205,000000,10.05,10.05,10.04,10.045,10486,0
INTE.US,D,20221206,000000,10.05,10.0504,10.04,10.04,196067,0
INTE.US,D,20221207,000000,10.04,10.04,10.04,10.04,500,0
INTE.US,D,20221208,000000,10.04,10.04,10.04,10.04,990,0
INTE.US,D,20221212,000000,10.04,10.04,10.04,10.04,159542,0
INTE.US,D,20221215,000000,10.04,10.04,10.04,10.04,102,0
INTE.US,D,20221216,000000,10.04,10.04,10.04,10.04,32905,0
INTE.US,D,20221219,000000,10.13,10.13,10.13,10.13,201,0
INTE.US,D,20221222,000000,10.03,10.03,10.03,10.03,600,0
INTE.US,D,20221223,000000,10.07,10.07,10.07,10.07,242,0
INTE.US,D,20221227,000000,10.06,10.09,10.06,10.09,47500,0
INTE.US,D,20221228,000000,10.1,10.11,10.1,10.11,6328,0
INTE.US,D,20221229,000000,10.12,10.12,10.11,10.1101,9423,0
INTE.US,D,20230104,000000,10.12,10.1302,10.12,10.13,6579,0
INTE.US,D,20230105,000000,10.14,10.1401,10.14,10.14,1137,0
INTE.US,D,20230106,000000,10.12,10.12,10.12,10.12,774,0
INTE.US,D,20230109,000000,10.16,10.16,10.13,10.13,410,0
INTE.US,D,20230110,000000,10.16,10.16,10.13,10.13,4277,0
INTE.US,D,20230111,000000,10.145,10.145,10.13,10.14,9674,0
INTE.US,D,20230112,000000,10.15,10.16,10.15,10.16,21085,0
INTE.US,D,20230113,000000,10.17,10.17,10.17,10.17,560,0
INTE.US,D,20230117,000000,10.16,10.165,10.16,10.165,2919,0
INTE.US,D,20230118,000000,10.65,10.65,10.16,10.17,10721,0
INTE.US,D,20230119,000000,10.17,10.17,10.17,10.17,7500,0
INTE.US,D,20230123,000000,10.17,10.17,10.17,10.17,369,0
INTE.US,D,20230125,000000,10.17,10.17,10.17,10.17,12007,0
INTE.US,D,20230126,000000,10.18,10.19,10.18,10.18,3079,0
INTE.US,D,20230127,000000,10.19,10.19,10.19,10.19,1010,0
INTE.US,D,20230130,000000,10.185,10.19,10.18,10.19,8167,0
INTE.US,D,20230131,000000,10.19,10.19,10.19,10.19,3780,0
INTE.US,D,20230201,000000,10.19,10.1997,10.19,10.1997,800,0
INTE.US,D,20230202,000000,10.19,10.2,10.19,10.2,234,0
INTE.US,D,20230203,000000,10.19,10.19,10.19,10.19,273,0
INTE.US,D,20230206,000000,10.19,10.19,10.19,10.19,122,0
INTE.US,D,20230207,000000,10.19,10.2,10.19,10.2,29439,0
INTE.US,D,20230208,000000,10.2096,10.21,10.2,10.2099,1091,0
INTE.US,D,20230209,000000,10.1801,10.1801,10.1801,10.1801,688,0
INTE.US,D,20230210,000000,10.18,10.18,10.18,10.18,25556,0
INTE.US,D,20230213,000000,10.18,10.18,10.18,10.18,1753,0
INTE.US,D,20230215,000000,10.18,10.18,10.18,10.18,27989,0
INTE.US,D,20230217,000000,10.18,10.18,10.18,10.18,809,0
INTE.US,D,20230223,000000,10.18,10.2,10.18,10.2,2147,0
INTE.US,D,20230227,000000,10.22,10.23,10.2,10.2,7818,0
INTE.US,D,20230228,000000,10.23,10.23,10.2,10.21,900,0
INTE.US,D,20230301,000000,10.2307,10.25,10.23,10.25,6111,0
INTE.US,D,20230302,000000,10.2201,10.2201,10.21,10.21,3700,0
INTE.US,D,20230307,000000,10.25,10.25,10.25,10.25,400,0
INTE.US,D,20230309,000000,10.21,10.21,10.21,10.21,400,0
