<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ISRLU.US,D,20230117,000000,10.12,10.2,10.12,10.15,913628,0
ISRLU.US,D,20230118,000000,10.16,10.18,10.15,10.18,482374,0
ISRLU.US,D,20230119,000000,10.15,10.18,10.15,10.16,169740,0
ISRLU.US,D,20230120,000000,10.18,10.19,10.16,10.19,51997,0
ISRLU.US,D,20230123,000000,10.19,10.2,10.16,10.19,39146,0
ISRLU.US,D,20230124,000000,10.19,10.2,10.19,10.2,45604,0
ISRLU.US,D,20230125,000000,10.2,10.24,10.17,10.2,18629,0
ISRLU.US,D,20230126,000000,10.21,10.24,10.1875,10.1875,2311,0
ISRLU.US,D,20230127,000000,10.1714,10.19,10.17,10.17,122564,0
ISRLU.US,D,20230130,000000,10.17,10.17,10.17,10.17,940,0
ISRLU.US,D,20230131,000000,10.17,10.17,10.11,10.17,14366,0
ISRLU.US,D,20230201,000000,10.1507,10.1593,10.15,10.1593,1228,0
ISRLU.US,D,20230202,000000,10.18,10.18,10.165,10.17,51732,0
ISRLU.US,D,20230203,000000,10.17,10.1701,10.15,10.17,50912,0
ISRLU.US,D,20230206,000000,10.17,10.18,10.17,10.17,72630,0
ISRLU.US,D,20230207,000000,10.18,10.18,10.16,10.18,22274,0
ISRLU.US,D,20230208,000000,10.18,10.18,10.175,10.175,20374,0
ISRLU.US,D,20230209,000000,10.16,10.17,10.16,10.17,20629,0
ISRLU.US,D,20230210,000000,10.18,10.19,10.17,10.17,80553,0
ISRLU.US,D,20230213,000000,10.22,10.26,10.17,10.17,8157,0
ISRLU.US,D,20230214,000000,10.18,10.18,10.16,10.17,5862,0
ISRLU.US,D,20230215,000000,10.17,10.35,10.16,10.16,56267,0
ISRLU.US,D,20230216,000000,10.1974,10.21,10.1734,10.21,2406,0
ISRLU.US,D,20230217,000000,10.1878,10.1888,10.18,10.18,521196,0
ISRLU.US,D,20230221,000000,10.21,10.21,10.21,10.21,580,0
ISRLU.US,D,20230222,000000,10.2,10.2,10.18,10.18,27842,0
ISRLU.US,D,20230224,000000,10.18,10.18,10.18,10.18,159996,0
ISRLU.US,D,20230227,000000,10.2,10.3,10.2,10.26,196228,0
ISRLU.US,D,20230228,000000,10.26,10.9,10.26,10.31,655930,0
ISRLU.US,D,20230301,000000,10.32,10.32,10.29,10.29,600800,0
ISRLU.US,D,20230302,000000,10.29,10.32,10.28,10.28,13060,0
ISRLU.US,D,20230303,000000,10.15,10.29,10.15,10.28,4941,0
ISRLU.US,D,20230306,000000,10.454,10.75,10.31,10.31,159690,0
ISRLU.US,D,20230307,000000,10.36,10.36,10.29,10.3,352103,0
ISRLU.US,D,20230308,000000,10.3,10.34,10.3,10.31,6681,0
ISRLU.US,D,20230309,000000,10.32,10.36,10.32,10.36,100100,0
ISRLU.US,D,20230310,000000,10.33,10.45,10.31,10.31,11311,0
ISRLU.US,D,20230313,000000,10.45,10.68,10.31,10.32,37188,0
ISRLU.US,D,20230314,000000,10.4,10.45,10.31,10.31,5437,0
ISRLU.US,D,20230315,000000,10.3182,10.34,10.31,10.31,3792,0
ISRLU.US,D,20230316,000000,10.35,10.35,10.3,10.3,3665,0
ISRLU.US,D,20230317,000000,10.2259,10.3,10.22,10.28,8351,0
ISRLU.US,D,20230320,000000,10.27,10.45,10.26,10.2603,39281,0
ISRLU.US,D,20230321,000000,10.2819,10.37,10.23,10.29,27369,0
ISRLU.US,D,20230322,000000,10.14,10.37,10.14,10.27,13915,0
ISRLU.US,D,20230323,000000,10.37,10.37,10.25,10.28,4049,0
ISRLU.US,D,20230324,000000,10.27,10.37,10.2698,10.28,10896,0
ISRLU.US,D,20230327,000000,10.35,10.37,10.31,10.37,4501,0
ISRLU.US,D,20230329,000000,10.4,10.4,10.4,10.4,1012,0
ISRLU.US,D,20230330,000000,10.46,10.6,10.28,10.28,3775,0
ISRLU.US,D,20230331,000000,10.33,10.36,10.27,10.36,1045,0
ISRLU.US,D,20230404,000000,10.4,10.4,10.3597,10.39,3069,0
ISRLU.US,D,20230405,000000,10.935,10.935,10.38,10.39,3071,0
