<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IVCP.US,D,20220223,000000,10.83,11.37,9.85,9.87,1612,0
IVCP.US,D,20220224,000000,9.71,9.75,9.7,9.7,201439,0
IVCP.US,D,20220228,000000,9.8,9.84,9.7327,9.84,603,0
IVCP.US,D,20220301,000000,9.87,9.87,9.76,9.87,12718,0
IVCP.US,D,20220302,000000,9.87,9.87,9.86,9.86,845,0
IVCP.US,D,20220303,000000,9.73,9.85,9.73,9.84,1567,0
IVCP.US,D,20220304,000000,9.805,9.87,9.805,9.87,207,0
IVCP.US,D,20220307,000000,9.74,9.85,9.74,9.85,799,0
IVCP.US,D,20220308,000000,9.76,9.84,9.76,9.84,2077,0
IVCP.US,D,20220311,000000,9.77,9.85,9.76,9.85,4368,0
IVCP.US,D,20220316,000000,9.7604,9.82,9.76,9.82,3601,0
IVCP.US,D,20220321,000000,9.77,9.77,9.76,9.7637,2471,0
IVCP.US,D,20220322,000000,9.76,9.76,9.75,9.76,2654,0
IVCP.US,D,20220323,000000,9.79,9.79,9.79,9.79,4011,0
IVCP.US,D,20220324,000000,9.79,9.79,9.79,9.79,2872,0
IVCP.US,D,20220325,000000,9.79,9.79,9.79,9.79,4105,0
IVCP.US,D,20220329,000000,9.79,9.79,9.79,9.79,5294,0
IVCP.US,D,20220330,000000,9.78,9.78,9.78,9.78,2185,0
IVCP.US,D,20220331,000000,9.82,9.8201,9.82,9.82,1877,0
IVCP.US,D,20220404,000000,9.81,9.82,9.81,9.82,22886,0
IVCP.US,D,20220406,000000,9.81,9.81,9.81,9.81,125035,0
IVCP.US,D,20220407,000000,9.81,9.82,9.81,9.82,1960016,0
IVCP.US,D,20220408,000000,9.82,9.82,9.82,9.82,6303,0
IVCP.US,D,20220411,000000,9.84,9.84,9.81,9.81,314,0
IVCP.US,D,20220413,000000,9.83,9.83,9.825,9.83,335150,0
IVCP.US,D,20220414,000000,9.83,9.83,9.83,9.83,30109,0
IVCP.US,D,20220418,000000,9.83,9.83,9.82,9.82,508,0
IVCP.US,D,20220420,000000,9.82,9.87,9.82,9.83,22070,0
IVCP.US,D,20220421,000000,9.83,9.83,9.82,9.82,2010,0
IVCP.US,D,20220422,000000,9.83,9.83,9.83,9.83,17927,0
IVCP.US,D,20220426,000000,9.83,9.83,9.83,9.83,701,0
IVCP.US,D,20220427,000000,9.83,9.84,9.83,9.83,1881100,0
IVCP.US,D,20220428,000000,9.84,9.84,9.835,9.84,290800,0
IVCP.US,D,20220506,000000,9.85,9.85,9.85,9.85,455,0
IVCP.US,D,20220512,000000,9.8,9.85,9.8,9.8,10287,0
IVCP.US,D,20220518,000000,9.79,9.79,9.79,9.79,1756,0
IVCP.US,D,20220519,000000,9.78,9.78,9.78,9.78,601,0
IVCP.US,D,20220520,000000,9.78,9.78,9.78,9.78,6301,0
IVCP.US,D,20220524,000000,9.79,9.79,9.79,9.79,847,0
IVCP.US,D,20220526,000000,9.79,9.79,9.77,9.77,3619,0
IVCP.US,D,20220531,000000,9.86,9.86,9.815,9.815,32419,0
IVCP.US,D,20220607,000000,9.8,9.8,9.8,9.8,620,0
IVCP.US,D,20220610,000000,9.82,9.82,9.82,9.82,128,0
IVCP.US,D,20220613,000000,9.87,9.87,9.87,9.87,253,0
IVCP.US,D,20220617,000000,9.84,9.84,9.82,9.84,284673,0
IVCP.US,D,20220621,000000,9.84,9.85,9.84,9.85,400128,0
IVCP.US,D,20220622,000000,9.84,9.84,9.84,9.84,200124,0
IVCP.US,D,20220623,000000,9.84,9.84,9.84,9.84,100,0
IVCP.US,D,20220629,000000,9.85,9.85,9.85,9.85,135,0
IVCP.US,D,20220630,000000,9.82,9.82,9.82,9.82,8964,0
IVCP.US,D,20220701,000000,9.82,9.82,9.82,9.82,430,0
IVCP.US,D,20220705,000000,9.825,9.825,9.82,9.82,81832,0
IVCP.US,D,20220706,000000,9.84,9.84,9.82,9.82,135864,0
IVCP.US,D,20220708,000000,9.82,9.82,9.82,9.82,192,0
IVCP.US,D,20220713,000000,9.81,9.81,9.81,9.81,199,0
IVCP.US,D,20220722,000000,9.84,9.85,9.84,9.85,506,0
IVCP.US,D,20220725,000000,9.87,9.9,9.87,9.9,17020,0
IVCP.US,D,20220726,000000,9.87,9.89,9.87,9.88,200352,0
IVCP.US,D,20220727,000000,9.87,9.87,9.86,9.87,255917,0
IVCP.US,D,20220728,000000,9.89,9.89,9.87,9.87,408,0
IVCP.US,D,20220801,000000,9.885,9.885,9.87,9.87,1153,0
IVCP.US,D,20220802,000000,9.9,9.91,9.9,9.91,6879,0
IVCP.US,D,20220804,000000,9.9,9.9,9.9,9.9,159,0
IVCP.US,D,20220808,000000,9.91,9.91,9.9,9.9,10205,0
IVCP.US,D,20220809,000000,9.9,9.9,9.89,9.89,31203,0
IVCP.US,D,20220810,000000,9.865,9.89,9.865,9.89,45433,0
IVCP.US,D,20220817,000000,9.89,9.89,9.88,9.88,1194,0
IVCP.US,D,20220818,000000,9.88,9.88,9.88,9.88,271732,0
IVCP.US,D,20220819,000000,9.9,9.9,9.9,9.9,13497,0
IVCP.US,D,20220823,000000,9.91,9.91,9.9,9.91,2673,0
IVCP.US,D,20220824,000000,9.91,9.92,9.91,9.91,167043,0
IVCP.US,D,20220830,000000,9.91,9.91,9.91,9.91,839,0
IVCP.US,D,20220831,000000,9.91,9.91,9.91,9.91,746,0
IVCP.US,D,20220901,000000,9.91,9.91,9.91,9.91,429,0
IVCP.US,D,20220902,000000,9.91,9.91,9.91,9.91,100,0
IVCP.US,D,20220907,000000,9.93,9.955,9.92,9.93,84244,0
IVCP.US,D,20220908,000000,9.9385,9.9385,9.93,9.93,3675,0
IVCP.US,D,20220909,000000,9.945,9.945,9.93,9.93,14177,0
IVCP.US,D,20220912,000000,9.93,9.93,9.93,9.93,475051,0
IVCP.US,D,20220913,000000,9.88,9.88,9.88,9.88,158,0
IVCP.US,D,20220914,000000,9.91,9.915,9.9,9.9,6555,0
IVCP.US,D,20220915,000000,9.92,9.95,9.92,9.93,6550,0
IVCP.US,D,20220916,000000,9.89,9.89,9.89,9.89,158,0
IVCP.US,D,20220919,000000,9.89,9.91,9.89,9.9,1412,0
IVCP.US,D,20220920,000000,9.89,9.89,9.89,9.89,155,0
IVCP.US,D,20220926,000000,9.91,9.9101,9.91,9.91,17513,0
IVCP.US,D,20220928,000000,9.94,9.94,9.915,9.92,4127,0
IVCP.US,D,20220930,000000,9.92,9.92,9.92,9.92,1159,0
IVCP.US,D,20221003,000000,9.93,9.93,9.93,9.93,104092,0
IVCP.US,D,20221011,000000,9.94,9.94,9.94,9.94,600,0
IVCP.US,D,20221012,000000,9.94,9.94,9.94,9.94,105,0
IVCP.US,D,20221014,000000,9.95,9.95,9.95,9.95,101,0
IVCP.US,D,20221017,000000,9.95,9.96,9.95,9.96,43191,0
IVCP.US,D,20221020,000000,9.98,9.98,9.98,9.98,38788,0
IVCP.US,D,20221021,000000,9.99,9.99,9.99,9.99,1022,0
IVCP.US,D,20221024,000000,9.99,9.99,9.99,9.99,171460,0
IVCP.US,D,20221027,000000,10.01,10.01,10.01,10.01,203354,0
IVCP.US,D,20221031,000000,10.01,10.01,10.005,10.01,207358,0
IVCP.US,D,20221101,000000,10.02,10.04,10.02,10.04,74615,0
IVCP.US,D,20221102,000000,10.04,10.04,10.04,10.04,3016,0
IVCP.US,D,20221103,000000,10.04,10.06,10.04,10.05,755612,0
IVCP.US,D,20221104,000000,10.04,10.045,10.03,10.03,1308,0
IVCP.US,D,20221107,000000,10.02,10.06,10.02,10.06,10857,0
IVCP.US,D,20221109,000000,10.05,10.05,10.05,10.05,627,0
IVCP.US,D,20221110,000000,10.04,10.04,10.04,10.04,517,0
IVCP.US,D,20221114,000000,10.04,10.07,10.04,10.04,13302,0
IVCP.US,D,20221115,000000,10.04,10.04,10.03,10.04,109891,0
IVCP.US,D,20221117,000000,10.05,10.05,10.05,10.05,7881,0
IVCP.US,D,20221118,000000,10.05,10.1,10.05,10.06,8014,0
IVCP.US,D,20221122,000000,10.075,10.075,10.075,10.075,100,0
IVCP.US,D,20221129,000000,10.08,10.09,10.07,10.08,89025,0
IVCP.US,D,20221130,000000,10.08,10.08,10.08,10.08,207788,0
IVCP.US,D,20221201,000000,10.08,10.085,10.08,10.085,5920,0
IVCP.US,D,20221202,000000,10.09,10.09,10.09,10.09,1008,0
IVCP.US,D,20221205,000000,10.08,10.085,10.08,10.08,6530,0
IVCP.US,D,20221207,000000,10.09,10.0954,10.09,10.09,38000,0
IVCP.US,D,20221209,000000,10.1,10.1,10.09,10.09,27700,0
IVCP.US,D,20221213,000000,10.11,10.11,10.11,10.11,2611,0
IVCP.US,D,20221214,000000,10.11,10.115,10.11,10.115,12716,0
IVCP.US,D,20221215,000000,10.12,10.12,10.12,10.12,57839,0
IVCP.US,D,20221216,000000,10.11,10.11,10.11,10.11,508,0
IVCP.US,D,20221219,000000,10.11,10.11,10.11,10.11,4004,0
IVCP.US,D,20221220,000000,10.11,10.1101,10.11,10.11,6187,0
IVCP.US,D,20221222,000000,10.12,10.12,10.12,10.12,105,0
IVCP.US,D,20221229,000000,10.15,10.15,10.13,10.13,2200,0
IVCP.US,D,20221230,000000,10.13,10.13,10.13,10.13,506,0
IVCP.US,D,20230103,000000,10.13,10.13,10.13,10.13,20545,0
IVCP.US,D,20230104,000000,9.835,10.13,9.835,10.13,4374,0
IVCP.US,D,20230105,000000,10.135,10.14,10.135,10.14,13386,0
IVCP.US,D,20230106,000000,10.14,10.14,10.14,10.14,306,0
IVCP.US,D,20230109,000000,10.14,10.15,10.14,10.15,10302,0
IVCP.US,D,20230112,000000,10.15,10.1719,10.145,10.15,2102,0
IVCP.US,D,20230113,000000,10.19,10.19,10.18,10.18,675,0
IVCP.US,D,20230118,000000,10.18,10.18,10.18,10.18,106,0
IVCP.US,D,20230120,000000,10.19,10.19,10.19,10.19,15378,0
IVCP.US,D,20230123,000000,10.19,10.195,10.19,10.19,225670,0
IVCP.US,D,20230124,000000,10.1927,10.2,10.19,10.2,118389,0
IVCP.US,D,20230125,000000,10.19,10.19,10.19,10.19,74606,0
IVCP.US,D,20230126,000000,10.2,10.2,10.195,10.2,115636,0
IVCP.US,D,20230127,000000,10.2,10.205,10.2,10.2,276338,0
IVCP.US,D,20230130,000000,10.205,10.205,10.2,10.2,147829,0
IVCP.US,D,20230131,000000,10.2,10.21,10.2,10.21,271905,0
IVCP.US,D,20230202,000000,10.21,10.22,10.21,10.22,373,0
IVCP.US,D,20230203,000000,10.215,10.215,10.21,10.21,661,0
IVCP.US,D,20230206,000000,10.22,10.22,10.22,10.22,3346844,0
IVCP.US,D,20230207,000000,10.22,10.22,10.22,10.22,131,0
IVCP.US,D,20230209,000000,10.22,10.225,10.22,10.225,7615,0
IVCP.US,D,20230210,000000,10.23,10.235,10.23,10.235,1911,0
IVCP.US,D,20230213,000000,10.21,10.21,10.21,10.21,453,0
IVCP.US,D,20230214,000000,10.23,10.23,10.23,10.23,5016,0
IVCP.US,D,20230215,000000,10.23,10.24,10.23,10.24,7549,0
IVCP.US,D,20230216,000000,10.25,10.25,10.25,10.25,201,0
IVCP.US,D,20230217,000000,10.24,10.245,10.24,10.245,1834,0
IVCP.US,D,20230221,000000,10.25,10.25,10.25,10.25,161,0
IVCP.US,D,20230223,000000,10.245,10.25,10.245,10.25,2087,0
IVCP.US,D,20230224,000000,10.25,10.25,10.25,10.25,2262,0
IVCP.US,D,20230227,000000,10.255,10.26,10.255,10.255,701608,0
IVCP.US,D,20230228,000000,10.265,10.27,10.265,10.27,18597,0
IVCP.US,D,20230301,000000,10.27,10.27,10.27,10.27,7999,0
IVCP.US,D,20230302,000000,10.79,10.79,10.27,10.275,24946,0
IVCP.US,D,20230303,000000,10.275,10.275,10.275,10.275,100,0
IVCP.US,D,20230306,000000,10.26,10.28,10.26,10.28,48429,0
IVCP.US,D,20230307,000000,10.28,10.65,10.28,10.2999,35231,0
IVCP.US,D,20230308,000000,10.29,10.295,10.29,10.295,6112,0
IVCP.US,D,20230309,000000,10.29,10.3,10.28,10.28,105112,0
IVCP.US,D,20230310,000000,10.29,10.295,10.28,10.28,6863,0
IVCP.US,D,20230313,000000,10.29,10.3,10.29,10.29,71705,0
IVCP.US,D,20230314,000000,10.29,10.29,10.29,10.29,55961,0
IVCP.US,D,20230315,000000,10.27,10.29,10.27,10.29,6251,0
IVCP.US,D,20230316,000000,10.27,10.27,10.27,10.27,107,0
IVCP.US,D,20230320,000000,10.29,10.29,10.29,10.29,137,0
IVCP.US,D,20230321,000000,10.29,10.31,10.29,10.31,5689,0
IVCP.US,D,20230322,000000,10.31,10.31,10.31,10.31,317235,0
