<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IVCPU.US,D,20240809,000000,11.11,11.12,11.11,11.12,200,0
IVCPU.US,D,20240822,000000,11.04,11.04,11.04,11.04,100,0
IVCPU.US,D,20241021,000000,12.75,12.75,11.3,11.3,404,0
IVCPU.US,D,20241118,000000,11.1,11.1,11.1,11.1,100,0
IVCPU.US,D,20241127,000000,10.85,10.85,10.85,10.85,100,0
IVCPU.US,D,20241205,000000,11.8,13.33,11.8,11.99,4795,0
IVCPU.US,D,20241206,000000,12.95,12.95,11,11,11032,0
IVCPU.US,D,20241209,000000,12.5,13.24,10.52,12.12,23266,0
IVCPU.US,D,20241210,000000,12.5,12.88,10.02,11.55,27842,0
IVCPU.US,D,20241211,000000,11.54,13.59,11.54,12.39,8698,0
IVCPU.US,D,20241212,000000,11.2,12.45,7.72,9.32,25747,0
IVCPU.US,D,20241213,000000,11.66,11.89,9.01,9.2,14730,0
