<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JAGX.US,D,20150513,000000,99226020,99367740,93130680,96107460,0.029777777092889,0
JAGX.US,D,20150514,000000,93697680,98375520,92138400,96107460,0.0051111109935556,0
JAGX.US,D,20150515,000000,95256960,100076520,93555960,99367740,0.0051111109935556,0
JAGX.US,D,20150518,000000,99226020,99226020,92847180,93556920,0.0024444443882222,0
JAGX.US,D,20150519,000000,97808520,98233740,92563680,95256960,0.00088888886844444,0
JAGX.US,D,20150520,000000,95682180,98375520,95682180,97666740,0.00088888886844444,0
JAGX.US,D,20150521,000000,98375520,99084240,94406460,98517240,0.0033333332566667,0
JAGX.US,D,20150522,000000,98375520,99367740,95823960,97099740,0.0017777777368889,0
JAGX.US,D,20150526,000000,96390960,96390960,93555960,95682180,0.0013333333026667,0
JAGX.US,D,20150527,000000,94264680,97383240,93839460,96390960,0.00088888886844444,0
JAGX.US,D,20150528,000000,96390960,97525020,93555960,97525020,0.0017777777368889,0
JAGX.US,D,20150529,000000,96249180,96816240,94264680,95398680,0.00066666665133333,0
JAGX.US,D,20150601,000000,94264680,97241520,93697680,93839460,0.001999999954,0
JAGX.US,D,20150602,000000,93981180,95370360,91429680,94973460,0.0046666665593333,0
JAGX.US,D,20150603,000000,94831680,95965680,92705460,95965680,0.0017777777368889,0
JAGX.US,D,20150604,000000,95965680,95965680,90720900,93130680,0.0042222221251111,0
JAGX.US,D,20150605,000000,92988960,94122960,92138400,92705460,0.0048888887764444,0
JAGX.US,D,20150608,000000,93130680,93555960,86184840,89303400,0.0035555554737778,0
JAGX.US,D,20150609,000000,89445180,89445180,82924560,83208060,0.0037777776908889,0
JAGX.US,D,20150610,000000,85192620,88594680,83633340,87178080,0.0017777777368889,0
JAGX.US,D,20150611,000000,95880660,95880660,88027680,93555960,0.0017777777368889,0
JAGX.US,D,20150612,000000,93414180,93414180,87885900,92988960,0.00066666665133333,0
JAGX.US,D,20150615,000000,93130680,93130680,87885900,90579180,0.0011111110855556,0
JAGX.US,D,20150616,000000,89445180,91146180,88878180,91146180,0.0017777777368889,0
JAGX.US,D,20150617,000000,91287900,93981180,91146180,92280180,0.0013333333026667,0
JAGX.US,D,20150618,000000,92138400,92847180,86893620,87177120,0.0022222221711111,0
JAGX.US,D,20150619,000000,87318840,91996680,79239060,79947840,0.001999999954,0
JAGX.US,D,20150622,000000,80231340,84200340,76120500,76545780,0.0013333333026667,0
JAGX.US,D,20150623,000000,74277780,76971000,73852500,76829280,0.00066666665133333,0
JAGX.US,D,20150624,000000,74277780,74277780,73427220,73427220,0.00022222221711111,0
JAGX.US,D,20150625,000000,73710720,73710720,68324160,70167000,0.00066666665133333,0
JAGX.US,D,20150626,000000,69458160,71017500,69458160,69741660,0.00066666665133333,0
JAGX.US,D,20150629,000000,71017500,71017500,64638660,64922160,0.00022222221711111,0
JAGX.US,D,20150630,000000,66197940,70734000,65205660,68324160,0.00022222221711111,0
JAGX.US,D,20150701,000000,69458160,72293220,68324160,68749440,0.0015555555197778,0
JAGX.US,D,20150702,000000,68749440,72293220,65772660,72151500,0.00088888886844444,0
JAGX.US,D,20150706,000000,71017500,72860220,69599940,72293220,0.0011111110855556,0
JAGX.US,D,20150707,000000,72293220,72293220,68324160,68607660,0.00022222221711111,0
JAGX.US,D,20150709,000000,70875720,71442720,68607660,70450500,0.0011111110855556,0
JAGX.US,D,20150710,000000,71584500,74136000,69316440,74136000,0.00066666665133333,0
JAGX.US,D,20150713,000000,75128280,77538000,71301000,71868000,0.00044444443422222,0
JAGX.US,D,20150715,000000,71868000,71868000,71301000,71301000,0.00022222221711111,0
JAGX.US,D,20150716,000000,73143720,74703000,72151500,74703000,0,0
JAGX.US,D,20150717,000000,71301000,73569000,71301000,71301000,0.00044444443422222,0
JAGX.US,D,20150720,000000,71442720,71442720,65772660,65772660,0.0011111110855556,0
JAGX.US,D,20150721,000000,66623160,68040660,60669600,60811380,0.00044444443422222,0
JAGX.US,D,20150722,000000,60102600,60102600,54149040,55566540,0.00044444443422222,0
JAGX.US,D,20150723,000000,56700600,56700600,55283040,55283040,0.00066666665133333,0
JAGX.US,D,20150724,000000,55424820,55424820,49612980,49754760,0.0011111110855556,0
JAGX.US,D,20150727,000000,50321760,50321760,45076980,45076980,0.00022222221711111,0
JAGX.US,D,20150728,000000,48337260,49612980,46777980,48762480,0.00066666665133333,0
JAGX.US,D,20150729,000000,52589820,52589820,49612980,49612980,0,0
JAGX.US,D,20150730,000000,49754760,52589820,48904260,49612980,0.00022222221711111,0
JAGX.US,D,20150731,000000,48620760,50463480,48620760,50463480,0,0
JAGX.US,D,20150803,000000,50888760,54857820,50463480,50746980,0.00022222221711111,0
JAGX.US,D,20150804,000000,48620760,49612980,47628480,48762480,0.00022222221711111,0
JAGX.US,D,20150805,000000,47486760,51030480,47486760,47911980,0.00066666665133333,0
JAGX.US,D,20150806,000000,46777980,46777980,44085660,45360480,0.00022222221711111,0
JAGX.US,D,20150807,000000,45360480,45785700,41533140,42525420,0.00066666665133333,0
JAGX.US,D,20150810,000000,42100140,42525420,40966140,40966140,0.00066666665133333,0
JAGX.US,D,20150812,000000,42383640,42383640,40399140,41674920,0.00022222221711111,0
JAGX.US,D,20150813,000000,42525420,43801200,38272920,40682640,0.00044444443422222,0
JAGX.US,D,20150814,000000,42100140,42241920,40966140,40966140,0.00088888886844444,0
JAGX.US,D,20150817,000000,42383640,42383640,38131140,41958420,0.00022222221711111,0
