<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JTAIZ.US,D,20230822,000000,2.2,2.5,0.6594,2,6148,0
JTAIZ.US,D,20230823,000000,1.61,1.61,1.0001,1.04,5272,0
JTAIZ.US,D,20230824,000000,1.4,2,1.1,1.33,13879,0
JTAIZ.US,D,20230825,000000,1.05,1.48,0.7,0.82,4166,0
JTAIZ.US,D,20230828,000000,0.75,1.15,0.75,0.9,6125,0
JTAIZ.US,D,20230829,000000,1,1.56,1,1.2,6045,0
JTAIZ.US,D,20230830,000000,0.95,0.97975,0.8,0.899899,3794,0
JTAIZ.US,D,20230831,000000,1.2,1.2,0.9,0.9,5970,0
JTAIZ.US,D,20230901,000000,0.9082,1.09,0.8,0.99,4302,0
JTAIZ.US,D,20230905,000000,0.8989,1.47,0.72,0.8,9840,0
JTAIZ.US,D,20230906,000000,0.75,0.94,0.7,0.94,4926,0
JTAIZ.US,D,20230907,000000,0.7103,0.7104,0.7,0.7001,4004,0
JTAIZ.US,D,20230908,000000,0.9,0.9,0.356,0.52,4451,0
JTAIZ.US,D,20230911,000000,0.52,0.6,0.52,0.52001,3281,0
JTAIZ.US,D,20230912,000000,0.500101,0.78,0.4416,0.7785,1710,0
JTAIZ.US,D,20230913,000000,0.74,0.74,0.6,0.6,1209,0
JTAIZ.US,D,20230914,000000,0.6,0.6,0.3649,0.55,3791,0
JTAIZ.US,D,20230915,000000,0.7,0.7,0.628,0.6552,781,0
JTAIZ.US,D,20230918,000000,0.7,0.7,0.6,0.6,2706,0
JTAIZ.US,D,20230919,000000,0.7,0.7,0.550001,0.550001,1411,0
JTAIZ.US,D,20230920,000000,0.637501,0.637501,0.637501,0.637501,380,0
JTAIZ.US,D,20230921,000000,0.55,0.56,0.2756,0.56,2250,0
JTAIZ.US,D,20230922,000000,0.579,0.579,0.4089,0.5317,1307,0
JTAIZ.US,D,20230925,000000,0.5317,0.5317,0.43,0.43,1818,0
