<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KACRF.US,D,20220927,000000,0.075,0.075,0.0721,0.0721,10580,0
KACRF.US,D,20220930,000000,0.0709,0.0709,0.0709,0.0709,111,0
KACRF.US,D,20221006,000000,0.06,0.07,0.06,0.07,4000,0
KACRF.US,D,20221013,000000,0.0797,0.0797,0.0797,0.0797,220,0
KACRF.US,D,20221018,000000,0.08,0.0825,0.08,0.0825,62500,0
KACRF.US,D,20221024,000000,0.08,0.08,0.07,0.07,13984,0
KACRF.US,D,20221026,000000,0.0651,0.0693,0.0651,0.0693,11550,0
KACRF.US,D,20221028,000000,0.0825,0.09,0.07,0.07,40900,0
KACRF.US,D,20221103,000000,0.07,0.07,0.07,0.07,1300,0
KACRF.US,D,20221104,000000,0.07,0.07,0.07,0.07,1920,0
KACRF.US,D,20221110,000000,0.07,0.07,0.07,0.07,4000,0
KACRF.US,D,20221115,000000,0.07,0.07,0.07,0.07,129000,0
KACRF.US,D,20221116,000000,0.07,0.08,0.07,0.07,4100,0
KACRF.US,D,20221118,000000,0.08,0.08,0.08,0.08,100,0
KACRF.US,D,20221122,000000,0.0702,0.0702,0.0702,0.0702,111,0
KACRF.US,D,20221128,000000,0.0702,0.085,0.0701,0.08,55700,0
KACRF.US,D,20221129,000000,0.0849,0.0849,0.0849,0.0849,600,0
KACRF.US,D,20221201,000000,0.075,0.078,0.075,0.078,6400,0
KACRF.US,D,20221202,000000,0.078,0.078,0.075,0.075,3140,0
KACRF.US,D,20221205,000000,0.0701,0.0701,0.0701,0.0701,4271,0
KACRF.US,D,20221213,000000,0.13,0.15,0.12,0.1499,235681,0
KACRF.US,D,20221214,000000,0.11,0.155,0.11,0.155,63716,0
KACRF.US,D,20221216,000000,0.135,0.135,0.13,0.13,46250,0
KACRF.US,D,20221219,000000,0.13,0.13,0.13,0.13,2474,0
KACRF.US,D,20221229,000000,0.131,0.131,0.131,0.131,1123,0
KACRF.US,D,20230103,000000,0.131,0.165,0.131,0.165,5300,0
KACRF.US,D,20230105,000000,0.17,0.18,0.17,0.1799,9900,0
KACRF.US,D,20230125,000000,0.199,0.2,0.1801,0.2,10670,0
KACRF.US,D,20230126,000000,0.2,0.2,0.18,0.2,21492,0
KACRF.US,D,20230131,000000,0.2,0.22,0.2,0.22,15616,0
KACRF.US,D,20230201,000000,0.235,0.2402,0.235,0.2402,41164,0
KACRF.US,D,20230202,000000,0.24,0.24,0.24,0.24,3000,0
KACRF.US,D,20230203,000000,0.24,0.275,0.24,0.275,22180,0
KACRF.US,D,20230206,000000,0.275,0.275,0.24,0.275,1062,0
KACRF.US,D,20230209,000000,0.275,0.3539,0.2673,0.2673,29623,0
KACRF.US,D,20230210,000000,0.27,0.27,0.2593,0.2593,15001,0
KACRF.US,D,20230213,000000,0.265,0.265,0.2565,0.2581,55937,0
KACRF.US,D,20230214,000000,0.258,0.258,0.247016,0.247016,38714,0
KACRF.US,D,20230215,000000,0.2459,0.2459,0.24,0.24,9740,0
KACRF.US,D,20230217,000000,0.238,0.238,0.23,0.23,541005,0
KACRF.US,D,20230221,000000,0.228,0.228,0.19,0.19,889451,0
KACRF.US,D,20230224,000000,0.2092,0.21,0.1976,0.1976,18800,0
KACRF.US,D,20230227,000000,0.214,0.55,0.214,0.2277,30484,0
