<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LFLY.US,D,20191216,000000,194,195,194,195,11266.65,0
LFLY.US,D,20191217,000000,195,195,194.4,194.4,190.2,0
LFLY.US,D,20191218,000000,194.4,194.8,194.4,194.6,122.25,0
LFLY.US,D,20191219,000000,194.6,194.6,194.4,194.4,13.6,0
LFLY.US,D,20191220,000000,194.354,195,194.2,195,125,0
LFLY.US,D,20191223,000000,195,195,195,195,50,0
LFLY.US,D,20191227,000000,194.276,194.8,194.2,194.8,1099.65,0
LFLY.US,D,20191231,000000,194.6,194.8,194.6,194.8,165.25,0
LFLY.US,D,20200102,000000,194.8,194.8,194.8,194.8,988.05,0
LFLY.US,D,20200103,000000,195.2,195.4,194.6,194.916,195,0
LFLY.US,D,20200106,000000,195,195.4,195,195.4,2197.3,0
LFLY.US,D,20200107,000000,195.4,195.4,195,195,1775.75,0
LFLY.US,D,20200108,000000,195.2,195.2,195.2,195.2,146.5,0
LFLY.US,D,20200109,000000,196,196,196,196,11183.45,0
LFLY.US,D,20200113,000000,196,197.6,196,197.6,315.3,0
LFLY.US,D,20200114,000000,197.4,197.4,197.4,197.4,25.5,0
LFLY.US,D,20200115,000000,197,198,197,198,52.4,0
LFLY.US,D,20200117,000000,196,198,196,198,31.8,0
LFLY.US,D,20200121,000000,196.6,196.6,196.6,196.6,260,0
LFLY.US,D,20200122,000000,196.4,196.4,196.4,196.4,3762.05,0
LFLY.US,D,20200123,000000,196.8,196.8,196.8,196.8,2500,0
LFLY.US,D,20200124,000000,196.8,196.8,196.8,196.8,5010,0
LFLY.US,D,20200129,000000,197,197,196.6,196.996,25.4,0
LFLY.US,D,20200130,000000,196.352,197,196.352,197,66,0
LFLY.US,D,20200131,000000,196.2,196.2,196.2,196.2,5,0
LFLY.US,D,20200204,000000,196.2,196.2,196.2,196.2,18.75,0
LFLY.US,D,20200207,000000,198,199,197.6,199,139.8,0
LFLY.US,D,20200214,000000,199,199,198.014,198.2,1602.8,0
LFLY.US,D,20200218,000000,197.2,197.648,197,197.648,59.15,0
LFLY.US,D,20200219,000000,197,197,197,197,35.3,0
LFLY.US,D,20200225,000000,197,197,197,197,31.9,0
LFLY.US,D,20200226,000000,197,197,197,197,613.2,0
LFLY.US,D,20200227,000000,197.2,197.2,197.2,197.2,25,0
LFLY.US,D,20200228,000000,196.4,196.4,196,196,1025,0
LFLY.US,D,20200304,000000,196,198,196,198,1125,0
LFLY.US,D,20200305,000000,197.2,197.2,197.2,197.2,675,0
LFLY.US,D,20200309,000000,196.8,198,190.002,196.4,17611.5,0
LFLY.US,D,20200310,000000,194.8,196.4,194,196,3089.3,0
LFLY.US,D,20200311,000000,195.8,195.802,195.8,195.802,56.5,0
LFLY.US,D,20200312,000000,193.04,194.2,193,194,6807.55,0
LFLY.US,D,20200313,000000,194.2,195.6,192.8,193,411.2,0
LFLY.US,D,20200316,000000,192.2,193,191,192,5255.5,0
