<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LGHL.US,D,20200618,000000,145,181.5,110,134.5,5749.22,0
LGHL.US,D,20200619,000000,134.5,134.5,115.25,121.4,1514.36,0
LGHL.US,D,20200622,000000,111.5,113.15,95,110,2646.8,0
LGHL.US,D,20200623,000000,112.5,120.5,103.5,105,1638.38,0
LGHL.US,D,20200624,000000,111,145,105,109,11855.34,0
LGHL.US,D,20200625,000000,119.5,127.775,96.5,110,3861.4,0
LGHL.US,D,20200626,000000,108,109.5,92.5,101.5,1973.74,0
LGHL.US,D,20200629,000000,104,107,95.5,100,1526.62,0
LGHL.US,D,20200630,000000,97,172,87.25,152.5,25717.2,0
LGHL.US,D,20200701,000000,137.5,205,116,147.5,92130.34,0
LGHL.US,D,20200702,000000,130,155.8,124,127.5,6161.84,0
LGHL.US,D,20200706,000000,142.5,142.5,107.5,124.5,6203.92,0
LGHL.US,D,20200707,000000,115.5,124,105.75,115.995,2381.12,0
LGHL.US,D,20200708,000000,111.5,129,111.005,119.5,4043.3,0
LGHL.US,D,20200709,000000,117.5,140,111.5,128.5,8763.46,0
LGHL.US,D,20200710,000000,131,166.5,131,160,9984.2,0
LGHL.US,D,20200713,000000,155.5,160.91,142.5,145.5,4493.42,0
LGHL.US,D,20200714,000000,135,157.5,130.5,152,2154.42,0
LGHL.US,D,20200715,000000,188,189,153.5,171,10014.34,0
LGHL.US,D,20200716,000000,420,446.5,218,236.5,526418.6,0
LGHL.US,D,20200717,000000,232.5,260,212.5,236.5,22142.8,0
LGHL.US,D,20200720,000000,242.5,301,240,277.5,28318.2,0
LGHL.US,D,20200721,000000,277,294,250,251.5,5918.46,0
LGHL.US,D,20200722,000000,250,254.495,235.005,242,3759.88,0
LGHL.US,D,20200723,000000,242,268,226.83,230,3115.04,0
LGHL.US,D,20200724,000000,228,239.45,221.505,230.5,1810.9,0
LGHL.US,D,20200727,000000,230,239.9,175.5,186.5,5431.24,0
LGHL.US,D,20200728,000000,180,195.925,170.545,173,2364.56,0
LGHL.US,D,20200729,000000,187,193,176,190,12943.02,0
LGHL.US,D,20200730,000000,182.5,189.5,178.95,185,3446.7,0
LGHL.US,D,20200731,000000,180.5,195.995,180.5,190.5,9898.6,0
LGHL.US,D,20200803,000000,188.5,197,171,177.5,3643.9,0
LGHL.US,D,20200804,000000,175.5,185,171,181.5,3200.54,0
LGHL.US,D,20200805,000000,176,182.5,167.5,172.5,7110.56,0
LGHL.US,D,20200806,000000,170,185,170,182.5,4264.98,0
LGHL.US,D,20200807,000000,178,198,177.505,192,4584.74,0
LGHL.US,D,20200810,000000,188,213.565,185.405,202.5,2754.42,0
LGHL.US,D,20200811,000000,206.5,210,188.5,200.5,6179.68,0
LGHL.US,D,20200812,000000,197.5,210,195.005,203.5,3067.98,0
LGHL.US,D,20200813,000000,195.5,205,180,183.985,1761.72,0
LGHL.US,D,20200814,000000,184.35,204,184.195,191.5,3561.8,0
LGHL.US,D,20200817,000000,190.5,200,185.5,192.5,1953.8,0
LGHL.US,D,20200818,000000,193.5,195,183.75,185.5,1193.5,0
LGHL.US,D,20200819,000000,185.5,187.5,181.5,185,584.52,0
LGHL.US,D,20200820,000000,179,185,148,154,3815.88,0
LGHL.US,D,20200821,000000,153.5,153.5,138,139.5,1549.52,0
LGHL.US,D,20200824,000000,140,154,138,142,3439.74,0
LGHL.US,D,20200825,000000,141,153,138.5,140.5,2618.06,0
LGHL.US,D,20200826,000000,139,154,137.5,141,3515.4,0
LGHL.US,D,20200827,000000,140,150,131.285,132,5152.36,0
LGHL.US,D,20200828,000000,133,136,118,123,3916.42,0
LGHL.US,D,20200831,000000,120,135.5,119,135.5,3891.18,0
LGHL.US,D,20200901,000000,135.5,148,133,136,1961.58,0
LGHL.US,D,20200902,000000,135,147.5,130.505,136.5,3793.52,0
LGHL.US,D,20200903,000000,137.5,141.5,131.645,132,598.5,0
LGHL.US,D,20200904,000000,130.5,135.25,124.5,131.5,900.66,0
LGHL.US,D,20200908,000000,127.5,130,125,127.5,339.02,0
LGHL.US,D,20200909,000000,123,130.83,122.5,124.005,93.38,0
LGHL.US,D,20200910,000000,124.5,142.5,124.5,128.5,1823.74,0
LGHL.US,D,20200911,000000,126.5,140,125.75,130.5,1729.14,0
LGHL.US,D,20200914,000000,130.75,135,126.5,129.5,664.2,0
LGHL.US,D,20200915,000000,135.5,135.5,128.35,130.5,494.72,0
LGHL.US,D,20200916,000000,130.5,131.5,129,131.5,165.42,0
LGHL.US,D,20200917,000000,131,131,129,129,22.4,0
