<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LSE.US,D,20241219,000000,4.25,4.58,3.76,4.35,2061900,0
LSE.US,D,20241220,000000,4.3,5.25,4.3,4.9799,271429,0
LSE.US,D,20241223,000000,5.4,5.8799,5,5.1,189971,0
LSE.US,D,20241224,000000,5.18,5.49,4.8,5,97429,0
LSE.US,D,20241226,000000,4.84,4.84,4.352,4.7,47420,0
LSE.US,D,20241227,000000,4.89,4.9,4.51,4.76,16226,0
LSE.US,D,20241230,000000,4.84,4.85,4.5,4.75,85834,0
LSE.US,D,20241231,000000,4.62,5.44,4.5,4.85,47947,0
LSE.US,D,20250102,000000,4.92,5.3097,4.76,5.17,43889,0
LSE.US,D,20250103,000000,5.3,5.4,4.9,5.01,61397,0
LSE.US,D,20250106,000000,4.99,5.77,4.724,5.49,234104,0
LSE.US,D,20250107,000000,5.71,5.71,5.0252,5.36,74907,0
LSE.US,D,20250108,000000,5.36,5.36,4.8196,5.09,9867,0
LSE.US,D,20250110,000000,4.83,5.6899,4.83,5.5501,45785,0
LSE.US,D,20250113,000000,5.68,7,5.1201,6.7,119431,0
LSE.US,D,20250114,000000,6.95,7.73,6.3,7.38,94054,0
LSE.US,D,20250115,000000,7.54,7.7,6.7913,7.54,108301,0
LSE.US,D,20250116,000000,7.7,8.35,6.5,6.79,91485,0
LSE.US,D,20250117,000000,7.09,7.84,6.81,7.39,114441,0
LSE.US,D,20250121,000000,8.13,8.82,7.77,7.89,68976,0
LSE.US,D,20250122,000000,8.38,9.13,7.7,9.13,75790,0
LSE.US,D,20250123,000000,9.15,11.23,9.15,11.115,75110,0
LSE.US,D,20250124,000000,11.24,13.83,6.06,8.39,157248,0
LSE.US,D,20250127,000000,8.37,9.9219,6.86,8.35,101884,0
LSE.US,D,20250128,000000,7.63,8.49,7.3,7.32,13826,0
LSE.US,D,20250129,000000,7.32,8.9902,7.32,8.26,39822,0
LSE.US,D,20250130,000000,8.48,8.48,7.711,7.82,31337,0
LSE.US,D,20250131,000000,7.7,7.76,6.71,6.85,61997,0
LSE.US,D,20250203,000000,6.83,8.4,6.83,7.62,17542,0
LSE.US,D,20250204,000000,8.0541,8.3486,7.56,7.56,7675,0
LSE.US,D,20250205,000000,7.96,7.96,7.5,7.5,5193,0
LSE.US,D,20250206,000000,7.5,7.62,7.12,7.14,9200,0
LSE.US,D,20250207,000000,7.77,7.9994,6.8,7.27,13981,0
LSE.US,D,20250210,000000,6.98,6.99,6.67,6.81,8450,0
LSE.US,D,20250211,000000,6.99,6.99,6.08,6.2,34047,0
LSE.US,D,20250212,000000,6,6.8999,5.49,6,56312,0
LSE.US,D,20250213,000000,6,6.34,5.55,5.56,4954,0
