<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LUXH.US,D,20220812,000000,291.2,350,219.1,259,117145.28583143,0
LUXH.US,D,20220815,000000,217,248.087,201.6,237.3,19698.228591127,0
LUXH.US,D,20220816,000000,243.6,264.691,231.7,235.9,18519.357161377,0
LUXH.US,D,20220817,000000,218.4,225.645,204.4,215.6,3829.5428609724,0
LUXH.US,D,20220818,000000,207.9,215.544,196.7,201.6,3489.0857177748,0
LUXH.US,D,20220819,000000,191.1,196,181.3,183.4,3808.8857180946,0
LUXH.US,D,20220822,000000,194.6,211.4,179.2,188.3,5290.9714338624,0
LUXH.US,D,20220823,000000,188.3,194.6,169.4,175,2513.6285739422,0
LUXH.US,D,20220824,000000,165.2,179.9,164.5,179.2,1177.8857154636,0
LUXH.US,D,20220825,000000,179.2,188.426,168.707,172.9,2801.1857170869,0
LUXH.US,D,20220826,000000,175,222.6,169.085,185.5,31518.757174376,0
LUXH.US,D,20220829,000000,172.9,195.3,168,180.6,2865.8857171516,0
LUXH.US,D,20220830,000000,175.7,199.5,166.6,185.073,1793.3571446505,0
LUXH.US,D,20220831,000000,177.8,195.3,172.893,188.3,1416.4857157022,0
LUXH.US,D,20220901,000000,189,200.2,174.993,194.6,2984.1285744127,0
LUXH.US,D,20220902,000000,201.327,208.6,190.4,196.7,1543.5571444007,0
LUXH.US,D,20220906,000000,198.1,209.3,189.7,198.8,2166.4428593093,0
LUXH.US,D,20220907,000000,203,203,177.1,181.3,2050.7714306222,0
LUXH.US,D,20220908,000000,177.1,203,177.1,178.507,1236.3857155221,0
LUXH.US,D,20220909,000000,186.2,193.9,179.9,187.593,1090.0714296615,0
LUXH.US,D,20220912,000000,189,190.4,175,180.25,1782.6142874969,0
LUXH.US,D,20220913,000000,175.7,180.033,171.5,172.9,530.6142862449,0
LUXH.US,D,20220914,000000,167.3,167.3,158.2,160.3,767.1285721957,0
LUXH.US,D,20220915,000000,166.6,166.6,140,147,1011.5285724401,0
LUXH.US,D,20220916,000000,146.3,154,139.3,139.3,857.428572286,0
LUXH.US,D,20220919,000000,147.7,147.7,129.5,132.3,1009.6714295811,0
LUXH.US,D,20220920,000000,140,147.777,139.307,140.7,607.6857148934,0
LUXH.US,D,20220921,000000,137.2,144.2,137.2,142.1,713.4571435706,0
LUXH.US,D,20220922,000000,138.355,140.7,125.3,139.3,828.1000008281,0
LUXH.US,D,20220923,000000,131.852,132.3,119.7,123.9,890.9285723195,0
LUXH.US,D,20220926,000000,130.592,130.893,102.9,114.1,3732.6000037326,0
LUXH.US,D,20220927,000000,131.6,137.2,112,130.2,2671.7714312432,0
LUXH.US,D,20220928,000000,126,133,120.4,126,617.4714291889,0
LUXH.US,D,20220929,000000,129.5,140.7,116.2,138.6,997.8142867121,0
LUXH.US,D,20220930,000000,138.6,138.6,124.6,132.3,594.142857737,0
LUXH.US,D,20221003,000000,133.7,146.3,130.9,140,353.7571432109,0
LUXH.US,D,20221004,000000,132.3,158.2,130.9,140.7,1880.6714304521,0
LUXH.US,D,20221005,000000,148.4,158.9,140,145.6,1039.5857153253,0
LUXH.US,D,20221006,000000,152.6,152.6,121.45,138.6,1806.8285732354,0
LUXH.US,D,20221007,000000,146.3,146.3,123.9,128.8,181.8857144676,0
LUXH.US,D,20221010,000000,130.004,130.004,124.6,125.3,91.6571429488,0
LUXH.US,D,20221011,000000,137.368,137.368,100.1,110.6,1906.1000019061,0
LUXH.US,D,20221012,000000,120.4,121.1,102.2,109.2,149.714285864,0
LUXH.US,D,20221013,000000,112.105,112.105,106.085,106.4,98.6714286701,0
LUXH.US,D,20221014,000000,113.393,113.4,106.4,106.4,113.3714286848,0
LUXH.US,D,20221017,000000,112,114.1,106.4,108.5,187.0428573299,0
LUXH.US,D,20221018,000000,115.493,115.493,106.4,107.1,185.1142858994,0
LUXH.US,D,20221019,000000,110.6,110.6,101.507,107.1,145.71428586,0
LUXH.US,D,20221020,000000,110.593,110.593,101.5,105,94.1285715227,0
LUXH.US,D,20221021,000000,102.2,105.518,91,94.5,563.5285719921,0
LUXH.US,D,20221024,000000,95.2,95.2,91,91,329.1142860434,0
LUXH.US,D,20221025,000000,91,97.3,86.8,91.7,416.7857147025,0
LUXH.US,D,20221026,000000,101.15,101.15,91.7,98.7,39.2571428964,0
LUXH.US,D,20221027,000000,91.7,94.5,91.7,93.1,20.7714285922,0
LUXH.US,D,20221028,000000,91,100.142,91,93.8,80.7285715093,0
LUXH.US,D,20221031,000000,92.365,93.205,87.5,87.5,602.1857148879,0
LUXH.US,D,20221101,000000,92.4,95.445,91,94.5,62.3571429195,0
LUXH.US,D,20221102,000000,93.849,94.5,92.4,92.4,92.4571429496,0
LUXH.US,D,20221103,000000,93.8,93.807,91,91,59.8285714884,0
LUXH.US,D,20221104,000000,93.1,93.45,88.2,91,76.6428572195,0
LUXH.US,D,20221107,000000,91.007,115.5,91.007,102.9,585.7142863,0
LUXH.US,D,20221108,000000,110.103,139.3,100.8,112.63,945.71428666,0
LUXH.US,D,20221109,000000,111.3,119.056,101.85,114.8,482.85714334,0
LUXH.US,D,20221110,000000,108.5,118.3,105.7,113.05,135.71428585,0
LUXH.US,D,20221111,000000,116.123,125.188,113.4,121.8,314.2857146,0
LUXH.US,D,20221114,000000,121.8,125.3,108.5,121.1,404.7428575476,0
