<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MARX.US,D,20230316,000000,10.16,10.18,10.15,10.15,438913,0
MARX.US,D,20230317,000000,10.15,10.17,10.15,10.15,293130,0
MARX.US,D,20230320,000000,10.165,10.17,10.16,10.1668,8346,0
MARX.US,D,20230321,000000,10.16,10.17,10.15,10.15,447275,0
MARX.US,D,20230322,000000,10.15,10.1599,10.15,10.1501,156007,0
MARX.US,D,20230323,000000,10.15,10.16,10.15,10.16,153854,0
MARX.US,D,20230324,000000,10.155,10.16,10.155,10.16,7000,0
MARX.US,D,20230327,000000,10.17,10.2,10.15,10.15,429999,0
MARX.US,D,20230328,000000,10.15,10.15,10.15,10.15,500509,0
MARX.US,D,20230329,000000,10.15,10.15,10.15,10.15,108202,0
MARX.US,D,20230330,000000,10.15,10.16,10.15,10.16,210000,0
MARX.US,D,20230331,000000,10.16,10.16,10.15,10.15,453,0
MARX.US,D,20230403,000000,10.1593,10.16,10.1593,10.16,345,0
MARX.US,D,20230404,000000,10.16,10.165,10.16,10.16,23627,0
MARX.US,D,20230405,000000,10.17,10.175,10.16,10.17,582819,0
MARX.US,D,20230406,000000,10.18,10.18,10.15,10.15,52552,0
MARX.US,D,20230410,000000,10.25,10.635,10.17,10.2151,8903,0
MARX.US,D,20230411,000000,10.32,10.436,10.18,10.22,18048,0
MARX.US,D,20230412,000000,10.29,10.475,10.18,10.2,13614,0
MARX.US,D,20230413,000000,10.21,10.22,10.18,10.18,2207,0
MARX.US,D,20230417,000000,10.19,10.19,10.19,10.19,200,0
MARX.US,D,20230418,000000,10.19,10.2001,10.19,10.2,8516,0
MARX.US,D,20230419,000000,10.19,10.19,10.19,10.19,160223,0
MARX.US,D,20230421,000000,10.19,10.19,10.19,10.19,1000,0
MARX.US,D,20230427,000000,10.19,10.19,10.19,10.19,608,0
MARX.US,D,20230501,000000,10.2,10.2,10.2,10.2,3365,0
MARX.US,D,20230502,000000,10.2,10.2,10.2,10.2,7650,0
MARX.US,D,20230503,000000,10.2,10.21,10.2,10.21,234710,0
MARX.US,D,20230508,000000,10.215,10.25,10.215,10.2201,22054,0
MARX.US,D,20230509,000000,10.53,11,10.22,10.27,37990,0
MARX.US,D,20230510,000000,10.32,10.32,10.31,10.31,800,0
MARX.US,D,20230511,000000,10.5,10.5,10.34,10.34,7157,0
MARX.US,D,20230512,000000,10.41,10.41,10.37,10.37,10330,0
MARX.US,D,20230515,000000,10.3,10.32,10.28,10.28,27603,0
MARX.US,D,20230516,000000,10.26,10.3,10.26,10.26,3982,0
MARX.US,D,20230517,000000,10.3,10.3,10.2908,10.2908,273,0
MARX.US,D,20230519,000000,10.29,10.29,10.26,10.26,822,0
MARX.US,D,20230522,000000,10.26,10.27,10.26,10.27,1686,0
MARX.US,D,20230523,000000,10.26,10.27,10.2,10.27,52655,0
MARX.US,D,20230524,000000,10.27,10.2773,10.27,10.2773,33817,0
MARX.US,D,20230525,000000,10.27,10.2776,10.27,10.27,2385,0
MARX.US,D,20230526,000000,10.2601,10.27,10.2601,10.27,1901,0
MARX.US,D,20230530,000000,10.261,10.2988,10.261,10.28,705,0
MARX.US,D,20230531,000000,10.27,10.28,10.27,10.27,96629,0
MARX.US,D,20230602,000000,10.35,10.35,10.27,10.2706,1251,0
MARX.US,D,20230605,000000,10.375,10.375,10.25,10.26,3690,0
MARX.US,D,20230606,000000,10.375,10.4658,10.375,10.4658,301,0
MARX.US,D,20230607,000000,10.47,10.47,10.47,10.47,150,0
MARX.US,D,20230608,000000,10.36,10.36,10.36,10.36,100,0
MARX.US,D,20230609,000000,10.4,10.4,10.4,10.4,100,0
MARX.US,D,20230612,000000,10.4107,10.47,10.4,10.4,1587,0
MARX.US,D,20230614,000000,10.41,10.41,10.4,10.4001,1751,0
MARX.US,D,20230621,000000,10.4049,10.405,10.4,10.4001,4450,0
MARX.US,D,20230622,000000,10.4,10.4,10.4,10.4,3951,0
MARX.US,D,20230627,000000,10.35,10.35,10.35,10.35,1950,0
MARX.US,D,20230630,000000,10.4,10.4,10.4,10.4,104,0
MARX.US,D,20230703,000000,10.389,10.39,10.3805,10.3805,1251,0
MARX.US,D,20230705,000000,10.39,10.39,10.38,10.3805,712,0
MARX.US,D,20230706,000000,10.3899,10.3899,10.3899,10.3899,100,0
MARX.US,D,20230712,000000,10.3702,10.3702,10.37,10.37,22353,0
MARX.US,D,20230713,000000,10.37,10.3705,10.37,10.37,1012,0
MARX.US,D,20230717,000000,10.37,10.37,10.36,10.36,1564,0
MARX.US,D,20230718,000000,10.3773,10.3773,10.3773,10.3773,388,0
MARX.US,D,20230720,000000,10.37,10.37,10.37,10.37,213,0
MARX.US,D,20230721,000000,10.38,10.38,10.38,10.38,447,0
MARX.US,D,20230725,000000,10.38,10.38,10.37,10.37,410564,0
MARX.US,D,20230726,000000,10.385,10.385,10.385,10.385,111,0
MARX.US,D,20230802,000000,10.395,10.395,10.395,10.395,12740,0
MARX.US,D,20230803,000000,10.4,10.425,10.395,10.4,38840,0
MARX.US,D,20230808,000000,10.41,10.41,10.41,10.41,160,0
MARX.US,D,20230810,000000,10.415,10.42,10.415,10.42,1300,0
MARX.US,D,20230811,000000,10.41,10.41,10.41,10.41,832,0
MARX.US,D,20230814,000000,10.41,10.41,10.41,10.41,20000,0
MARX.US,D,20230818,000000,10.42,10.43,10.42,10.43,2251,0
MARX.US,D,20230821,000000,10.43,10.43,10.42,10.42,4900,0
MARX.US,D,20230822,000000,10.43,10.44,10.43,10.44,13070,0
MARX.US,D,20230823,000000,10.44,10.44,10.44,10.44,206,0
MARX.US,D,20230825,000000,10.45,10.45,10.445,10.45,2055,0
MARX.US,D,20230828,000000,10.45,10.45,10.45,10.45,2204,0
MARX.US,D,20230829,000000,10.45,10.45,10.45,10.45,2222,0
MARX.US,D,20230830,000000,10.45,10.45,10.45,10.45,15001,0
MARX.US,D,20230905,000000,10.5,10.58,10.46,10.465,7925,0
MARX.US,D,20230907,000000,10.48,10.48,10.46,10.47,166103,0
MARX.US,D,20230911,000000,10.488,10.5,10.47,10.47,2864,0
MARX.US,D,20230912,000000,10.47,10.49,10.46,10.46,869,0
MARX.US,D,20230914,000000,10.47,10.495,10.47,10.47,1427,0
MARX.US,D,20230915,000000,10.48,10.48,10.48,10.48,21731,0
MARX.US,D,20230918,000000,10.51,10.51,10.48,10.48,41169,0
MARX.US,D,20230919,000000,10.48,10.48,10.48,10.48,3944,0
MARX.US,D,20230922,000000,10.485,10.49,10.48,10.49,3666,0
MARX.US,D,20230926,000000,10.55,10.55,10.49,10.49,35702,0
MARX.US,D,20231002,000000,10.51,10.52,10.51,10.52,423,0
MARX.US,D,20231005,000000,10.515,10.52,10.515,10.515,6706,0
MARX.US,D,20231011,000000,10.54,10.5401,10.54,10.5401,1008,0
MARX.US,D,20231012,000000,10.6,10.6,10.6,10.6,5614,0
MARX.US,D,20231013,000000,10.5404,10.58,10.5404,10.58,635,0
MARX.US,D,20231017,000000,10.5616,10.5616,10.53,10.53,1170,0
MARX.US,D,20231018,000000,10.53,10.53,10.53,10.53,30900,0
MARX.US,D,20231026,000000,10.595,10.595,10.54,10.54,351,0
MARX.US,D,20231031,000000,10.54,10.54,10.54,10.54,100,0
MARX.US,D,20231101,000000,10.545,10.545,10.545,10.545,96300,0
MARX.US,D,20231102,000000,10.55,10.55,10.55,10.55,217,0
MARX.US,D,20231103,000000,10.56,10.56,10.56,10.56,200,0
MARX.US,D,20231107,000000,10.56,10.56,10.56,10.56,2838,0
MARX.US,D,20231108,000000,10.57,10.57,10.57,10.57,2999,0
MARX.US,D,20231109,000000,10.57,10.57,10.57,10.57,150200,0
MARX.US,D,20231110,000000,10.57,10.57,10.57,10.57,3150,0
MARX.US,D,20231113,000000,10.58,10.58,10.575,10.58,9726,0
MARX.US,D,20231116,000000,10.58,10.5832,10.58,10.58,111029,0
MARX.US,D,20231117,000000,10.58,10.58,10.575,10.575,100051,0
MARX.US,D,20231121,000000,10.65,10.65,10.58,10.58,9062,0
MARX.US,D,20231122,000000,10.58,10.58,10.58,10.58,583,0
MARX.US,D,20231127,000000,10.57,10.59,10.57,10.58,10247,0
MARX.US,D,20231128,000000,10.58,10.58,10.58,10.58,10003,0
MARX.US,D,20231129,000000,10.58,10.58,10.58,10.58,6484,0
MARX.US,D,20231130,000000,10.58,10.58,10.58,10.58,4615,0
MARX.US,D,20231201,000000,10.58,10.58,10.58,10.58,4265,0
MARX.US,D,20231204,000000,10.58,10.58,10.58,10.58,13943,0
MARX.US,D,20231205,000000,10.6,10.6,10.59,10.6,41098,0
MARX.US,D,20231206,000000,10.6,10.6,10.6,10.6,4597,0
MARX.US,D,20231207,000000,10.595,10.6,10.59,10.59,4360,0
MARX.US,D,20231208,000000,10.59,10.59,10.59,10.59,3923,0
MARX.US,D,20231211,000000,10.59,10.62,10.59,10.62,3789,0
MARX.US,D,20231212,000000,10.59,10.59,10.59,10.59,3322,0
MARX.US,D,20231213,000000,10.6,10.6,10.6,10.6,3080,0
MARX.US,D,20231214,000000,10.6,10.6,10.6,10.6,3203,0
MARX.US,D,20231215,000000,10.61,10.61,10.6,10.6,3152,0
MARX.US,D,20231218,000000,10.6,10.6,10.6,10.6,9055,0
MARX.US,D,20231219,000000,10.6,10.6,10.6,10.6,3013,0
MARX.US,D,20231220,000000,10.61,10.61,10.6,10.6,3192,0
MARX.US,D,20231221,000000,10.61,10.75,10.6,10.75,326671,0
MARX.US,D,20231222,000000,10.63,10.67,10.6,10.61,23427,0
MARX.US,D,20231226,000000,10.61,10.61,10.61,10.61,13780,0
MARX.US,D,20231227,000000,10.7,10.7,10.61,10.61,13134,0
MARX.US,D,20231228,000000,10.62,10.6519,10.61,10.6519,10453,0
MARX.US,D,20231229,000000,10.64,10.64,10.63,10.63,8493,0
MARX.US,D,20240102,000000,10.65,10.65,10.64,10.64,8068,0
MARX.US,D,20240103,000000,10.66,10.66,10.65,10.655,10170,0
MARX.US,D,20240104,000000,10.65,10.66,10.65,10.66,7711,0
MARX.US,D,20240105,000000,10.65,10.66,10.65,10.65,6596,0
MARX.US,D,20240108,000000,10.65,10.66,10.65,10.66,6000,0
MARX.US,D,20240109,000000,10.65,10.66,10.64,10.66,6285,0
MARX.US,D,20240110,000000,10.65,10.66,10.65,10.66,6967,0
MARX.US,D,20240111,000000,10.65,10.65,10.65,10.65,4548,0
MARX.US,D,20240112,000000,10.7,10.7,10.7,10.7,161,0
MARX.US,D,20240116,000000,10.67,10.671,10.66,10.66,10330,0
MARX.US,D,20240117,000000,10.66,10.68,10.66,10.67,2819,0
MARX.US,D,20240118,000000,10.6699,10.68,10.6699,10.68,974717,0
MARX.US,D,20240119,000000,10.67,10.68,10.67,10.675,42913,0
MARX.US,D,20240122,000000,10.68,10.68,10.67,10.68,133713,0
MARX.US,D,20240123,000000,10.67,10.68,10.67,10.67,146259,0
MARX.US,D,20240124,000000,10.67,10.68,10.67,10.68,251046,0
MARX.US,D,20240125,000000,10.68,10.71,10.68,10.71,250318,0
MARX.US,D,20240126,000000,10.66,11,10.6599,10.7023,510140,0
MARX.US,D,20240129,000000,11.75,11.75,10.66,10.72,90287,0
MARX.US,D,20240130,000000,10.72,10.72,10.66,10.71,3137,0
MARX.US,D,20240131,000000,10.66,11,10.63,10.68,2998,0
MARX.US,D,20240201,000000,10.71,11.59,10.63,10.64,218585,0
MARX.US,D,20240202,000000,10.63,10.64,10.62,10.63,174091,0
MARX.US,D,20240205,000000,10.63,10.66,10.63,10.63,59946,0
