<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MARXR.US,D,20230315,000000,0.22,0.22,0.2,0.2,6500,0
MARXR.US,D,20230316,000000,0.2,0.2,0.19,0.2,301600,0
MARXR.US,D,20230317,000000,0.2,0.2,0.19,0.19,136500,0
MARXR.US,D,20230320,000000,0.19,0.2,0.19,0.19,78588,0
MARXR.US,D,20230321,000000,0.2,0.2,0.18,0.19,674795,0
MARXR.US,D,20230322,000000,0.19,0.2,0.1799,0.2,189115,0
MARXR.US,D,20230324,000000,0.19,0.2,0.17,0.2,351357,0
MARXR.US,D,20230328,000000,0.2,0.2,0.2,0.2,2500,0
MARXR.US,D,20230329,000000,0.18,0.18,0.18,0.18,250,0
MARXR.US,D,20230330,000000,0.19,0.19,0.19,0.19,25000,0
MARXR.US,D,20230331,000000,0.2,0.2,0.2,0.2,5000,0
MARXR.US,D,20230404,000000,0.151,0.17,0.15,0.17,210000,0
MARXR.US,D,20230405,000000,0.17,0.17,0.17,0.17,175000,0
MARXR.US,D,20230410,000000,0.1659,0.19,0.1659,0.19,5100,0
MARXR.US,D,20230411,000000,0.17,0.19,0.17,0.1701,10387,0
MARXR.US,D,20230412,000000,0.17,0.17,0.17,0.17,1764,0
MARXR.US,D,20230421,000000,0.17,0.17,0.17,0.17,3150,0
MARXR.US,D,20230426,000000,0.1801,0.1801,0.1801,0.1801,27100,0
MARXR.US,D,20230427,000000,0.22,0.22,0.22,0.22,575,0
MARXR.US,D,20230428,000000,0.22,0.22,0.22,0.22,1039,0
MARXR.US,D,20230505,000000,0.1801,0.1801,0.1801,0.1801,2002,0
MARXR.US,D,20230509,000000,0.1801,0.1801,0.18,0.18,42780,0
MARXR.US,D,20230510,000000,0.1601,0.1601,0.1601,0.1601,100,0
MARXR.US,D,20230511,000000,0.16,0.16,0.16,0.16,1000,0
MARXR.US,D,20230512,000000,0.1601,0.1601,0.1601,0.1601,102,0
MARXR.US,D,20230515,000000,0.155,0.155,0.145,0.145,20101,0
MARXR.US,D,20230517,000000,0.1601,0.1601,0.1601,0.1601,328,0
MARXR.US,D,20230518,000000,0.23,0.23,0.23,0.23,200,0
MARXR.US,D,20230519,000000,0.1801,0.1801,0.1793,0.1801,3088,0
MARXR.US,D,20230522,000000,0.1801,0.1801,0.1793,0.1801,3144,0
MARXR.US,D,20230523,000000,0.1801,0.1801,0.18,0.18,1000,0
MARXR.US,D,20230524,000000,0.1801,0.1801,0.1801,0.1801,1357,0
MARXR.US,D,20230526,000000,0.24,0.24,0.24,0.24,1816,0
MARXR.US,D,20230530,000000,0.204,0.204,0.204,0.204,2000,0
MARXR.US,D,20230607,000000,0.2468,0.2468,0.19,0.19,2018,0
MARXR.US,D,20230614,000000,0.24,0.24,0.24,0.24,200,0
MARXR.US,D,20230630,000000,0.2498,0.2498,0.2498,0.2498,3000,0
MARXR.US,D,20230706,000000,0.24,0.24,0.191,0.195,94500,0
MARXR.US,D,20230707,000000,0.2351,0.2398,0.1843,0.1901,14360,0
MARXR.US,D,20230714,000000,0.1835,0.196401,0.175,0.196401,6612,0
MARXR.US,D,20230811,000000,0.188,0.2075,0.1879,0.2075,2762,0
MARXR.US,D,20230823,000000,0.206,0.206,0.2059,0.206,311,0
MARXR.US,D,20230824,000000,0.23,0.23,0.23,0.23,20155,0
MARXR.US,D,20230828,000000,0.23,0.23,0.23,0.23,9746,0
MARXR.US,D,20230830,000000,0.2008,0.2066,0.2,0.2001,30000,0
MARXR.US,D,20230905,000000,0.281,0.3413,0.281,0.281,125065,0
MARXR.US,D,20230906,000000,0.2903,0.296,0.280101,0.296,450,0
MARXR.US,D,20230907,000000,0.276,0.276,0.27,0.27,1084,0
MARXR.US,D,20230908,000000,0.2478,0.2826,0.24,0.28,1375,0
MARXR.US,D,20230911,000000,0.28,0.28,0.28,0.28,665,0
MARXR.US,D,20230913,000000,0.2536,0.2536,0.2461,0.2506,2300,0
MARXR.US,D,20230914,000000,0.268,0.28,0.268,0.2794,9100,0
MARXR.US,D,20230915,000000,0.27,0.28,0.27,0.28,202,0
MARXR.US,D,20230918,000000,0.28,0.28,0.28,0.28,25050,0
MARXR.US,D,20230919,000000,0.2516,0.2699,0.1601,0.2699,11901,0
MARXR.US,D,20230920,000000,0.2591,0.2591,0.2192,0.245,360,0
MARXR.US,D,20230921,000000,0.2646,0.28,0.247,0.247,40572,0
MARXR.US,D,20230926,000000,0.2262,0.2599,0.2262,0.2599,1611,0
MARXR.US,D,20230927,000000,0.2475,0.2725,0.227,0.2725,13262,0
MARXR.US,D,20231003,000000,0.27,0.27,0.27,0.27,50100,0
MARXR.US,D,20231011,000000,0.222,0.2679,0.2151,0.2346,1778,0
MARXR.US,D,20231012,000000,0.23,0.27,0.23,0.27,698,0
MARXR.US,D,20231013,000000,0.275,0.28,0.2151,0.28,500984,0
MARXR.US,D,20231016,000000,0.28,0.28,0.28,0.28,100,0
MARXR.US,D,20231018,000000,0.28,0.2801,0.28,0.28,901,0
MARXR.US,D,20231023,000000,0.27,0.28,0.25,0.28,65540,0
MARXR.US,D,20231031,000000,0.2,0.2299,0.2,0.2299,600,0
MARXR.US,D,20231106,000000,0.188,0.23,0.1801,0.2201,7500,0
MARXR.US,D,20231107,000000,0.23,0.2388,0.228,0.2388,25300,0
MARXR.US,D,20231108,000000,0.236,0.24,0.236,0.24,1503,0
MARXR.US,D,20231109,000000,0.2201,0.2201,0.22,0.22,9300,0
MARXR.US,D,20231115,000000,0.228,0.24,0.228,0.24,1700,0
MARXR.US,D,20231122,000000,0.2,0.2,0.1919,0.1919,443,0
MARXR.US,D,20231128,000000,0.2,0.2025,0.2,0.2025,21757,0
MARXR.US,D,20231129,000000,0.19,0.19,0.18,0.18,2965,0
MARXR.US,D,20231201,000000,0.1801,0.1801,0.1801,0.1801,29600,0
MARXR.US,D,20231205,000000,0.18,0.21,0.18,0.2006,65062,0
MARXR.US,D,20231206,000000,0.1808,0.2093,0.18,0.2093,7400,0
MARXR.US,D,20231207,000000,0.2,0.2246,0.2,0.2246,11881,0
MARXR.US,D,20231213,000000,0.23,0.23,0.23,0.23,100,0
MARXR.US,D,20231219,000000,0.17,0.2,0.16,0.2,25874,0
MARXR.US,D,20231220,000000,0.2,0.2,0.2,0.2,100,0
MARXR.US,D,20231222,000000,0.2,0.2146,0.15,0.2146,5793,0
