<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MASK.US,D,20250108,000000,3.85,3.99,3.25,3.25,544300,0
MASK.US,D,20250110,000000,3.29,3.38,2.82,2.83,128332,0
MASK.US,D,20250113,000000,2.88,3.0999,2.7,2.76,40816,0
MASK.US,D,20250114,000000,2.8001,2.91,2.72,2.739,32859,0
MASK.US,D,20250115,000000,2.7668,2.7714,2.5,2.5,74560,0
MASK.US,D,20250116,000000,2.55,2.8,2.54,2.61,33839,0
MASK.US,D,20250117,000000,2.69,2.85,2.61,2.76,31844,0
MASK.US,D,20250121,000000,2.82,3.05,2.675,2.819,393708,0
MASK.US,D,20250122,000000,2.8824,3.1,2.7,2.83,363314,0
MASK.US,D,20250123,000000,2.79,3.03,2.77,2.93,268741,0
MASK.US,D,20250124,000000,2.8496,3,2.81,2.89,105811,0
MASK.US,D,20250127,000000,2.8,2.9796,2.73,2.8898,30973,0
MASK.US,D,20250128,000000,2.9,2.9,2.6501,2.66,15113,0
MASK.US,D,20250129,000000,2.73,2.83,2.7,2.82,43905,0
MASK.US,D,20250130,000000,2.7415,2.922,2.7415,2.91,45249,0
MASK.US,D,20250131,000000,2.876,3.0729,2.7598,2.86,189641,0
MASK.US,D,20250203,000000,2.8,2.9885,2.78,2.87,28700,0
MASK.US,D,20250204,000000,2.71,2.902,2.65,2.81,76711,0
MASK.US,D,20250205,000000,2.85,2.85,2.6,2.805,33144,0
MASK.US,D,20250206,000000,2.55,2.8,2.55,2.71,11718,0
MASK.US,D,20250207,000000,2.65,2.76,2.61,2.65,28832,0
MASK.US,D,20250210,000000,2.66,2.72,2.59,2.64,22919,0
MASK.US,D,20250211,000000,2.65,2.8049,2.63,2.63,4666,0
MASK.US,D,20250212,000000,2.73,3.07,2.65,2.8,87607,0
MASK.US,D,20250213,000000,2.81,2.97,2.81,2.97,27909,0
