<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MAYS.US,D,20240910,000000,43.5,43.5,43.5,43.5,284,0
MAYS.US,D,20240918,000000,43.5,43.5,43.5,43.5,126,0
MAYS.US,D,20240920,000000,45.98,45.98,45.98,45.98,624,0
MAYS.US,D,20241010,000000,44.5,44.5,44.5,44.5,108,0
MAYS.US,D,20241016,000000,43.5,43.5,43.5,43.5,1065,0
MAYS.US,D,20241017,000000,43.525,43.525,43.5,43.5,203,0
MAYS.US,D,20241028,000000,43.19,45.205,42,44.0194,3039,0
MAYS.US,D,20241031,000000,43.9327,46,42,44.2,4579,0
MAYS.US,D,20241104,000000,43.9375,44.7175,43.8937,43.93,2263,0
MAYS.US,D,20241105,000000,44.48,44.48,42.34,42.34,4230,0
MAYS.US,D,20241111,000000,42.15,42.15,42.15,42.15,319,0
MAYS.US,D,20241120,000000,44,44,42.0001,42.0001,1405,0
MAYS.US,D,20241209,000000,43.95,43.95,43.95,43.95,342,0
MAYS.US,D,20241210,000000,43.8,44,43.391,44,2735,0
MAYS.US,D,20241211,000000,43.8517,43.9999,42.85,43.5,1110,0
MAYS.US,D,20241212,000000,43.5,43.5001,43,43,4734,0
MAYS.US,D,20241213,000000,43.5,43.5,43.5,43.5,142,0
MAYS.US,D,20241220,000000,43.3695,43.5,43,43.5,652,0
MAYS.US,D,20241223,000000,43.97,44,43.96,44,860,0
MAYS.US,D,20241231,000000,45.2699,45.2699,44.0125,44.0125,397,0
MAYS.US,D,20250103,000000,44.05,44.05,44,44,918,0
MAYS.US,D,20250127,000000,42.52,42.55,42.49,42.49,2152,0
MAYS.US,D,20250128,000000,41.5,41.5,41.5,41.5,9982,0
MAYS.US,D,20250207,000000,40,40.04,40,40,2106,0
MAYS.US,D,20250210,000000,40.125,40.125,39.99,39.99,290,0
