<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MAZE.US,D,20250131,000000,16.12,17,15.25,15.95,1590822,0
MAZE.US,D,20250203,000000,15.9,16.0918,14.15,15,572323,0
MAZE.US,D,20250204,000000,14.94,15.395,13.01,13.25,730221,0
MAZE.US,D,20250205,000000,13.07,13.5,11.86,12.83,335045,0
MAZE.US,D,20250206,000000,12.82,13,11.3416,13,863646,0
MAZE.US,D,20250207,000000,12.56,14.32,12.56,13.38,312545,0
MAZE.US,D,20250210,000000,13.12,14.175,12.64,12.96,269079,0
MAZE.US,D,20250211,000000,12.77,12.97,12.32,12.47,158500,0
MAZE.US,D,20250212,000000,12.32,12.99,11.8,11.98,264272,0
MAZE.US,D,20250213,000000,11.86,11.86,10.92,11.32,338201,0
