<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MCTR.US,D,20250122,000000,4,4.44,4,4.33,2359859,0
MCTR.US,D,20250123,000000,5.09,12,4.43,6.79,8871744,0
MCTR.US,D,20250124,000000,5.4,5.9999,4.88,5.305,415869,0
MCTR.US,D,20250127,000000,4.74,5,4.2801,4.41,136569,0
MCTR.US,D,20250128,000000,4.84,5.12,4.2101,5,38307,0
MCTR.US,D,20250129,000000,5.32,5.9,4.8,5.37,171608,0
MCTR.US,D,20250130,000000,5.69,6.15,4.78,5.41,436259,0
MCTR.US,D,20250131,000000,5.4,5.6,5.01,5.2,99791,0
MCTR.US,D,20250203,000000,5,5.5782,4.8501,4.86,32752,0
MCTR.US,D,20250204,000000,4.7742,5.2,4.61,4.61,98527,0
MCTR.US,D,20250205,000000,4.6025,4.69,4.3202,4.4,64601,0
MCTR.US,D,20250206,000000,4.24,4.64,4.2,4.25,143499,0
MCTR.US,D,20250207,000000,4.18,4.3499,3.81,4,76529,0
MCTR.US,D,20250210,000000,3.8,4.4,3.7592,4.24,45156,0
MCTR.US,D,20250211,000000,4.49,4.55,4.26,4.41,18423,0
MCTR.US,D,20250212,000000,4.32,4.53,4.31,4.41,14634,0
MCTR.US,D,20250213,000000,4.52,4.8,4.44,4.62,56199,0
