<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MGOL.US,D,20230113,000000,86,166.1,42.9,46.5,1443100,0
MGOL.US,D,20230117,000000,54.1,67,46.4,49,1605570,0
MGOL.US,D,20230118,000000,46.4,48.9,37,37,366670,0
MGOL.US,D,20230119,000000,34.6,41,33.1,39.3,300920,0
MGOL.US,D,20230120,000000,35.5,38.02,34,34.4,134650,0
MGOL.US,D,20230123,000000,35.5,36.5,32.5,32.8,117031,0
MGOL.US,D,20230124,000000,32,32.5,28.5,28.5,183173.5,0
MGOL.US,D,20230125,000000,28,31.3,27.1,27.8,246350.6,0
MGOL.US,D,20230126,000000,28.2,29.2,26.8,27,89331.6,0
MGOL.US,D,20230127,000000,26.9,28.5,25.5,25.7,116514.9,0
MGOL.US,D,20230130,000000,25.7,25.893,23.5,23.8,83000.7,0
MGOL.US,D,20230131,000000,23.5,24.4,22.6,24,90687.7,0
MGOL.US,D,20230201,000000,26,27.3,24,26.9,158168.6,0
MGOL.US,D,20230202,000000,30,30,25.8,26.6,389171.2,0
MGOL.US,D,20230203,000000,25.2,26,24.2,24.4,52231.8,0
MGOL.US,D,20230206,000000,23.9,25,23.1,23.3,62336.6,0
MGOL.US,D,20230207,000000,22.8,23.3,21.2,21.5,57950.5,0
MGOL.US,D,20230208,000000,21.2,21.5,19.1,19.7,71999,0
MGOL.US,D,20230209,000000,21,22,19.3,19.9,81090.8,0
MGOL.US,D,20230210,000000,19.5,19.5,17.7,18.4,58257.5,0
MGOL.US,D,20230213,000000,18.1,19.3,17.5,19.1,33107.5,0
MGOL.US,D,20230214,000000,18.7,19.5,18.1,18.5,17724.4,0
MGOL.US,D,20230215,000000,18.4,20.1,17.8,19.9,50260.6,0
MGOL.US,D,20230216,000000,19.2,22.7,18.8,21.9,142459.4,0
MGOL.US,D,20230217,000000,22,22.091,19.5,19.7,45039,0
MGOL.US,D,20230221,000000,19.4,20.5,18.2,18.35,38870.1,0
MGOL.US,D,20230222,000000,18.3,20.4,18.3,19.1,49587.2,0
MGOL.US,D,20230223,000000,19.6,26.89,19,21,570614.2,0
MGOL.US,D,20230224,000000,21,21,18.5,18.6,70179.8,0
MGOL.US,D,20230227,000000,19.5,20.799,19.1,20.1,53825.2,0
MGOL.US,D,20230228,000000,20,20.4,18.4,18.7,46008.7,0
MGOL.US,D,20230301,000000,18.9,19.1,18.1,18.5,20575.3,0
MGOL.US,D,20230302,000000,18.2,19.4,18.117,18.9,17788.6,0
MGOL.US,D,20230303,000000,18.9,19.6,18.5,19.4,13162.1,0
MGOL.US,D,20230306,000000,19.5,19.599,18.5,18.7,15154.5,0
MGOL.US,D,20230307,000000,18.737,19.7,18.2,18.878,17594.4,0
MGOL.US,D,20230308,000000,18.6,18.9,18.3,18.5,8784.4,0
MGOL.US,D,20230309,000000,18.4,18.8,17,17.4,16124,0
MGOL.US,D,20230310,000000,16.7,16.8,14,15,50983.4,0
MGOL.US,D,20230313,000000,14.2,14.7,13.7,13.95,22330.6,0
MGOL.US,D,20230314,000000,13.9,15.6,13.9,14.3,17527,0
MGOL.US,D,20230315,000000,13.8,13.877,12.7,12.8,25690.8,0
MGOL.US,D,20230316,000000,13,13.3,12.201,12.6,14432.5,0
MGOL.US,D,20230317,000000,13,13.1,12.1,12.1,16083.4,0
MGOL.US,D,20230320,000000,12.05,12.05,9.4,9.59,58756.1,0
MGOL.US,D,20230321,000000,9.7,10.499,9.7,10,39050.4,0
MGOL.US,D,20230322,000000,10.3,10.3,9.8,9.848,11330.7,0
MGOL.US,D,20230323,000000,10.001,10.3,9.805,10.1,11469.9,0
MGOL.US,D,20230324,000000,10.2,10.2,10.025,10.2,4778.9,0
MGOL.US,D,20230327,000000,10.206,10.3,10,10.281,6521.6,0
MGOL.US,D,20230328,000000,10.4,15.076,10.1,13.6,537148.3,0
MGOL.US,D,20230329,000000,14,14,11.4,11.9,63185.6,0
MGOL.US,D,20230330,000000,11.9,14.3,11.5,13.401,57991.2,0
MGOL.US,D,20230331,000000,13.1,15.102,12.901,14.601,47331.4,0
MGOL.US,D,20230403,000000,15.2,17.899,14.45,17.1,104694.4,0
MGOL.US,D,20230404,000000,17.1,17.1,11.3,11.9,66130.1,0
MGOL.US,D,20230405,000000,12.2,12.2,9.865,10.1,41744.1,0
MGOL.US,D,20230406,000000,10.2,10.9,10,10.3,97178.9,0
MGOL.US,D,20230410,000000,10,10.3,9.601,9.71,27195.2,0
MGOL.US,D,20230411,000000,9.637,10.8,9.61,10.519,29516.5,0
MGOL.US,D,20230412,000000,10.5,10.8,9.81,9.925,11857.8,0
MGOL.US,D,20230413,000000,10.1,10.7,9.82,10.6,12883.8,0
MGOL.US,D,20230414,000000,10.2,10.8,10.1,10.469,7518.8,0
MGOL.US,D,20230417,000000,10.3,10.7,10.2,10.42,6750.3,0
MGOL.US,D,20230418,000000,10.2,10.5,10.101,10.3,9269.5,0
MGOL.US,D,20230419,000000,9.996,10.4,9.65,9.965,9305.6,0
MGOL.US,D,20230420,000000,9.666,9.999,9.2,9.4,14991,0
MGOL.US,D,20230421,000000,9.75,12.1,9.75,11.6,444896.7,0
MGOL.US,D,20230424,000000,10.8,11.2,10.1,10.25,76163.8,0
MGOL.US,D,20230425,000000,11.1,11.299,9.4,10.4,115149.8,0
MGOL.US,D,20230426,000000,10.1,10.6,9.901,10.2,17443.9,0
MGOL.US,D,20230427,000000,10.2,10.6,9.842,10.3,14034,0
MGOL.US,D,20230428,000000,10.4,11.5,10.4,10.934,43319.6,0
MGOL.US,D,20230501,000000,11,11.4,10.8,10.9,15065.8,0
MGOL.US,D,20230502,000000,10.6,11.5,10,11.1,38625.9,0
MGOL.US,D,20230503,000000,11.5,11.9,10.485,11.7,27671.1,0
MGOL.US,D,20230504,000000,11.9,12.299,11.4,11.7,14068.2,0
MGOL.US,D,20230505,000000,11.8,11.8,11.2,11.8,7937.7,0
MGOL.US,D,20230508,000000,11.5,11.582,10.4,10.9,10911.1,0
MGOL.US,D,20230509,000000,11.3,11.4,10.4,10.9,4836.3,0
MGOL.US,D,20230510,000000,11.8,13.4,11.4,12.4,108560.6,0
MGOL.US,D,20230511,000000,12.3,12.301,11.1,11.7,21803.7,0
MGOL.US,D,20230512,000000,11.4,12,11.2,12,9321.8,0
MGOL.US,D,20230515,000000,15.6,17.4,13.6,15.6,1704601.2,0
MGOL.US,D,20230516,000000,13.4,13.7,12.2,12.8,131440.4,0
MGOL.US,D,20230517,000000,11.4,13,11.1,13,81420.4,0
MGOL.US,D,20230518,000000,12.6,12.6,11.4,12.15,18823.4,0
MGOL.US,D,20230519,000000,11.9,12,11.401,12,11913.8,0
MGOL.US,D,20230522,000000,11.6,12,11.4,11.501,12254.6,0
MGOL.US,D,20230523,000000,11.4,11.8,11,11.222,10096.9,0
MGOL.US,D,20230524,000000,11,11.2,10.4,11.2,12769.4,0
MGOL.US,D,20230525,000000,11,11.2,10.5,10.8,7575.4,0
MGOL.US,D,20230526,000000,10.5,11,10.3,10.6,11270.4,0
MGOL.US,D,20230530,000000,10.5,10.9,10,10.3,20381.2,0
MGOL.US,D,20230531,000000,10,10.7,10,10.4,11278,0
MGOL.US,D,20230601,000000,10,13,10,10.7,190885.6,0
MGOL.US,D,20230602,000000,10.7,11.6,10.7,11.4,51789.9,0
MGOL.US,D,20230605,000000,11.6,11.6,11.073,11.5,17761.6,0
MGOL.US,D,20230606,000000,11.8,12.5,11.35,12.5,27309,0
MGOL.US,D,20230607,000000,12.9,24.4,12.6,23.1,3411965.3,0
MGOL.US,D,20230608,000000,24.7,27.65,18.3,19.6,1512170.5,0
MGOL.US,D,20230609,000000,18.3,27.1,17.097,22.9,1752514.4,0
MGOL.US,D,20230612,000000,22.5,26.3,20.2,20.2,685996.6,0
MGOL.US,D,20230613,000000,20.4,23.093,19.3,21.5,155163.3,0
MGOL.US,D,20230614,000000,21.5,24.3,19.5,21.1,174273.2,0
MGOL.US,D,20230615,000000,20.3,22.4,19.7,21.4,104478,0
MGOL.US,D,20230616,000000,22,22,20.3,21,68659.3,0
MGOL.US,D,20230620,000000,21.3,28.4,20.6,26.4,1319448,0
MGOL.US,D,20230621,000000,25.2,27.79,22.712,26.5,259671.1,0
MGOL.US,D,20230622,000000,26,32.5,25.8,31.2,633745.5,0
MGOL.US,D,20230623,000000,30.6,32.5,27,28,163184.6,0
MGOL.US,D,20230626,000000,29.2,30.8,27.3,27.5,100817.6,0
MGOL.US,D,20230627,000000,27.6,29.5,25.2,26.4,93461.8,0
MGOL.US,D,20230628,000000,27.7,28.2,26.101,27.1,45278.2,0
MGOL.US,D,20230629,000000,27.2,28.9,26.3,26.4,53927.6,0
MGOL.US,D,20230630,000000,26.5,27.19,20.8,22.3,120967,0
MGOL.US,D,20230703,000000,22.8,26.2,22.7,26.2,66832,0
MGOL.US,D,20230705,000000,26.2,28.6,25.2,25.8,59211.7,0
MGOL.US,D,20230706,000000,25.2,26.5,24.201,26.1,37562.4,0
MGOL.US,D,20230707,000000,26.1,26.8,23.4,25,47408,0
MGOL.US,D,20230710,000000,24.9,26.244,24.2,25.6,32910.7,0
MGOL.US,D,20230711,000000,25.3,27.8,25.1,27.4,54781.8,0
MGOL.US,D,20230712,000000,28.1,31.583,27,28.6,146856.1,0
MGOL.US,D,20230713,000000,28.9,30.5,26.5,27.4,100250,0
MGOL.US,D,20230714,000000,27.5,28.2,24.5,25.1,72299.2,0
MGOL.US,D,20230717,000000,26.5,26.8,22.3,23.3,122128.2,0
MGOL.US,D,20230718,000000,23,26.5,22.1,22.6,168838.1,0
MGOL.US,D,20230719,000000,22.6,23.5,22.3,22.6,32057.3,0
MGOL.US,D,20230720,000000,22.9,23.3,22.3,22.8,28142.8,0
MGOL.US,D,20230721,000000,23.3,23.684,21.6,22.9,134699.6,0
MGOL.US,D,20230724,000000,23.3,23.3,19.5,19.6,126450,0
MGOL.US,D,20230725,000000,19.2,20.2,18.6,18.9,39611.3,0
MGOL.US,D,20230726,000000,19.2,19.5,18.606,19.1,19813.2,0
MGOL.US,D,20230727,000000,19,19.45,17.9,17.9,21054.4,0
MGOL.US,D,20230728,000000,17.9,18.7,17.899,17.9,16695.9,0
MGOL.US,D,20230731,000000,18,18.75,17.5,18.1,19730.1,0
MGOL.US,D,20230801,000000,17.8,18.4,17.401,18.2,13860.5,0
MGOL.US,D,20230802,000000,17.7,18.1,17.3,17.5,13372.1,0
MGOL.US,D,20230803,000000,17.5,18.49,16.9,18.1,36961.9,0
MGOL.US,D,20230804,000000,18.8,18.8,17.9,18.2,7069.1,0
MGOL.US,D,20230807,000000,18.6,18.9,17.62,18.4,16691.8,0
MGOL.US,D,20230808,000000,18.9,20,17.8,19.4,33529.9,0
MGOL.US,D,20230809,000000,19.3,21.5,19.2,20.25,77938.7,0
MGOL.US,D,20230810,000000,21.5,22.192,20,21.6,37037,0
MGOL.US,D,20230811,000000,21.8,22.8,21,22.408,40748.6,0
MGOL.US,D,20230814,000000,23,23,20.8,22.6,119482.3,0
MGOL.US,D,20230815,000000,13.8,14.5,11.2,11.9,197517.7,0
MGOL.US,D,20230816,000000,11.8,12.1,11.5,11.8,34523.5,0
MGOL.US,D,20230817,000000,12.2,12.2,10.3,10.6,47882,0
MGOL.US,D,20230818,000000,10.2,11.5,10.2,10.7,33190.7,0
MGOL.US,D,20230821,000000,11.1,11.399,10.501,10.7,19920.3,0
MGOL.US,D,20230822,000000,11.1,11.4,10,10.4,21468.4,0
MGOL.US,D,20230823,000000,10.6,10.8,10.3,10.6,13397.6,0
MGOL.US,D,20230824,000000,10.7,10.701,10.1,10.2,11034.3,0
MGOL.US,D,20230825,000000,10.5,11.6,10.4,10.7,39266.5,0
MGOL.US,D,20230828,000000,11.2,11.289,10.4,10.8,12506.6,0
MGOL.US,D,20230829,000000,11,11.05,10.5,10.806,7478.2,0
MGOL.US,D,20230830,000000,11.1,11.1,10.6,10.9,6844.4,0
MGOL.US,D,20230831,000000,10.6,10.9,10.6,10.694,9096.3,0
MGOL.US,D,20230901,000000,10.6,11.89,10.4,10.6,48865.2,0
MGOL.US,D,20230905,000000,10.7,11,10.501,10.7,9773.2,0
MGOL.US,D,20230906,000000,10.5,10.799,10.1,10.2,15620.7,0
MGOL.US,D,20230907,000000,10.3,10.4,9.25,9.8,19830,0
