<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MIMI.US,D,20250110,000000,4.4,4.71,3.83,4.11,1558648,0
MIMI.US,D,20250113,000000,4.4,4.9,4.18,4.36,685088,0
MIMI.US,D,20250114,000000,4.4,4.7994,4.1009,4.385,189285,0
MIMI.US,D,20250115,000000,4.42,4.65,4.24,4.39,137271,0
MIMI.US,D,20250116,000000,4.46,4.55,4.28,4.43,96755,0
MIMI.US,D,20250117,000000,4.58,4.8,4.39,4.63,21689,0
MIMI.US,D,20250121,000000,4.88,4.88,4.499,4.5399,256446,0
MIMI.US,D,20250122,000000,4.56,4.7,4.45,4.56,74167,0
MIMI.US,D,20250123,000000,4.18,5.6,4.11,5.04,645835,0
MIMI.US,D,20250124,000000,4.89,5,4.71,5,53222,0
MIMI.US,D,20250127,000000,4.95,6.2,4.71,5.86,761585,0
MIMI.US,D,20250128,000000,5.91,6.84,5.74,6.62,101308,0
MIMI.US,D,20250129,000000,6.83,6.83,6.01,6.32,101277,0
MIMI.US,D,20250130,000000,6.3,6.61,5.32,5.56,87652,0
MIMI.US,D,20250131,000000,5.67,5.97,5.61,5.76,32316,0
MIMI.US,D,20250203,000000,5.93,6.26,5.61,5.98,77388,0
MIMI.US,D,20250204,000000,5.96,6.2,5.35,5.595,319664,0
MIMI.US,D,20250205,000000,5.81,5.906,4.8,5.15,102177,0
MIMI.US,D,20250206,000000,5.21,5.64,5.21,5.64,14562,0
MIMI.US,D,20250207,000000,5.11,5.5,5.02,5.46,4801,0
MIMI.US,D,20250210,000000,5.61,5.61,5.58,5.59,1112,0
MIMI.US,D,20250211,000000,5.59,5.6,5.32,5.43,12166,0
MIMI.US,D,20250212,000000,5.43,5.43,4.6523,4.92,51181,0
MIMI.US,D,20250213,000000,4.96,5.46,4.522,4.66,39968,0
