<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MITA.US,D,20210818,000000,9.9,9.9,9.6,9.73,11417,0
MITA.US,D,20210819,000000,9.7,9.81,9.65,9.8,2604,0
MITA.US,D,20210830,000000,9.64,9.68,9.64,9.68,284,0
MITA.US,D,20210901,000000,9.64,9.68,9.64,9.68,6732,0
MITA.US,D,20210907,000000,9.63,9.67,9.63,9.67,1710,0
MITA.US,D,20210910,000000,9.5701,9.62,9.5701,9.62,548,0
MITA.US,D,20210913,000000,9.62,9.69,9.61,9.69,2603,0
MITA.US,D,20210914,000000,9.64,9.65,9.63,9.64,9352,0
MITA.US,D,20210915,000000,9.65,9.65,9.65,9.65,1081,0
MITA.US,D,20210917,000000,9.645,9.645,9.645,9.645,192,0
MITA.US,D,20210920,000000,9.62,9.66,9.6,9.66,201071,0
MITA.US,D,20210921,000000,9.63,9.78,9.61,9.77,3610,0
MITA.US,D,20210927,000000,9.63,9.74,9.6,9.74,300205,0
MITA.US,D,20210928,000000,9.7,9.73,9.7,9.73,25907,0
MITA.US,D,20211004,000000,9.7,9.73,9.69,9.73,1323,0
MITA.US,D,20211006,000000,9.67,9.81,9.55,9.75,8301,0
MITA.US,D,20211007,000000,9.75,9.75,9.67,9.75,4423,0
MITA.US,D,20211008,000000,9.66,9.69,9.65,9.69,5767,0
MITA.US,D,20211011,000000,9.7,9.7,9.7,9.7,211,0
MITA.US,D,20211012,000000,9.69,9.7,9.69,9.7,390,0
MITA.US,D,20211015,000000,9.73,9.76,9.73,9.76,1214,0
MITA.US,D,20211025,000000,9.81,9.81,9.81,9.81,115,0
MITA.US,D,20211101,000000,9.66,9.81,9.66,9.81,424,0
MITA.US,D,20211103,000000,9.67,9.71,9.67,9.68,4856,0
MITA.US,D,20211110,000000,9.68,9.68,9.68,9.68,270,0
MITA.US,D,20211112,000000,9.69,9.7,9.69,9.7,869,0
MITA.US,D,20211116,000000,9.67,9.71,9.652,9.71,2445,0
MITA.US,D,20211118,000000,9.67,9.71,9.67,9.71,1248,0
MITA.US,D,20211119,000000,9.66,9.71,9.66,9.71,28555,0
MITA.US,D,20211122,000000,9.7,9.71,9.7,9.71,5885,0
MITA.US,D,20211123,000000,9.72,9.78,9.7,9.78,6593,0
MITA.US,D,20211124,000000,9.7,9.79,9.7,9.79,3407,0
MITA.US,D,20211126,000000,9.78,9.78,9.78,9.78,106,0
MITA.US,D,20211203,000000,9.7,9.72,9.7,9.72,20650,0
MITA.US,D,20211206,000000,9.72,9.72,9.67,9.72,48014,0
MITA.US,D,20211208,000000,9.7,9.72,9.69,9.72,12776,0
MITA.US,D,20211209,000000,9.69,9.72,9.67,9.72,683166,0
MITA.US,D,20211214,000000,9.69,9.7,9.69,9.7,4234,0
MITA.US,D,20211215,000000,9.72,9.72,9.72,9.72,889,0
MITA.US,D,20211216,000000,9.72,9.72,9.69,9.72,4915,0
MITA.US,D,20211217,000000,9.64,9.72,9.64,9.72,1023,0
MITA.US,D,20211222,000000,9.64,9.64,9.64,9.64,1938,0
MITA.US,D,20211227,000000,9.67,9.69,9.65,9.69,25605,0
MITA.US,D,20211228,000000,9.68,9.68,9.68,9.68,236,0
MITA.US,D,20211230,000000,9.63,9.72,9.63,9.72,1130,0
MITA.US,D,20220103,000000,9.72,9.72,9.72,9.72,331,0
MITA.US,D,20220105,000000,9.7,9.72,9.7,9.72,1699,0
MITA.US,D,20220106,000000,9.7,9.72,9.7,9.72,412,0
MITA.US,D,20220107,000000,9.72,9.72,9.72,9.72,1182,0
MITA.US,D,20220111,000000,9.72,9.72,9.72,9.72,2105,0
MITA.US,D,20220113,000000,9.67,9.67,9.635,9.65,95300,0
MITA.US,D,20220114,000000,9.65,9.65,9.625,9.63,24010,0
MITA.US,D,20220118,000000,9.64,9.66,9.62,9.66,8400,0
MITA.US,D,20220119,000000,9.63,9.63,9.63,9.63,475,0
MITA.US,D,20220120,000000,9.63,9.67,9.63,9.67,2645,0
MITA.US,D,20220121,000000,9.62,9.63,9.6,9.62,19566,0
MITA.US,D,20220124,000000,9.6,9.64,9.59,9.64,34814,0
MITA.US,D,20220125,000000,9.5,9.64,9.5,9.64,1420,0
MITA.US,D,20220127,000000,9.59,9.59,9.59,9.59,433,0
MITA.US,D,20220131,000000,9.63,9.63,9.63,9.63,1534,0
MITA.US,D,20220201,000000,9.64,9.68,9.62,9.62,4754,0
MITA.US,D,20220202,000000,9.5,9.71,9.5,9.7,16116,0
MITA.US,D,20220203,000000,9.7,9.7,9.7,9.7,1000,0
MITA.US,D,20220204,000000,9.7,9.7,9.7,9.7,200000,0
MITA.US,D,20220207,000000,9.7,9.72,9.65,9.7,37674,0
MITA.US,D,20220208,000000,9.67,9.72,9.65,9.72,50813,0
MITA.US,D,20220210,000000,9.7,9.74,9.7,9.7,1410,0
MITA.US,D,20220214,000000,9.72,9.74,9.72,9.74,375,0
MITA.US,D,20220216,000000,9.64,9.64,9.64,9.64,100,0
MITA.US,D,20220222,000000,9.63,9.63,9.63,9.63,135,0
MITA.US,D,20220223,000000,9.64,9.655,9.6,9.655,111945,0
MITA.US,D,20220224,000000,9.6378,9.6685,9.6056,9.6601,14277,0
MITA.US,D,20220225,000000,9.6282,9.65,9.61,9.62,17352,0
MITA.US,D,20220228,000000,9.6215,9.625,9.61,9.61,16609,0
MITA.US,D,20220301,000000,9.63,9.655,9.6,9.6,3602,0
MITA.US,D,20220302,000000,9.64,9.66,9.64,9.65,1601,0
MITA.US,D,20220303,000000,9.64,9.69,9.64,9.69,23611,0
MITA.US,D,20220304,000000,9.68,9.68,9.68,9.68,5000,0
MITA.US,D,20220307,000000,9.68,9.68,9.68,9.68,2100,0
MITA.US,D,20220308,000000,9.67,9.7,9.67,9.7,14200,0
MITA.US,D,20220309,000000,9.67,9.68,9.67,9.675,10725,0
MITA.US,D,20220310,000000,9.67,9.69,9.65,9.68,112569,0
MITA.US,D,20220311,000000,9.69,9.7,9.63,9.69,34547,0
MITA.US,D,20220314,000000,9.72,9.73,9.72,9.73,1812,0
MITA.US,D,20220316,000000,9.7,9.7,9.63,9.67,7700,0
MITA.US,D,20220317,000000,9.67,9.69,9.67,9.69,2743,0
MITA.US,D,20220318,000000,9.7,9.7,9.685,9.685,360,0
MITA.US,D,20220321,000000,9.7,9.7,9.68,9.68,3643,0
MITA.US,D,20220322,000000,9.84,9.84,9.84,9.84,302,0
MITA.US,D,20220330,000000,9.7,9.71,9.66,9.7,103537,0
MITA.US,D,20220331,000000,9.68,9.71,9.68,9.7,386722,0
MITA.US,D,20220401,000000,9.7,9.7,9.7,9.7,22034,0
MITA.US,D,20220405,000000,9.71,9.71,9.705,9.705,10471,0
MITA.US,D,20220406,000000,9.705,9.705,9.705,9.705,300,0
MITA.US,D,20220413,000000,9.69,9.72,9.68,9.72,3844,0
