<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MMVVF.US,D,20210610,000000,10.52,10.53,9.6875,9.6875,176655,0
MMVVF.US,D,20210611,000000,10.11,10.15,9.9,9.9,11864,0
MMVVF.US,D,20210614,000000,9.9,10,9.9,9.9,85526,0
MMVVF.US,D,20210615,000000,9.9,9.9,9.85,9.9,36939,0
MMVVF.US,D,20210616,000000,9.82,9.91,9.82,9.9,3224,0
MMVVF.US,D,20210617,000000,9.98,9.98,9.88,9.89,209999,0
MMVVF.US,D,20210618,000000,9.97,9.97,9.89,9.89,601,0
MMVVF.US,D,20210621,000000,9.97,9.97,9.88,9.88,14507,0
MMVVF.US,D,20210622,000000,9.89,9.89,9.88,9.89,4942,0
MMVVF.US,D,20210623,000000,9.85,9.85,9.85,9.85,2002,0
MMVVF.US,D,20210624,000000,9.89,9.89,9.8745,9.8745,2152,0
MMVVF.US,D,20210628,000000,9.87,9.87,9.87,9.87,600,0
MMVVF.US,D,20210629,000000,9.86,9.86,9.86,9.86,4001,0
MMVVF.US,D,20210701,000000,9.87,9.87,9.87,9.87,198253,0
MMVVF.US,D,20210707,000000,9.89,9.89,9.89,9.89,6815,0
MMVVF.US,D,20210708,000000,9.9,9.9,9.9,9.9,14755,0
MMVVF.US,D,20210709,000000,9.91,9.91,9.91,9.91,30100,0
MMVVF.US,D,20210713,000000,9.91,9.91,9.87,9.87,190339,0
MMVVF.US,D,20210714,000000,9.89,9.89,9.86,9.86,26801,0
MMVVF.US,D,20210719,000000,9.85,9.85,9.85,9.85,112,0
MMVVF.US,D,20210720,000000,9.86,9.875,9.85,9.85,50214,0
MMVVF.US,D,20210721,000000,9.85,9.86,9.84,9.85,97885,0
MMVVF.US,D,20210722,000000,9.86,9.875,9.8495,9.85,12006,0
MMVVF.US,D,20210723,000000,9.85,9.85,9.85,9.85,1902,0
MMVVF.US,D,20210726,000000,9.85,9.85,9.85,9.85,7100,0
MMVVF.US,D,20210727,000000,9.89,9.89,9.82,9.82,60588,0
MMVVF.US,D,20210728,000000,9.83,9.83,9.82,9.83,52010,0
MMVVF.US,D,20210729,000000,9.83,9.83,9.829,9.83,69775,0
MMVVF.US,D,20210730,000000,9.84,9.85,9.8296,9.83,70443,0
MMVVF.US,D,20210802,000000,9.84,9.84,9.82,9.82,134269,0
MMVVF.US,D,20210804,000000,9.89,9.89,9.89,9.89,102,0
MMVVF.US,D,20210805,000000,9.9,9.9,9.82,9.9,1477,0
MMVVF.US,D,20210806,000000,9.89,9.89,9.81,9.89,1302,0
MMVVF.US,D,20210809,000000,9.8641,9.99,9.81,9.93,87912,0
MMVVF.US,D,20210810,000000,9.8499,9.96,9.8499,9.95,78405,0
MMVVF.US,D,20210811,000000,9.9225,9.94,9.9,9.94,25376,0
MMVVF.US,D,20210812,000000,9.91,9.93,9.88,9.92,29518,0
MMVVF.US,D,20210813,000000,9.9167,9.94,9.91,9.93,27651,0
MMVVF.US,D,20210816,000000,9.93,9.94,9.91,9.94,16143,0
MMVVF.US,D,20210817,000000,9.91,9.92,9.89,9.9,19385,0
MMVVF.US,D,20210818,000000,9.91,9.91,9.87,9.88,12106,0
MMVVF.US,D,20210819,000000,9.88,9.9,9.87,9.885,5907,0
MMVVF.US,D,20210820,000000,9.885,9.9,9.87,9.9,3036,0
MMVVF.US,D,20210823,000000,9.885,9.9,9.87,9.87,1600,0
MMVVF.US,D,20210824,000000,9.86,9.88,9.86,9.88,11024,0
MMVVF.US,D,20210826,000000,9.868,9.9,9.868,9.89,23889,0
MMVVF.US,D,20210830,000000,9.89,9.89,9.89,9.89,1517,0
MMVVF.US,D,20210901,000000,9.8728,9.915,9.87,9.9,8300,0
MMVVF.US,D,20210902,000000,9.9,9.9,9.9,9.9,1553,0
MMVVF.US,D,20210903,000000,9.9,9.9,9.9,9.9,5102,0
MMVVF.US,D,20210908,000000,9.905,9.905,9.9,9.9,580,0
MMVVF.US,D,20210909,000000,9.91,9.91,9.91,9.91,5024,0
MMVVF.US,D,20210910,000000,9.93,9.93,9.9074,9.93,3310,0
MMVVF.US,D,20210913,000000,9.91,9.93,9.91,9.925,8845,0
MMVVF.US,D,20210914,000000,9.93,9.945,9.92,9.94,24724,0
MMVVF.US,D,20210915,000000,9.94,9.94,9.94,9.94,55000,0
MMVVF.US,D,20210917,000000,9.95,9.95,9.95,9.95,4618,0
MMVVF.US,D,20210920,000000,9.93,9.93,9.93,9.93,15000,0
MMVVF.US,D,20210921,000000,9.93,9.95,9.9,9.95,59053,0
MMVVF.US,D,20210922,000000,9.93,9.95,9.93,9.95,15638,0
MMVVF.US,D,20210923,000000,9.93,9.93,9.93,9.93,1049,0
MMVVF.US,D,20210924,000000,9.94,9.945,9.91,9.945,8305,0
MMVVF.US,D,20210927,000000,9.94,9.94,9.94,9.94,5900,0
MMVVF.US,D,20210928,000000,9.93,9.95,9.93,9.95,18205,0
MMVVF.US,D,20210929,000000,9.95,9.97,9.9391,9.97,29040,0
MMVVF.US,D,20210930,000000,9.97,9.99,9.97,9.98,8599,0
