<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MTEM.US,D,20050225,000000,6929.65,7117.74,6929.65,6969.25,19.3343,0
MTEM.US,D,20050228,000000,7177.14,7177.14,6919.75,6929.65,24.267879999999998,0
MTEM.US,D,20050301,000000,6929.65,7127.64,6929.65,6929.65,33.20166,0
MTEM.US,D,20050302,000000,6929.65,7018.75,6929.65,6929.65,38.135239999999996,0
MTEM.US,D,20050303,000000,7127.64,7127.64,6781.16,6890.06,79.40396999999999,0
MTEM.US,D,20050304,000000,7226.64,7226.64,6751.46,6822.41,112.33894999999998,0
MTEM.US,D,20050307,000000,6781.16,6939.55,6444.58,6553.47,30.268179999999997,0
MTEM.US,D,20050308,000000,6434.68,6444.58,5692.22,6157.49,29.46814,0
MTEM.US,D,20050309,000000,5999.1,6117.89,5712.01,5900.1,53.53601,0
MTEM.US,D,20050310,000000,5890.21,5929.8,5494.23,5672.42,46.402319999999996,0
MTEM.US,D,20050311,000000,5741.71,6088.2,5345.73,5474.43,46.93568,0
MTEM.US,D,20050314,000000,5464.53,5939.7,5316.03,5741.71,39.60198,0
MTEM.US,D,20050315,000000,6068.4,6068.4,5860.51,5939.7,62.13643999999999,0
MTEM.US,D,20050316,000000,6068.4,6137.69,5860.51,5999.1,102.67179999999999,0
MTEM.US,D,20050317,000000,6137.69,6137.69,5553.62,5939.7,44.80224,0
MTEM.US,D,20050318,000000,5840.71,5939.7,5553.62,5820.91,79.67065,0
MTEM.US,D,20050321,000000,6434.68,6434.68,5494.23,5801.11,49.73582,0
MTEM.US,D,20050322,000000,5642.72,6088.2,5543.72,5850.61,33.20166,0
MTEM.US,D,20050323,000000,6137.69,6137.69,5761.51,5939.7,14.667399999999999,0
MTEM.US,D,20050324,000000,6068.4,6086.55,5721.91,5919.9,44.60223,0
MTEM.US,D,20050328,000000,5939.7,6086.55,5811.01,5939.7,42.40212,0
MTEM.US,D,20050329,000000,6038.7,6721.76,5741.71,6701.96,65.26992999999999,0
MTEM.US,D,20050330,000000,6682.17,7117.74,6434.68,6969.25,46.869009999999996,0
MTEM.US,D,20050331,000000,7127.64,7157.34,5870.41,5929.8,302.54846,0
MTEM.US,D,20050401,000000,5919.9,6216.89,5444.73,5811.01,140.00699999999998,0
MTEM.US,D,20050404,000000,5900.1,6187.19,5741.71,5870.41,16.40082,0
MTEM.US,D,20050405,000000,5939.7,5939.7,5543.72,5939.7,53.13598999999999,0
MTEM.US,D,20050406,000000,6513.87,7622.62,6107.99,6612.87,412.22060999999997,0
