<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MTSR.US,D,20250131,000000,25.5,28.87,25.5,26.5,4476344,0
MTSR.US,D,20250203,000000,26.955,30.02,25.06,27.8,920528,0
MTSR.US,D,20250204,000000,28.16,28.759,27.02,28.01,608435,0
MTSR.US,D,20250205,000000,27.73,29.265,27.73,29.25,857433,0
MTSR.US,D,20250206,000000,29.25,30,28.0885,29.53,2260137,0
MTSR.US,D,20250207,000000,28.89,30.26,28.77,29.5,383931,0
MTSR.US,D,20250210,000000,29.6,31.64,29,30.08,167054,0
MTSR.US,D,20250211,000000,29.77,31.16,29.655,30.76,166958,0
MTSR.US,D,20250212,000000,30.96,31.78,30.8,31.65,267612,0
MTSR.US,D,20250213,000000,32.01,32.0485,29.2,30.03,460405,0
