<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MULL.US,D,20241114,000000,20.95,20.95,20.62,20.6402,3288,0
MULL.US,D,20241115,000000,19.49,19.49,19.37,19.4888,299,0
MULL.US,D,20241118,000000,19.47,19.969,19.47,19.9078,1694,0
MULL.US,D,20241119,000000,19.65,20.03,19.65,19.9973,1336,0
MULL.US,D,20241120,000000,20.05,20.232,19.52,20.2099,4202,0
MULL.US,D,20241121,000000,21.199,22.1837,21.17,22.0588,5020,0
MULL.US,D,20241122,000000,21.99,22.1392,21.831,21.9579,3648,0
MULL.US,D,20241125,000000,22.44,23.3611,22.44,22.7482,5486,0
MULL.US,D,20241126,000000,21.45,21.5152,20.98,21.5152,3111,0
MULL.US,D,20241127,000000,20.8,20.8,19.67,20.0402,5272,0
MULL.US,D,20241129,000000,19.805,19.9036,19.75,19.9036,1042,0
MULL.US,D,20241202,000000,20.05,20.5154,19.9,20.1486,4063,0
MULL.US,D,20241203,000000,21.19,21.8301,20.6705,20.6705,11683,0
MULL.US,D,20241204,000000,20.9858,22.13,20.98,22.0925,2986,0
MULL.US,D,20241205,000000,22.38,22.449,21.0015,21.0721,12591,0
MULL.US,D,20241206,000000,21.29,21.4795,20.67,21.1663,8119,0
MULL.US,D,20241209,000000,21.5898,22.249,21.48,21.8491,5466,0
MULL.US,D,20241210,000000,22.15,22.15,19.59,19.8374,13102,0
MULL.US,D,20241211,000000,20.46,21.5,20.26,21.4345,17804,0
MULL.US,D,20241212,000000,21.29,21.29,19.6538,19.8731,23005,0
MULL.US,D,20241213,000000,20.5,21.6986,20.5,21.5,35948,0
MULL.US,D,20241216,000000,22.9,25.02,22.41,23.92,139367,0
MULL.US,D,20241217,000000,24.71,24.8447,23.621,24.0675,50819,0
MULL.US,D,20241218,000000,24.63,25.5,21.67,21.87,157349,0
MULL.US,D,20241219,000000,16.08,16.21,13.68,14.71,350508,0
MULL.US,D,20241220,000000,14.02,15.7,13.6101,15.6749,130727,0
MULL.US,D,20241223,000000,15.7,15.93,15.146381,15.61,45592,0
MULL.US,D,20241224,000000,15.57,15.57,15.09,15.45,33567,0
MULL.US,D,20241226,000000,15.22,15.88,15.105,15.6474,48696,0
MULL.US,D,20241227,000000,15.24,15.32,14.9,15.15,27891,0
MULL.US,D,20241230,000000,14.3,14.54,13.84,14.0958,43615,0
MULL.US,D,20241231,000000,14.14,14.4,13.66,13.6728,50223,0
MULL.US,D,20250102,000000,13.97,14.685,13.97,14.685,25206,0
MULL.US,D,20250103,000000,14.85,15.635269,14.8,15.5438,51448,0
MULL.US,D,20250106,000000,17.46,19.5,17.46,18.81,68932,0
MULL.US,D,20250107,000000,20.33,21.59,19.525,19.8,139918,0
MULL.US,D,20250108,000000,20.3323,20.34,18.46,18.81,44602,0
MULL.US,D,20250110,000000,18.22,19.11,17.868,18.79,39168,0
MULL.US,D,20250113,000000,17.3737,17.3737,16.23,17.17,26551,0
MULL.US,D,20250114,000000,17.55,17.95,17.24,17.94,51059,0
MULL.US,D,20250115,000000,18.79,20.32,18.79,20.11,33414,0
MULL.US,D,20250116,000000,20.56,20.67,19.59,19.9126,19150,0
MULL.US,D,20250117,000000,20.08,21.08,20,21,25827,0
MULL.US,D,20250121,000000,20.89,22.715,20.89,22.45,29890,0
MULL.US,D,20250122,000000,22.47,22.7361,21.83,22.37,21692,0
MULL.US,D,20250123,000000,20.67,21.101,20,20.56,40250,0
MULL.US,D,20250124,000000,20.74,20.74,19.76,19.96,19937,0
MULL.US,D,20250127,000000,16.73,17.0766,14.2688,15.265,93606,0
MULL.US,D,20250128,000000,15.79,15.79,14.26,14.32,103132,0
MULL.US,D,20250129,000000,14.86,14.96,14.18,14.57,72976,0
MULL.US,D,20250130,000000,15.09,15.8799,15,15.63,77552,0
MULL.US,D,20250131,000000,15.26,16.22,15.18,15.18,123894,0
MULL.US,D,20250203,000000,14.4,15.176,14.24,14.74,31236,0
MULL.US,D,20250204,000000,14.46,15.19,14.46,14.94,40209,0
MULL.US,D,20250205,000000,14.95,15.97,14.909,15.97,41787,0
MULL.US,D,20250206,000000,16.46,16.89,16.0151,16.24,31499,0
MULL.US,D,20250207,000000,16.58,16.7,15.281,15.53,27618,0
MULL.US,D,20250210,000000,15.75,16.7822,15.75,16.75,49316,0
MULL.US,D,20250211,000000,16.19,16.6499,15.949,16.05,69153,0
MULL.US,D,20250212,000000,14.44,15.55,13.8,15.22,80216,0
MULL.US,D,20250213,000000,15.33,16.63,15.33,16.52,74660,0
