<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NAOV.US,D,20171102,000000,92,92,73.6,90,1950.7,0
NAOV.US,D,20171106,000000,97.8,97.8,85.002,89.95,891.3,0
NAOV.US,D,20171107,000000,91.6,92,90,90.084,722.35,0
NAOV.US,D,20171108,000000,91,94,90,94,277.35,0
NAOV.US,D,20171109,000000,85,93.9,85,90,355.25,0
NAOV.US,D,20171110,000000,90,94,85.6,92.2,947.5,0
NAOV.US,D,20171113,000000,90,92.8,90,90,247,0
NAOV.US,D,20171114,000000,88,93.4,88,91.6,142.85,0
NAOV.US,D,20171115,000000,92,92.8,85.402,91.8,337.85,0
NAOV.US,D,20171116,000000,90.03,93,90,90,132.85,0
NAOV.US,D,20171117,000000,93.2,93.4,87.4,93.4,404.8,0
NAOV.US,D,20171120,000000,92,93.4,91,93.4,349,0
NAOV.US,D,20171121,000000,90,92,90,92,174.15,0
NAOV.US,D,20171122,000000,90,93.4,90,92,291.6,0
NAOV.US,D,20171124,000000,90,91.6,90,90.8,246.35,0
NAOV.US,D,20171127,000000,92,92,90.5,91,208.55,0
NAOV.US,D,20171128,000000,91,92,90,91,395.35,0
NAOV.US,D,20171129,000000,88,92,80.4,91,11696.8,0
NAOV.US,D,20171130,000000,91,95.4,85,93,3679.65,0
NAOV.US,D,20171201,000000,95.8,95.8,85.6,85.6,895.8,0
NAOV.US,D,20171204,000000,91.2,93.4,87.2,90,831.1,0
NAOV.US,D,20171205,000000,89.34,93,88,88.8,2205.65,0
NAOV.US,D,20171206,000000,86.4,92,86,92,424,0
NAOV.US,D,20171207,000000,85.17,92,85.17,91,461.2,0
NAOV.US,D,20171208,000000,82.8,91,82.8,90,709,0
NAOV.US,D,20171211,000000,91.6,91.6,88.8,89.8,697.8,0
NAOV.US,D,20171212,000000,90,92,88,89.8,584.75,0
NAOV.US,D,20171213,000000,91,92,88.578,89.4,1582.9,0
NAOV.US,D,20171214,000000,89.4,92,88,89.6,844.05,0
NAOV.US,D,20171215,000000,94.4,94.4,84.4,84.4,2285.35,0
NAOV.US,D,20171218,000000,87.4,93.4,86,90,937.15,0
NAOV.US,D,20171219,000000,93,93,90,90,27,0
NAOV.US,D,20171220,000000,92.2,93.2,90.402,91.9,207.95,0
NAOV.US,D,20171221,000000,91.8,92.6,89.8,90,139,0
NAOV.US,D,20171222,000000,91.8,93.2,89.202,92.4,140.3,0
NAOV.US,D,20171226,000000,92,92,92,92,41.95,0
NAOV.US,D,20171227,000000,92,93.4,83.204,93.4,335.05,0
NAOV.US,D,20171228,000000,93,97.998,86.4,93.6,635.55,0
NAOV.US,D,20171229,000000,93.6,98,88.6,93.6,591.65,0
NAOV.US,D,20180102,000000,93.6,93.6,90.4,90.4,88.25,0
NAOV.US,D,20180103,000000,88.6,96,88,92.2,2208.65,0
NAOV.US,D,20180104,000000,93.6,93.6,89.6,92.802,425.35,0
NAOV.US,D,20180105,000000,92.9,93.4,91,93.4,542.8,0
NAOV.US,D,20180109,000000,92.4,93.6,92,93.4,305,0
NAOV.US,D,20180110,000000,74.8,94.4,74.8,93.8,286.5,0
NAOV.US,D,20180111,000000,93.6,93.6,93.6,93.6,5.9,0
NAOV.US,D,20180112,000000,93.6,98,91.43,97.4,389.05,0
NAOV.US,D,20180116,000000,97.2,98,89.4,89.4,466.95,0
NAOV.US,D,20180117,000000,92.6,92.6,86.6,89,235.3,0
NAOV.US,D,20180118,000000,92.6,93.6,89,90.8,321.85,0
NAOV.US,D,20180119,000000,93.398,97.6,90,93.6,2404.3,0
NAOV.US,D,20180122,000000,93.4,93.4,90,90.4,586.85,0
NAOV.US,D,20180123,000000,93,93.4,90.002,93,646.8,0
NAOV.US,D,20180124,000000,91,93.6,84.4,92.8,486.35,0
NAOV.US,D,20180125,000000,87,88,87,87.824,300.4,0
NAOV.US,D,20180126,000000,87.8,91.4,84,88.8,408.5,0
NAOV.US,D,20180129,000000,92.8,92.8,91,91,14.7,0
NAOV.US,D,20180130,000000,87,94.332,87,94.332,542.6,0
NAOV.US,D,20180131,000000,91.696,95.6,90.8,94,348.2,0
NAOV.US,D,20180201,000000,93.6,93.6,89.8,89.8,15.25,0
NAOV.US,D,20180202,000000,91.4,93.6,91.4,93.6,30.25,0
NAOV.US,D,20180205,000000,93.6,93.6,87.6,91,238.95,0
NAOV.US,D,20180206,000000,91.2,95.6,90.778,94.8,188.75,0
NAOV.US,D,20180207,000000,89,93.6,89,91.6,134.6,0
NAOV.US,D,20180208,000000,92,96,92,95.704,137.6,0
NAOV.US,D,20180209,000000,95.8,96,93.552,96,128.8,0
NAOV.US,D,20180212,000000,96,96,93.7,94.8,341.2,0
NAOV.US,D,20180213,000000,92,92,92,92,12.65,0
NAOV.US,D,20180214,000000,92,92,90,92,165,0
NAOV.US,D,20180215,000000,92,96,85.38,92.4,176.8,0
NAOV.US,D,20180220,000000,91.598,91.598,86,86,19.05,0
NAOV.US,D,20180221,000000,91.998,91.998,86.8,86.8,20,0
NAOV.US,D,20180222,000000,92,92,86.8,86.8,15.5,0
NAOV.US,D,20180223,000000,90,95.998,88,90,106.1,0
NAOV.US,D,20180226,000000,91,91,86,86,10,0
NAOV.US,D,20180227,000000,90.8,90.8,90.8,90.8,10.5,0
NAOV.US,D,20180228,000000,91,96,91,95.6,641.15,0
NAOV.US,D,20180301,000000,92,96,92,95,91,0
NAOV.US,D,20180302,000000,93.4,96,88.6,88.6,23,0
NAOV.US,D,20180305,000000,86,95.2,85.2,93,457.1,0
NAOV.US,D,20180306,000000,92.4,93,86.3,87.6,461.2,0
NAOV.US,D,20180307,000000,89,94,84,86.8,445.55,0
NAOV.US,D,20180308,000000,89.4,89.6,80.8,88.8,1908.1,0
NAOV.US,D,20180309,000000,88.8,93.2,82,92,1772.7,0
NAOV.US,D,20180312,000000,92,92,90,92,2158.7,0
NAOV.US,D,20180313,000000,85.8,94,85.8,93,2758,0
NAOV.US,D,20180314,000000,90.4,90.4,89.8,89.8,36.15,0
NAOV.US,D,20180315,000000,87.6,92,85.202,86.2,132,0
NAOV.US,D,20180316,000000,88.4,95.8,88.4,95.8,29.1,0
NAOV.US,D,20180319,000000,89,89,89,89,6.45,0
NAOV.US,D,20180320,000000,87.4,92,86.6,86.6,45.2,0
NAOV.US,D,20180321,000000,97,98,93,96,9131.7,0
NAOV.US,D,20180322,000000,95.6,96.98,95,96.2,2777.8,0
NAOV.US,D,20180323,000000,96,96.98,92.56,94,1101,0
NAOV.US,D,20180326,000000,93.6,97.218,87,90.8,1211.3,0
NAOV.US,D,20180327,000000,90.6,97.398,88.2,95.2,272.75,0
NAOV.US,D,20180328,000000,95,97,88.4,95.4,1561.6,0
NAOV.US,D,20180329,000000,95.2,97.4,91.8,95.2,4385,0
NAOV.US,D,20180402,000000,95,100,88.8,88.8,1301.7,0
NAOV.US,D,20180403,000000,92,97,90.2,90.2,437.9,0
NAOV.US,D,20180404,000000,95,97,95,97,248.35,0
NAOV.US,D,20180405,000000,96,97,90,96.6,395.2,0
NAOV.US,D,20180406,000000,95.2,95.2,90,92.6,96.75,0
NAOV.US,D,20180409,000000,95,95,90,91.2,353.35,0
NAOV.US,D,20180410,000000,95,95,93.584,94.8,165,0
NAOV.US,D,20180411,000000,93.8,93.8,91,93.6,283.95,0
NAOV.US,D,20180412,000000,91.808,92.416,91.808,92.416,66.8,0
NAOV.US,D,20180413,000000,92,92.66,92,92.46,83.65,0
NAOV.US,D,20180416,000000,92,95,92,95,94.55,0
NAOV.US,D,20180418,000000,94,94,92.2,92.2,123,0
NAOV.US,D,20180419,000000,90.514,93.8,87.2,87.4,135.1,0
NAOV.US,D,20180420,000000,87.2,90,87.2,90,77.95,0
NAOV.US,D,20180423,000000,90,94.998,90,92,499.25,0
NAOV.US,D,20180424,000000,91.92,91.92,91.92,91.92,9.65,0
NAOV.US,D,20180425,000000,88.3,89.6,87.952,88.8,307.25,0
NAOV.US,D,20180426,000000,88.6,90,87,89,524.15,0
NAOV.US,D,20180427,000000,89.8,90,89.8,90,110.05,0
NAOV.US,D,20180430,000000,88,95,88,94.6,911.9,0
NAOV.US,D,20180501,000000,94,94.4,88.6,93.8,152.5,0
NAOV.US,D,20180502,000000,94.8,95,89.6,92.4,84.1,0
NAOV.US,D,20180503,000000,90.2,91.2,88.954,91.2,215.6,0
NAOV.US,D,20180504,000000,91,92,90.6,91.6,482.15,0
NAOV.US,D,20180507,000000,89.802,91.6,89.802,90.6,132.5,0
NAOV.US,D,20180508,000000,90.246,90.6,90,90,307.2,0
NAOV.US,D,20180509,000000,87.4,92.2,87,90.9,394.4,0
NAOV.US,D,20180510,000000,92,92.4,88.202,92.2,377.1,0
NAOV.US,D,20180511,000000,92.5,95,92.5,94,2131.2,0
NAOV.US,D,20180514,000000,91,94,91,93.8,55.8,0
NAOV.US,D,20180515,000000,93.634,93.634,91.134,91.134,31,0
NAOV.US,D,20180516,000000,88.8,88.8,88.8,88.8,6.35,0
NAOV.US,D,20180517,000000,90.6,94,90.6,92,412.2,0
NAOV.US,D,20180518,000000,92,95,92,94.2,684.4,0
NAOV.US,D,20180521,000000,94,96,93.5,96,303.6,0
NAOV.US,D,20180522,000000,94,95.8,89.6,95.6,380.65,0
NAOV.US,D,20180523,000000,94,94,92.204,93.8,221,0
NAOV.US,D,20180524,000000,91.14,93.8,91.14,92.8,81.1,0
NAOV.US,D,20180525,000000,92.8,95.4,92.8,94,238.65,0
NAOV.US,D,20180529,000000,93,95.6,93,93,241.45,0
NAOV.US,D,20180530,000000,91,93,91,92.2,113.2,0
NAOV.US,D,20180531,000000,91,95,89.436,93.4,1064.05,0
NAOV.US,D,20180601,000000,93,100,92.8,93,1287.7,0
NAOV.US,D,20180604,000000,93,95.2,93,95.2,143.25,0
NAOV.US,D,20180605,000000,97.4,98.538,92.2,96,849.1,0
NAOV.US,D,20180606,000000,96,96.348,92.4,93,529,0
NAOV.US,D,20180607,000000,93,98.998,90,90.2,1229.75,0
NAOV.US,D,20180608,000000,95.002,96.216,90.2,90.2,808.85,0
NAOV.US,D,20180611,000000,92.6,92.8,75,84.8,560.7,0
NAOV.US,D,20180612,000000,88.2,100,79.6,100,2106.85,0
NAOV.US,D,20180613,000000,100,100,86.98,93.8,2149.6,0
NAOV.US,D,20180614,000000,93.6,94.4,90,92,206.7,0
NAOV.US,D,20180615,000000,92,93.8,89.6,89.6,238.7,0
NAOV.US,D,20180618,000000,87.4,91.4,85.6,85.6,225.5,0
NAOV.US,D,20180619,000000,85.6,86.6,83.33,85,288.95,0
NAOV.US,D,20180620,000000,84,85.56,84,85.56,76.8,0
NAOV.US,D,20180622,000000,86.6,96,86.6,94,1238.4,0
NAOV.US,D,20180625,000000,91.8,92,89.31,89.31,51.5,0
NAOV.US,D,20180626,000000,90,95.4,88,92,910.1,0
NAOV.US,D,20180627,000000,93.2,93.6,93.2,93.6,131,0
NAOV.US,D,20180628,000000,96.2,97,95,97,111.75,0
NAOV.US,D,20180629,000000,96.4,97,95,95.8,472.5,0
NAOV.US,D,20180702,000000,95.5,99.6,91.2,91.2,1041.65,0
NAOV.US,D,20180703,000000,91,93.548,89.796,92,393.7,0
NAOV.US,D,20180705,000000,90.8,93.6,90.8,92.8,561.85,0
NAOV.US,D,20180706,000000,91,96,91,93.6,738.4,0
NAOV.US,D,20180709,000000,91.38,95.8,90.44,95.8,385.65,0
NAOV.US,D,20180710,000000,92,93.2,90.27,93.2,398.05,0
NAOV.US,D,20180711,000000,93,94.6,90.6,92.8,578,0
