<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NAYA.US,D,20201116,000000,63.4,63.4,60.8,61.2,4353.65,0
NAYA.US,D,20201117,000000,61,68.4,60.8,67.3,8647.85,0
NAYA.US,D,20201118,000000,69,69,66.6,67.86,4296,0
NAYA.US,D,20201119,000000,66.4,67.8,62.6,65,3222,0
NAYA.US,D,20201120,000000,67,67,64.4,65,344.65,0
NAYA.US,D,20201123,000000,64.8,64.8,61.6,62.76,1322.65,0
NAYA.US,D,20201124,000000,62,63,61.8,61.8,550.8,0
NAYA.US,D,20201125,000000,62,64.1,59,63.4,3060,0
NAYA.US,D,20201127,000000,64,64.8,63.196,64.5,670,0
NAYA.US,D,20201130,000000,60,66,59.6,64.8,3128.85,0
NAYA.US,D,20201201,000000,64,64,60.4,62.8,1216.7,0
NAYA.US,D,20201202,000000,63,64.2,61.668,63.6,1225.5,0
NAYA.US,D,20201203,000000,63,63,60.24,62.1,1130.55,0
NAYA.US,D,20201204,000000,61.8,63,61.2,62.8,692.75,0
NAYA.US,D,20201207,000000,65,65,62.5,62.9,1123.8,0
NAYA.US,D,20201208,000000,63,63.2,61.4,61.936,954.8,0
NAYA.US,D,20201209,000000,60.6,62.8,60.6,62.446,220.1,0
NAYA.US,D,20201210,000000,62.996,62.996,61.09,62.49,786.9,0
NAYA.US,D,20201211,000000,61.368,62,60,60.8,751.4,0
NAYA.US,D,20201214,000000,61.8,65,60,64,4809.9,0
NAYA.US,D,20201215,000000,65,66.794,62.4,63.2,4740.1,0
NAYA.US,D,20201216,000000,64.2,64.8,62,62.8,1731.9,0
NAYA.US,D,20201217,000000,64,69,62.9,68.4,5777.95,0
NAYA.US,D,20201218,000000,69,71,61.8,61.8,7479.1,0
NAYA.US,D,20201221,000000,61.6,64.728,60.8,61.8,2844.6,0
NAYA.US,D,20201222,000000,61.614,61.9,60.8,61.8,1132.35,0
NAYA.US,D,20201223,000000,61.2,62.8,61,61.6,1217.8,0
NAYA.US,D,20201224,000000,61.174,63,61.174,61.4,1244.2,0
NAYA.US,D,20201228,000000,60.6,62,60,60,2286.9,0
NAYA.US,D,20201229,000000,62.4,62.6,60.2,61,3048.4,0
NAYA.US,D,20201230,000000,60.6,61.74,60,60.8,1431.1,0
NAYA.US,D,20201231,000000,62,62,60.2,60.2,2911.45,0
NAYA.US,D,20210104,000000,62.4,62.4,60.258,61.4,2541.2,0
NAYA.US,D,20210105,000000,62,62.6,60.4,61.402,3012.2,0
NAYA.US,D,20210106,000000,60.6,62.6,60.4,61.2,2424.65,0
NAYA.US,D,20210107,000000,62,62.4,58,59.8,6301.2,0
NAYA.US,D,20210108,000000,60.8,61.4,59.2,61,2078.5,0
NAYA.US,D,20210111,000000,60.8,60.8,59.7,60.2,1454.95,0
NAYA.US,D,20210112,000000,60,60.6,59,60,2890.65,0
NAYA.US,D,20210113,000000,60.004,60.6,59.2,59.6,1085.65,0
NAYA.US,D,20210114,000000,60.2,61.4,59.202,61.2,1729.2,0
NAYA.US,D,20210115,000000,60,62.6,59.6,60.8,5534.6,0
NAYA.US,D,20210119,000000,62.2,64.4,61.002,62.8,5980.4,0
NAYA.US,D,20210120,000000,62.4,64.4,60,62.2,5094.1,0
NAYA.US,D,20210121,000000,63.4,63.4,61.632,62.5,2041.65,0
NAYA.US,D,20210122,000000,62,62.4,60.4,62.1,1271.6,0
NAYA.US,D,20210125,000000,60.4,63.15,60.4,61.4,4350.65,0
NAYA.US,D,20210126,000000,61.4,62.4,60.4,62.2,3590.8,0
NAYA.US,D,20210127,000000,61.4,61.4,60,60.8,4249.75,0
NAYA.US,D,20210128,000000,61.2,63,59.2,61.6,8226.55,0
NAYA.US,D,20210129,000000,60.2,61.6,59.2,59.2,3353.15,0
NAYA.US,D,20210201,000000,60.8,61.2,59.202,61,3238,0
NAYA.US,D,20210202,000000,61,63.6,61,62.6,5190.9,0
NAYA.US,D,20210203,000000,62.8,63.052,62.2,62.2,1117.95,0
NAYA.US,D,20210204,000000,62.8,65.2,62.6,65,4102.95,0
NAYA.US,D,20210205,000000,64.8,66.4,63,66.4,3038.45,0
NAYA.US,D,20210208,000000,64.2,72.6,64.2,69.8,9576.35,0
NAYA.US,D,20210209,000000,70.8,71.4,69.2,69.2,4819.9,0
NAYA.US,D,20210210,000000,71,72,68,69.6,3368.45,0
NAYA.US,D,20210211,000000,72.2,81,69.4,76.6,13661.35,0
NAYA.US,D,20210212,000000,80.2,90,75.2,78,25438.75,0
NAYA.US,D,20210216,000000,79.4,84.9,73.4,78.6,6600,0
NAYA.US,D,20210217,000000,82,89.8,82,87.6,20370.65,0
NAYA.US,D,20210218,000000,80.4,85.94,75.328,79,6332.6,0
