<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NCNCF.US,D,20230829,000000,2.08,2.38,1.73,2,5778171,0
NCNCF.US,D,20230830,000000,1.96,2.0053,1.58,1.6,6882493,0
NCNCF.US,D,20230831,000000,2.34,2.75,2,2.1,49335318,0
NCNCF.US,D,20230901,000000,1.83,1.87,1.63,1.74,3932573,0
NCNCF.US,D,20230905,000000,1.75,1.77,1.45,1.51,3594971,0
NCNCF.US,D,20230906,000000,1.43,1.45,1.2501,1.29,2103349,0
NCNCF.US,D,20230907,000000,1.26,1.2812,0.97,1.04,2410883,0
NCNCF.US,D,20230908,000000,1.04,1.05,0.901,0.9185,1196555,0
NCNCF.US,D,20230911,000000,1,1.46,0.9862,1.23,18547644,0
NCNCF.US,D,20230912,000000,1.34,1.34,1.13,1.31,4380811,0
NCNCF.US,D,20230913,000000,1.3,1.3,1.18,1.28,1138775,0
NCNCF.US,D,20230914,000000,1.24,1.24,1.04,1.14,1335694,0
NCNCF.US,D,20230915,000000,1.16,1.17,1.09,1.13,508769,0
NCNCF.US,D,20230918,000000,1.1,1.11,1,1.03,682190,0
NCNCF.US,D,20230919,000000,1.04,1.06,0.86,0.9584,1153463,0
NCNCF.US,D,20230920,000000,1.01,1.01,0.825,1,805223,0
NCNCF.US,D,20230921,000000,0.97,1.01,0.97,0.9997,327828,0
NCNCF.US,D,20230922,000000,1,1,0.97,0.973,223719,0
NCNCF.US,D,20230925,000000,0.99,1.02,0.94,0.9401,322192,0
NCNCF.US,D,20230926,000000,0.95,1.03,0.93,1.03,358529,0
NCNCF.US,D,20230927,000000,1.08,1.1,1.01,1.03,324502,0
NCNCF.US,D,20230928,000000,1.08,1.08,1.03,1.07,891614,0
NCNCF.US,D,20230929,000000,1.07,1.23,1.04,1.18,954938,0
NCNCF.US,D,20231002,000000,1.17,1.17,1.07,1.11,392850,0
NCNCF.US,D,20231003,000000,1.12,1.12,1.02,1.03,288609,0
NCNCF.US,D,20231004,000000,1.06,1.08,0.97,0.9768,230664,0
NCNCF.US,D,20231005,000000,1.04,1.04,0.9675,0.98,179440,0
NCNCF.US,D,20231006,000000,0.9803,0.99,0.9462,0.95,259470,0
NCNCF.US,D,20231009,000000,0.97,0.97,0.9115,0.9223,172056,0
NCNCF.US,D,20231010,000000,0.95,0.974,0.879899,0.88,316957,0
NCNCF.US,D,20231011,000000,0.9443,0.9443,0.835,0.84,278186,0
NCNCF.US,D,20231012,000000,0.8417,0.855499,0.752,0.752,355789,0
NCNCF.US,D,20231013,000000,0.7665,0.7665,0.6708,0.6851,336975,0
NCNCF.US,D,20231016,000000,0.7,0.719,0.63,0.6652,304484,0
NCNCF.US,D,20231017,000000,0.655,0.689,0.628,0.631,204165,0
NCNCF.US,D,20231018,000000,0.65,0.6517,0.54,0.5409,537407,0
NCNCF.US,D,20231019,000000,0.55,0.5562,0.44,0.451,627420,0
NCNCF.US,D,20231020,000000,0.45,0.4557,0.4,0.4171,498831,0
NCNCF.US,D,20231023,000000,0.44,0.44,0.398,0.3992,957419,0
NCNCF.US,D,20231024,000000,0.4054,0.417,0.35,0.41,5755846,0
NCNCF.US,D,20231025,000000,0.4129,0.42,0.381,0.4,1036195,0
NCNCF.US,D,20231026,000000,0.42,0.42,0.3521,0.369,841880,0
NCNCF.US,D,20231027,000000,0.3769,0.3769,0.355001,0.3647,266818,0
NCNCF.US,D,20231030,000000,0.3603,0.3646,0.352,0.362,213391,0
NCNCF.US,D,20231031,000000,0.36,0.372,0.36,0.372,334526,0
NCNCF.US,D,20231101,000000,0.3769,0.408,0.37,0.4071,524127,0
NCNCF.US,D,20231102,000000,0.4336,0.4336,0.3802,0.3979,796518,0
NCNCF.US,D,20231103,000000,0.389,0.39,0.3621,0.382,1005693,0
NCNCF.US,D,20231106,000000,0.383,0.3987,0.3252,0.33,1119414,0
NCNCF.US,D,20231107,000000,0.3453,0.3453,0.3,0.307,995813,0
NCNCF.US,D,20231108,000000,0.35,0.3501,0.28,0.3125,1756215,0
NCNCF.US,D,20231109,000000,0.34,0.379,0.3125,0.3741,6256684,0
NCNCF.US,D,20231110,000000,0.38,0.386999,0.2826,0.299,4428656,0
NCNCF.US,D,20231113,000000,0.287,0.305,0.2204,0.229,2968426,0
NCNCF.US,D,20231114,000000,0.2348,0.2563,0.23,0.2458,1019352,0
NCNCF.US,D,20231115,000000,0.2574,0.265,0.248,0.261,738936,0
NCNCF.US,D,20231116,000000,0.26,0.2787,0.26,0.269,1054576,0
NCNCF.US,D,20231117,000000,0.2643,0.289,0.2531,0.268,972039,0
NCNCF.US,D,20231120,000000,0.28,0.28,0.2501,0.2549,990550,0
NCNCF.US,D,20231121,000000,0.2542,0.26,0.2329,0.245,863010,0
NCNCF.US,D,20231122,000000,0.244,0.259,0.22,0.2298,1069881,0
NCNCF.US,D,20231124,000000,0.2389,0.2389,0.2301,0.2315,269919,0
NCNCF.US,D,20231127,000000,0.25,0.265,0.2015,0.2132,3447392,0
NCNCF.US,D,20231128,000000,0.2121,0.22,0.21,0.22,1052777,0
NCNCF.US,D,20231129,000000,0.2167,0.255,0.213,0.2465,1038027,0
NCNCF.US,D,20231130,000000,0.259,0.259,0.233,0.2451,382887,0
NCNCF.US,D,20231201,000000,0.2445,0.275,0.239,0.2567,867600,0
NCNCF.US,D,20231204,000000,0.26,0.2637,0.26,0.26,544518,0
NCNCF.US,D,20231205,000000,0.26,0.2656,0.26,0.264,347707,0
NCNCF.US,D,20231206,000000,0.27,0.2745,0.2447,0.2649,324062,0
NCNCF.US,D,20231207,000000,0.265,0.265,0.2301,0.249,298881,0
NCNCF.US,D,20231208,000000,0.26,0.27,0.2501,0.255,526060,0
NCNCF.US,D,20231211,000000,0.256,0.265,0.255,0.256,632619,0
NCNCF.US,D,20231212,000000,0.26,0.265,0.26,0.26,1299207,0
NCNCF.US,D,20231213,000000,0.26,0.26,0.23475,0.24,535347,0
NCNCF.US,D,20231214,000000,0.24,0.2468,0.23,0.233,201906,0
NCNCF.US,D,20231215,000000,0.23,0.2307,0.2,0.205,1400065,0
NCNCF.US,D,20231218,000000,0.2099,0.213,0.1821,0.185,888426,0
NCNCF.US,D,20231219,000000,0.185,0.19,0.167,0.17,751359,0
NCNCF.US,D,20231220,000000,0.174,0.1832,0.174,0.1818,368254,0
NCNCF.US,D,20231221,000000,0.18,0.185,0.1692,0.174,470096,0
NCNCF.US,D,20231222,000000,0.1774,0.181,0.1735,0.1798,383468,0
NCNCF.US,D,20231226,000000,0.1835,0.19,0.1753,0.187,2249649,0
NCNCF.US,D,20231227,000000,0.199,0.219,0.1843,0.197,10253082,0
NCNCF.US,D,20231228,000000,0.2097,0.223,0.198,0.2118,14464757,0
NCNCF.US,D,20231229,000000,0.2,0.2,0.175,0.1853,2679623,0
NCNCF.US,D,20240102,000000,0.183,0.1953,0.18,0.1916,1579135,0
NCNCF.US,D,20240103,000000,0.1887,0.189,0.1709,0.177,2293070,0
NCNCF.US,D,20240104,000000,0.17,0.1764,0.1651,0.1731,1629785,0
NCNCF.US,D,20240105,000000,0.17,0.171,0.1606,0.163,1140722,0
NCNCF.US,D,20240108,000000,0.16,0.162,0.1544,0.1555,1469902,0
NCNCF.US,D,20240109,000000,0.159,0.159,0.1545,0.157,638968,0
NCNCF.US,D,20240110,000000,0.158,0.16,0.154,0.1552,727983,0
NCNCF.US,D,20240111,000000,0.156,0.156,0.154,0.1549,357748,0
NCNCF.US,D,20240112,000000,0.159,0.1681,0.155,0.1672,943466,0
NCNCF.US,D,20240116,000000,0.175,0.1766,0.1529,0.159,1718946,0
NCNCF.US,D,20240117,000000,0.1619,0.162,0.1539,0.159,802867,0
NCNCF.US,D,20240118,000000,0.1599,0.1599,0.149,0.151,550339,0
NCNCF.US,D,20240119,000000,0.15,0.152,0.14,0.1424,727782,0
NCNCF.US,D,20240122,000000,0.14,0.141,0.1275,0.13515,872614,0
NCNCF.US,D,20240123,000000,0.1346,0.14,0.1314,0.1374,316373,0
NCNCF.US,D,20240124,000000,0.1368,0.1398,0.128,0.13,298302,0
NCNCF.US,D,20240125,000000,0.13,0.1317,0.1241,0.128,455132,0
NCNCF.US,D,20240126,000000,0.1273,0.1398,0.1273,0.1367,454420,0
NCNCF.US,D,20240129,000000,0.136,0.149,0.131,0.1406,474777,0
NCNCF.US,D,20240130,000000,0.14,0.1489,0.135,0.1488,644162,0
NCNCF.US,D,20240131,000000,0.18,0.18,0.1413,0.149,1373172,0
NCNCF.US,D,20240201,000000,0.15,0.1534,0.14,0.149,289559,0
NCNCF.US,D,20240202,000000,0.15,0.1644,0.15,0.1643,609280,0
NCNCF.US,D,20240205,000000,0.17,0.1989,0.1629,0.1785,4254930,0
NCNCF.US,D,20240206,000000,0.18,0.183,0.1512,0.1682,1378010,0
NCNCF.US,D,20240207,000000,0.17,0.1732,0.1616,0.169,501335,0
NCNCF.US,D,20240208,000000,0.175,0.1796,0.1601,0.171,512488,0
NCNCF.US,D,20240209,000000,0.17,0.1768,0.17,0.1726,452331,0
NCNCF.US,D,20240212,000000,0.18,0.21,0.1726,0.2097,1852398,0
NCNCF.US,D,20240213,000000,0.2068,0.2515,0.2002,0.2425,5124121,0
NCNCF.US,D,20240214,000000,0.27,0.27,0.22,0.227,1431613,0
NCNCF.US,D,20240215,000000,0.2195,0.2195,0.185,0.1959,1194172,0
NCNCF.US,D,20240216,000000,0.1983,0.2088,0.19,0.2046,341826,0
