<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NMHI.US,D,20240313,000000,76.5,82.5,69.6,70.2,2997.1999970028,0
NMHI.US,D,20240314,000000,69.3,69.3,51.3,52.8,3045.3666636213,0
NMHI.US,D,20240315,000000,54.3,68.55,52.5,54,11546.999988453,0
NMHI.US,D,20240318,000000,54.9,54.915,36,47.7,3741.1999962588,0
NMHI.US,D,20240319,000000,46.5,48,40.5,43.2,2006.0999979939,0
NMHI.US,D,20240320,000000,45,47.4,27,27.66,174397.93315894,0
NMHI.US,D,20240321,000000,26.904,28.5,25.803,27,11688.433321645,0
NMHI.US,D,20240322,000000,27,28.347,25.203,26.547,5593.5666610731,0
NMHI.US,D,20240325,000000,27,27,24.45,25.0695,4696.1999953038,0
NMHI.US,D,20240326,000000,26.1,26.58,24.015,26.1,6074.7333272586,0
NMHI.US,D,20240327,000000,25.23,27.435,24,27.3,10392.433322941,0
NMHI.US,D,20240328,000000,27.6,31.8,25.845,28.308,7387.9333259454,0
NMHI.US,D,20240401,000000,29.1,29.52,26.4,28.5,2929.1333304042,0
NMHI.US,D,20240402,000000,28.455,29.271,27.399,28.455,1560.8666651058,0
NMHI.US,D,20240403,000000,27.45,28.5,25.53,27.9,3548.2333297851,0
NMHI.US,D,20240404,000000,27.9,30.6,27.003,29.724,3048.7999969512,0
NMHI.US,D,20240405,000000,29.133,30,27.456,28.497,4832.0333285013,0
NMHI.US,D,20240408,000000,27.3,30.897,25.2,28.569,9201.4666574652,0
NMHI.US,D,20240409,000000,28.5,33.3,28.2,32.403,6174.9666604917,0
NMHI.US,D,20240410,000000,32.4,40.2,30.9,33.975,13538.399986462,0
NMHI.US,D,20240411,000000,34.5,35.769,28.515,29.7,4725.2333286081,0
NMHI.US,D,20240412,000000,28.809,30.9,27.9,29.1,4186.8999958131,0
NMHI.US,D,20240415,000000,30.75,31.479,29.046,29.1,4071.333329262,0
NMHI.US,D,20240416,000000,28.203,30.3,27,27.9,3592.1333297412,0
NMHI.US,D,20240417,000000,28.2,30,27.306,28.2,5751.0333275823,0
