<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NNAGR.US,D,20231011,000000,0.23,0.2301,0.23,0.23,840264,0
NNAGR.US,D,20231012,000000,0.23,0.23,0.23,0.23,284600,0
NNAGR.US,D,20231013,000000,0.22,0.22,0.2198,0.2198,55580,0
NNAGR.US,D,20231016,000000,0.22,0.2201,0.22,0.2201,44420,0
NNAGR.US,D,20231017,000000,0.1901,0.21,0.19,0.21,230830,0
NNAGR.US,D,20231018,000000,0.2199,0.23,0.2,0.22,127701,0
NNAGR.US,D,20231030,000000,0.17,0.1901,0.15,0.16,118100,0
NNAGR.US,D,20231101,000000,0.17,0.17,0.15,0.1501,203600,0
NNAGR.US,D,20231102,000000,0.16,0.16,0.16,0.16,5000,0
NNAGR.US,D,20231103,000000,0.161,0.161,0.1401,0.1401,22365,0
NNAGR.US,D,20231106,000000,0.16,0.16,0.16,0.16,50000,0
NNAGR.US,D,20231113,000000,0.16,0.16,0.16,0.16,15001,0
NNAGR.US,D,20231115,000000,0.16,0.16,0.16,0.16,50000,0
NNAGR.US,D,20231121,000000,0.1401,0.1401,0.1401,0.1401,50000,0
NNAGR.US,D,20231122,000000,0.14,0.14,0.14,0.14,96138,0
NNAGR.US,D,20231127,000000,0.16,0.18,0.155,0.1799,2300,0
NNAGR.US,D,20231128,000000,0.18,0.18,0.18,0.18,40000,0
NNAGR.US,D,20231129,000000,0.1416,0.195,0.1416,0.174,11305,0
NNAGR.US,D,20231208,000000,0.17,0.17,0.17,0.17,14620,0
NNAGR.US,D,20231212,000000,0.155,0.155,0.155,0.155,577,0
NNAGR.US,D,20231213,000000,0.155,0.155,0.15,0.15,28100,0
NNAGR.US,D,20231218,000000,0.16,0.16,0.16,0.16,6923,0
NNAGR.US,D,20231219,000000,0.16,0.16,0.16,0.16,43155,0
NNAGR.US,D,20231220,000000,0.16,0.1601,0.16,0.16,30100,0
NNAGR.US,D,20231227,000000,0.15,0.15,0.15,0.15,2000,0
NNAGR.US,D,20231229,000000,0.15,0.15,0.15,0.15,2326,0
NNAGR.US,D,20240104,000000,0.1601,0.17,0.16,0.17,17069,0
NNAGR.US,D,20240108,000000,0.1501,0.1501,0.1501,0.1501,500,0
NNAGR.US,D,20240110,000000,0.15,0.15,0.15,0.15,35000,0
NNAGR.US,D,20240117,000000,0.1501,0.1501,0.15,0.1501,20633,0
NNAGR.US,D,20240118,000000,0.1501,0.1501,0.1501,0.1501,100,0
NNAGR.US,D,20240119,000000,0.1501,0.1501,0.1501,0.1501,100,0
NNAGR.US,D,20240122,000000,0.15,0.1501,0.15,0.15,17391,0
NNAGR.US,D,20240123,000000,0.15,0.1501,0.15,0.15,14433,0
NNAGR.US,D,20240124,000000,0.15,0.17,0.15,0.17,5800,0
NNAGR.US,D,20240125,000000,0.15,0.1501,0.15,0.15,14791,0
NNAGR.US,D,20240207,000000,0.1201,0.1201,0.1201,0.1201,1000,0
NNAGR.US,D,20240209,000000,0.1202,0.1202,0.1201,0.1202,1200,0
