<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NPABU.US,D,20240313,000000,10.14,10.4,10.14,10.4,282,0
NPABU.US,D,20240319,000000,10.51,10.78,10.51,10.78,2050,0
NPABU.US,D,20240409,000000,10.78,11,10.78,11,400,0
NPABU.US,D,20240528,000000,11.07,12.09,11.07,12.07,24178,0
NPABU.US,D,20240529,000000,11.39,13.19,11.31,11.8,24229,0
NPABU.US,D,20240530,000000,11.62,13.4,11.35,13.37,5294,0
NPABU.US,D,20240531,000000,12.4,14.3,11.4,12.3,8071,0
NPABU.US,D,20240603,000000,12.38,16.13,11.5,12.64,26987,0
NPABU.US,D,20240604,000000,12.1,16.4,11.25,14,31043,0
NPABU.US,D,20240605,000000,12.98,15.86,12.01,13.26,52562,0
NPABU.US,D,20240606,000000,13.8,14,11.6,11.73,11169,0
NPABU.US,D,20240607,000000,12,14.24,12,12.8,24608,0
NPABU.US,D,20240610,000000,13.33,15.39,13.11,14.3,54319,0
NPABU.US,D,20240611,000000,13.88,16.4,13.15,14.75,46967,0
NPABU.US,D,20240612,000000,15,18.2,13.45,14.09,20680,0
NPABU.US,D,20240613,000000,14.5,15.4,12.07,12.5,42307,0
NPABU.US,D,20240617,000000,11.85,11.9,11.7,11.9,1892,0
NPABU.US,D,20240618,000000,11.33,12.39,11.33,11.82,15217,0
NPABU.US,D,20240620,000000,11.8,12.2,11.8,12,25771,0
NPABU.US,D,20240621,000000,12.3,12.6,12.09,12.35,39637,0
NPABU.US,D,20240624,000000,12.99,13.13,12.02,12.26,29409,0
NPABU.US,D,20240625,000000,11.81,13.7,11.8,13.1,99784,0
NPABU.US,D,20240626,000000,13.1,13.2,12.3999,12.85,80542,0
NPABU.US,D,20240627,000000,13,13.4,12.51,13,67472,0
NPABU.US,D,20240628,000000,13.09,13.16,12.38,12.7,182893,0
NPABU.US,D,20240701,000000,12.65,13.4,12.65,12.81,45725,0
NPABU.US,D,20240702,000000,12.6,12.65,12.35,12.65,3621,0
NPABU.US,D,20240708,000000,12.2,12.5,11.81,12,1489,0
NPABU.US,D,20240709,000000,12.5,12.5,12,12,1989,0
NPABU.US,D,20240715,000000,12.4,12.49,12.2,12.2,3155,0
NPABU.US,D,20240716,000000,12.2,12.5,11.81,12.32,115845,0
NPABU.US,D,20240717,000000,12.3,15.2699,12.2,14.47,103366,0
NPABU.US,D,20240718,000000,16.14,16.24,13.35,13.85,7883,0
NPABU.US,D,20240719,000000,13,14,13,14,1298,0
NPABU.US,D,20240722,000000,13.9,14,13.5,13.99,1336,0
NPABU.US,D,20240723,000000,14.01,20.2,13.82,16,22062,0
NPABU.US,D,20240724,000000,15.84,15.84,15.84,15.84,404,0
NPABU.US,D,20240725,000000,13.5,15.6,13.49,14.72,22695,0
NPABU.US,D,20240726,000000,14.12,14.7,12.17,13.4,8281,0
NPABU.US,D,20240729,000000,11.91,13.25,11.61,12,8218,0
NPABU.US,D,20240730,000000,12.8,13.7,12.7,13,13277,0
NPABU.US,D,20240731,000000,12.9,12.9,12.9,12.9,450,0
NPABU.US,D,20240801,000000,13.4,13.51,13.01,13.01,763,0
NPABU.US,D,20240802,000000,12.55,12.55,12.2,12.2,725,0
NPABU.US,D,20240805,000000,12.21,12.21,11.5,11.5,692,0
NPABU.US,D,20240806,000000,12,12.4,12,12.2,3126,0
NPABU.US,D,20240807,000000,12.71,12.71,12.7,12.7,693,0
NPABU.US,D,20240808,000000,11.73,12,11.66,12,2180,0
NPABU.US,D,20240813,000000,11.23,11.26,11.21,11.23,1018,0
NPABU.US,D,20240814,000000,11.49,11.49,11.49,11.49,104,0
NPABU.US,D,20240816,000000,11.89,11.89,11.89,11.89,534,0
NPABU.US,D,20240821,000000,11.51,12.3,11.5,11.5,9040,0
NPABU.US,D,20240822,000000,11.6,11.61,11.6,11.6,435,0
NPABU.US,D,20240823,000000,11.8,11.8,11.79,11.79,480,0
NPABU.US,D,20240826,000000,11.79,11.89,11.79,11.89,471,0
NPABU.US,D,20240830,000000,11.99,11.99,11.99,11.99,123,0
NPABU.US,D,20240904,000000,12.25,12.94,12.25,12.77,3077,0
NPABU.US,D,20240909,000000,12.73,12.98,12.73,12.98,2737,0
NPABU.US,D,20240911,000000,12.12,12.89,12.12,12.89,403,0
NPABU.US,D,20240918,000000,12.1,12.1,11.97,12.1,3218,0
NPABU.US,D,20240919,000000,12.3,12.3,12.3,12.3,256,0
NPABU.US,D,20240925,000000,12.1,12.1,12.1,12.1,500,0
NPABU.US,D,20241002,000000,11.51,11.65,11.51,11.65,717,0
NPABU.US,D,20241009,000000,12.69,12.69,12.4,12.5,5012,0
NPABU.US,D,20241031,000000,12.4,12.4,12.4,12.4,831,0
NPABU.US,D,20241105,000000,11.2,12.2,11.2,12.2,1187,0
