<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NVDW.US,D,20240905,000000,20.31,20.47,20.31,20.4277,529,0
NVDW.US,D,20240906,000000,20.54,20.54,18.6945,18.909,1260,0
NVDW.US,D,20240909,000000,19.76,20.0632,19.53,20.0632,643,0
NVDW.US,D,20240910,000000,20.38,20.5607,20.0799,20.5607,827,0
NVDW.US,D,20240911,000000,21.36,23.4628,21.36,23.4628,520,0
NVDW.US,D,20240912,000000,24.16,24.55,23.88,24.1211,4272,0
NVDW.US,D,20240913,000000,24.14,24.14,23.92,24.0957,3343,0
NVDW.US,D,20240916,000000,23.4,23.4,22.75,23.2744,8762,0
NVDW.US,D,20240917,000000,23.74,23.74,22.7,22.7956,5905,0
NVDW.US,D,20240918,000000,22.621,23.3504,22.0883,22.0883,7070,0
NVDW.US,D,20240919,000000,24.11,24.12,23.6803,23.6803,1406,0
NVDW.US,D,20240920,000000,23.13,23.13,22.93,23.0183,1980,0
NVDW.US,D,20240923,000000,23.1,23.1,23.07,23.0737,2562,0
NVDW.US,D,20240924,000000,24.53,24.79,24.46,24.597,1768,0
NVDW.US,D,20240925,000000,25.02,25.97,25.02,25.5407,2486,0
NVDW.US,D,20240926,000000,25.489,25.7432,25.489,25.7432,954,0
NVDW.US,D,20240927,000000,25.429,25.429,24.2885,24.8047,3118,0
NVDW.US,D,20240930,000000,24.61,24.8233,24.075,24.8233,956,0
NVDW.US,D,20241001,000000,24.3,24.3,23.11,23.2713,1634,0
NVDW.US,D,20241002,000000,23.88,23.989,23.6201,23.87,2138,0
NVDW.US,D,20241003,000000,24.8899,25.761,24.8899,25.3057,1353,0
NVDW.US,D,20241004,000000,25.789,26.0331,25.72,26.0331,1079,0
NVDW.US,D,20241007,000000,27.33,27.33,27.0667,27.0667,1170,0
NVDW.US,D,20241008,000000,28.05,29.1,28.05,28.9083,2133,0
NVDW.US,D,20241009,000000,29.21,29.24,28.631,28.8483,5458,0
NVDW.US,D,20241010,000000,28.49,29.6068,28.42,29.6068,2515,0
NVDW.US,D,20241011,000000,29.52,29.6147,29.52,29.6147,658,0
NVDW.US,D,20241014,000000,30.25,31.429,30.25,30.8429,2770,0
NVDW.US,D,20241015,000000,30.68,30.68,28.02,28.5171,2412,0
NVDW.US,D,20241016,000000,29.4,30.04,28.9,29.8785,2456,0
NVDW.US,D,20241017,000000,31.92,32.08,30.41,30.4555,1360,0
NVDW.US,D,20241018,000000,30.84,30.98,30.74,30.815,3803,0
NVDW.US,D,20241021,000000,32.15,32.9125,31.75,32.9125,5273,0
NVDW.US,D,20241022,000000,33.279,33.279,32.62,32.9676,4052,0
NVDW.US,D,20241023,000000,32.29,32.29,30.86,31.3996,3572,0
NVDW.US,D,20241024,000000,31.4,31.77,31.12,31.7265,2589,0
NVDW.US,D,20241025,000000,32.45,33.0042,32.1627,32.1627,2032,0
NVDW.US,D,20241028,000000,32.42,32.42,31.72,31.7527,3908,0
NVDW.US,D,20241029,000000,31.85,32.33,31.75,31.9913,2813,0
