<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NXU.US,D,20220928,000000,36598.5,36598.5,6750,11272.5,1597.0866746521,0
NXU.US,D,20220929,000000,7548,9000,4890,5092.5,1415.9466737464,0
NXU.US,D,20220930,000000,5395.5,5579.98,3000,3060,2106.1533438641,0
NXU.US,D,20221003,000000,3487.5,3644.98,2325,2770.5,2044.9133435579,0
NXU.US,D,20221004,000000,2482.5,2595,2115.01,2145,2328.6200116431,0
NXU.US,D,20221005,000000,2130,2160,1807.5,1879.5,1314.4200065721,0
NXU.US,D,20221006,000000,1875,4648.5,1875,3673.5,38224.053524454,0
NXU.US,D,20221007,000000,3210,3910.5,2383.5,2845.5,9569.8067145157,0
NXU.US,D,20221010,000000,2670,3599.98,2670,3175.5,3869.4733526807,0
NXU.US,D,20221011,000000,4101,4320,3037.5,3450,13343.500066717,0
NXU.US,D,20221012,000000,3367.5,3642.97,3105,3231,1695.9800084799,0
NXU.US,D,20221013,000000,3037.5,3082.5,2724.01,2904,1051.3133385899,0
NXU.US,D,20221014,000000,2971.5,3015,2599.5,2765.25,900.5866711696,0
NXU.US,D,20221017,000000,2847,2850,2550,2611.5,1439.1133405289,0
NXU.US,D,20221018,000000,2604,2657.1,2310,2355,785.1533372591,0
NXU.US,D,20221019,000000,2373,2464.5,2140.29,2173.5,934.6600046733,0
NXU.US,D,20221020,000000,2101.5,2310,2025,2049,1015.6400050782,0
NXU.US,D,20221021,000000,2049,2137.5,1988.2,2055,317.9133349229,0
NXU.US,D,20221024,000000,1996.5,2096.26,1950,1951.5,735.3666703435,0
NXU.US,D,20221025,000000,1978.5,2905.5,1978.5,2247,12664.293396655,0
NXU.US,D,20221026,000000,2247,2379.37,1978.5,2100,1764.6533421566,0
NXU.US,D,20221027,000000,2128.5,2159.98,1972.51,2019.75,728.3400036417,0
NXU.US,D,20221028,000000,1969.5,2093.98,1913.25,1978.5,814.7400040737,0
NXU.US,D,20221031,000000,2004,2068.5,1921.5,1958.25,429.7666688155,0
