<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NYMTG.US,D,20250116,000000,25.02,25.25,25.0115,25.14,24642,0
NYMTG.US,D,20250117,000000,25.15,25.15,25.05,25.15,6322,0
NYMTG.US,D,20250121,000000,25.15,25.25,25.14,25.2,23085,0
NYMTG.US,D,20250122,000000,25.07,25.24,25.07,25.2,45923,0
NYMTG.US,D,20250123,000000,25.17,25.4,25.17,25.28,17795,0
NYMTG.US,D,20250124,000000,25.3,25.69,25.17,25.25,33396,0
NYMTG.US,D,20250127,000000,25.25,25.25,25.19,25.25,8610,0
NYMTG.US,D,20250128,000000,25.2,25.25,25.18,25.24,13621,0
NYMTG.US,D,20250129,000000,25.19,25.28,25.19,25.25,2945,0
NYMTG.US,D,20250130,000000,25.3,25.3,25.1,25.18,18601,0
NYMTG.US,D,20250131,000000,25.23,25.23,25.08,25.17,13715,0
NYMTG.US,D,20250203,000000,25.14,25.18,25.1,25.15,4718,0
NYMTG.US,D,20250204,000000,25.204,25.21,25.1,25.1899,23675,0
NYMTG.US,D,20250205,000000,25.14,25.23,25.13,25.19,10538,0
NYMTG.US,D,20250206,000000,25.2,25.2,25.19,25.19,1044,0
NYMTG.US,D,20250207,000000,25.1993,25.1993,25.13,25.17,10581,0
NYMTG.US,D,20250210,000000,25.15,25.29,25.14,25.29,8641,0
NYMTG.US,D,20250211,000000,25.16,25.16,25.1,25.12,20650,0
NYMTG.US,D,20250212,000000,25.1,25.21,25.08,25.1,20177,0
NYMTG.US,D,20250213,000000,25.1,25.15,25.08,25.1,8275,0
