<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OACCW.US,D,20241218,000000,0.5,0.55,0.5,0.55,187500,0
OACCW.US,D,20241223,000000,0.65,0.65,0.65,0.65,50033,0
OACCW.US,D,20241224,000000,0.75,0.75,0.68695,0.68695,705,0
OACCW.US,D,20241227,000000,0.712,0.712,0.65,0.7,31658,0
OACCW.US,D,20241230,000000,0.61,0.61,0.61,0.61,1556,0
OACCW.US,D,20241231,000000,0.71999,0.936,0.65,0.8788,7016,0
OACCW.US,D,20250102,000000,1.24,1.24,0.8788,0.8788,35488,0
OACCW.US,D,20250103,000000,1.22,1.22,0.74,1.13,2209,0
OACCW.US,D,20250106,000000,1.15,1.15,1.13,1.13,1760,0
OACCW.US,D,20250107,000000,1.04,1.06,0.84,0.9,6707,0
OACCW.US,D,20250113,000000,0.7387,0.7387,0.72,0.72,11541,0
OACCW.US,D,20250114,000000,0.75,0.75,0.72,0.75,53250,0
OACCW.US,D,20250115,000000,0.75,0.75,0.75,0.75,10124,0
OACCW.US,D,20250121,000000,0.8,0.83,0.74775,0.74775,9720,0
OACCW.US,D,20250122,000000,0.72,0.73,0.71,0.72,23607,0
OACCW.US,D,20250123,000000,0.73,0.82,0.73,0.75,4110,0
OACCW.US,D,20250127,000000,0.68,0.894,0.68,0.8,15224,0
OACCW.US,D,20250128,000000,0.8,0.8,0.68,0.725,6594,0
OACCW.US,D,20250129,000000,0.68,0.68,0.68,0.68,2420,0
OACCW.US,D,20250130,000000,0.71,0.7325,0.68,0.68,1093,0
OACCW.US,D,20250131,000000,0.68,0.776,0.65001,0.688751,9620,0
OACCW.US,D,20250205,000000,0.67,0.67,0.67,0.67,103,0
OACCW.US,D,20250210,000000,0.67,0.777,0.67,0.777,388,0
OACCW.US,D,20250213,000000,0.74,0.8,0.6708,0.6708,5478,0
