<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OM.US,D,20200915,000000,52,61.75,49.76,60.68,5329905,0
OM.US,D,20200916,000000,54.75,60.03,53.08,60.03,712369,0
OM.US,D,20200917,000000,57,65,51.97,58.02,818260,0
OM.US,D,20200918,000000,59.86,63.28,59,60.01,421972,0
OM.US,D,20200921,000000,58.9,59.9,52.27,55,1137182,0
OM.US,D,20200922,000000,55.31,56.4,51.9,53.63,297909,0
OM.US,D,20200923,000000,54.43,57.78,53.22,54.35,197404,0
OM.US,D,20200924,000000,53.27,55.7,51.901,51.98,152930,0
OM.US,D,20200925,000000,52.94,53.545,51.35,51.8,265681,0
OM.US,D,20200928,000000,51.74,53,51.07,51.73,178812,0
OM.US,D,20200929,000000,51.74,52.525,48.1,49.75,348451,0
OM.US,D,20200930,000000,49.26,50.43,48.6,50,239472,0
OM.US,D,20201001,000000,49.45,50,45.99,45.99,275252,0
OM.US,D,20201002,000000,44.88,46.28,44.09,45.8,298144,0
OM.US,D,20201005,000000,45.09,46.65,44.6,44.65,350070,0
OM.US,D,20201006,000000,45.17,46.4,43.2501,43.26,433466,0
OM.US,D,20201007,000000,44,44.91,42.51,42.6,206227,0
OM.US,D,20201008,000000,43.5,45.77,43.06,44.5,255440,0
OM.US,D,20201009,000000,45.75,45.75,42.5,42.51,302892,0
OM.US,D,20201012,000000,43.76,47.69,43.32,43.83,628914,0
OM.US,D,20201013,000000,44,47.3,43.33,45.26,252354,0
OM.US,D,20201014,000000,46.79,47.47,45.46,46.06,238960,0
OM.US,D,20201015,000000,45.55,53.93,45.15,50.02,667261,0
OM.US,D,20201016,000000,51.7746,51.9678,47.65,48.05,145700,0
OM.US,D,20201019,000000,48.25,49.3891,47.52,47.88,178642,0
OM.US,D,20201020,000000,47.83,48.51,46.18,46.31,152349,0
OM.US,D,20201021,000000,46.2,46.9,45.1,45.25,132595,0
OM.US,D,20201022,000000,45.38,49.12,45.32,48.93,116719,0
OM.US,D,20201023,000000,48.69,50.4079,47.75,49.73,122243,0
OM.US,D,20201026,000000,49.02,50.4,46.44,47.91,163175,0
OM.US,D,20201027,000000,47.71,49.82,46.51,49.06,107437,0
OM.US,D,20201028,000000,47.96,48.72,46.585,48.13,188953,0
OM.US,D,20201029,000000,47.91,50.26,47.25,48.93,165331,0
OM.US,D,20201030,000000,48.33,48.8999,46.25,46.47,198774,0
OM.US,D,20201102,000000,47.06,47.1,42.57,44.87,266632,0
OM.US,D,20201103,000000,45.2,46.02,44.01,44.02,126768,0
OM.US,D,20201104,000000,44.53,45.41,43.09,44.73,160290,0
OM.US,D,20201105,000000,45.58,50.325,45.56,48.99,310832,0
OM.US,D,20201106,000000,48.99,49.89,47.54,48.67,105350,0
OM.US,D,20201109,000000,50.3,50.5,48.74,49.04,143297,0
OM.US,D,20201110,000000,48.16,48.99,45.58,46.63,144026,0
OM.US,D,20201111,000000,48.58,50,46.7,49.26,176290,0
OM.US,D,20201112,000000,47.01,51.9999,47.01,49.21,193158,0
OM.US,D,20201113,000000,49.5,52.83,49.5,52.55,180881,0
OM.US,D,20201116,000000,53.35,63.3999,52.895,60.45,446296,0
OM.US,D,20201117,000000,60,66.96,58.01,60.92,377588,0
OM.US,D,20201118,000000,61.7,61.74,56.0004,56.46,224484,0
OM.US,D,20201119,000000,56.7,61.48,56.7,59,173421,0
