<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OMH.US,D,20230321,000000,3.8,4.24,3.8,4,644400,0
OMH.US,D,20230322,000000,4.15,4.1503,4.07,4.14,25504,0
OMH.US,D,20230323,000000,4.1,4.195,4.06,4.18,92267,0
OMH.US,D,20230324,000000,4.13,4.31,4.13,4.2894,40146,0
OMH.US,D,20230327,000000,4.21,4.4,4.19,4.34,31136,0
OMH.US,D,20230328,000000,4.27,5.2,4.18,4.34,279245,0
OMH.US,D,20230329,000000,4.27,4.39,4.2401,4.28,181030,0
OMH.US,D,20230330,000000,4.3813,4.39,4.2,4.215,71990,0
OMH.US,D,20230331,000000,4.23,4.3405,4.22,4.27,39876,0
OMH.US,D,20230403,000000,4.52,5.09,3.8,4.06,440958,0
OMH.US,D,20230404,000000,4.09,4.2,4,4.12,122224,0
OMH.US,D,20230405,000000,4.085,4.15,4.0173,4.11,96540,0
OMH.US,D,20230406,000000,4.0411,4.36,4.0411,4.34,67208,0
OMH.US,D,20230410,000000,4.24,4.71,4.24,4.42,686927,0
OMH.US,D,20230411,000000,4.51,4.9,4.422,4.87,185659,0
OMH.US,D,20230412,000000,4.88,6.17,4.62,4.71,462220,0
OMH.US,D,20230413,000000,4.61,4.96,4.5,4.62,182317,0
OMH.US,D,20230414,000000,4.6,5.4,4.6,5.0732,689034,0
OMH.US,D,20230417,000000,5.9,6.34,4.63,4.96,210799,0
OMH.US,D,20230418,000000,5.08,5.12,4.86,4.88,23305,0
OMH.US,D,20230419,000000,4.75,5.7599,4.75,5.605,323118,0
OMH.US,D,20230420,000000,5.55,5.55,5,5.07,235638,0
OMH.US,D,20230421,000000,5.1,5.3175,5.1,5.1601,15146,0
OMH.US,D,20230424,000000,5.45,5.8,5.18,5.6147,60840,0
OMH.US,D,20230425,000000,5.61,6.9188,5.61,6.69,165914,0
OMH.US,D,20230426,000000,6.76,7.799,6.272,7.5,155504,0
OMH.US,D,20230427,000000,7.69,7.69,6.8,6.88,201287,0
OMH.US,D,20230428,000000,6.8,7.09,6.735,6.9,18986,0
OMH.US,D,20230501,000000,6.76,7.04,5.6309,5.98,198791,0
OMH.US,D,20230502,000000,6,6.1,5.85,5.86,20404,0
OMH.US,D,20230503,000000,5.76,6.095,5.48,5.85,61879,0
OMH.US,D,20230504,000000,5.7,5.81,5.15,5.6,53600,0
OMH.US,D,20230505,000000,5.6486,6.1991,5.6,6.1991,30298,0
OMH.US,D,20230508,000000,6.31,27.13,6.31,25.98,1286458,0
OMH.US,D,20230509,000000,17.39,18.7,9.8,12.52,2368475,0
OMH.US,D,20230510,000000,11.45,16,10.0006,13.2492,1426480,0
OMH.US,D,20230511,000000,12.57,14.88,11.31,14.51,517329,0
OMH.US,D,20230512,000000,13.8,20.5,12.5,18.46,1332269,0
OMH.US,D,20230515,000000,22.82,57,13.32,30.88,7892940,0
OMH.US,D,20230516,000000,31.84,32,5.53,6.35,12526328,0
OMH.US,D,20230517,000000,7.08,7.6044,5.6101,6.27,6994192,0
OMH.US,D,20230518,000000,6.08,6.13,5.281,5.47,1984338,0
OMH.US,D,20230519,000000,5.39,5.4399,4.8201,5.1,1335962,0
OMH.US,D,20230522,000000,4.9,7.14,4.86,5.2,9927789,0
OMH.US,D,20230523,000000,5.31,5.5699,4.95,5.02,2245119,0
OMH.US,D,20230524,000000,4.95,5.13,4.55,4.76,902384,0
OMH.US,D,20230525,000000,4.64,4.7628,4.17,4.42,750961,0
OMH.US,D,20230526,000000,4.48,5.07,4.3303,4.74,1346184,0
OMH.US,D,20230530,000000,4.5,4.6799,4.3101,4.32,507644,0
OMH.US,D,20230531,000000,4.35,4.49,4.27,4.45,379540,0
OMH.US,D,20230601,000000,4.43,4.84,4.3,4.6,888991,0
OMH.US,D,20230602,000000,4.63,4.7299,4.32,4.36,418060,0
OMH.US,D,20230605,000000,4.36,4.51,4.25,4.34,322630,0
OMH.US,D,20230606,000000,4.34,4.8,4.17,4.71,934625,0
OMH.US,D,20230607,000000,4.59,4.7799,4.41,4.61,278353,0
OMH.US,D,20230608,000000,4.52,4.625,4.45,4.54,197100,0
OMH.US,D,20230609,000000,4.45,4.56,4.35,4.48,129674,0
OMH.US,D,20230612,000000,4.56,5.618,4.42,5.5,1759932,0
OMH.US,D,20230613,000000,5.26,5.38,4.712,4.87,825077,0
OMH.US,D,20230614,000000,4.92,5.51,4.24,4.38,1972027,0
OMH.US,D,20230615,000000,4.38,4.46,4.27,4.36,300330,0
OMH.US,D,20230616,000000,4.31,4.63,4.29,4.48,553355,0
OMH.US,D,20230620,000000,4.4,4.5,4.26,4.5,182914,0
OMH.US,D,20230621,000000,4.4,4.6,4.28,4.6,181990,0
OMH.US,D,20230622,000000,4.52,4.56,4.34,4.54,186925,0
OMH.US,D,20230623,000000,4.46,4.5,4.27,4.38,111545,0
OMH.US,D,20230626,000000,4.35,4.3599,4.18,4.19,135959,0
OMH.US,D,20230627,000000,4.11,4.18,3.87,3.98,235398,0
OMH.US,D,20230628,000000,3.98,4.0874,3.9,3.9,131891,0
OMH.US,D,20230629,000000,3.95,4.0681,3.9,3.9,198926,0
OMH.US,D,20230630,000000,3.93,4.017,3.87,3.9,122153,0
OMH.US,D,20230703,000000,3.84,3.92,3.75,3.84,143619,0
OMH.US,D,20230705,000000,3.8,3.87,3.76,3.8,107474,0
OMH.US,D,20230706,000000,3.71,3.83,3.54,3.6,212628,0
OMH.US,D,20230707,000000,3.52,3.84,3.52,3.74,138255,0
OMH.US,D,20230710,000000,3.64,3.79,3.52,3.65,166944,0
OMH.US,D,20230711,000000,3.94,3.97,3.63,3.71,374200,0
OMH.US,D,20230712,000000,3.72,3.73,3.5,3.56,187289,0
OMH.US,D,20230713,000000,3.51,3.62,3.16,3.25,343418,0
OMH.US,D,20230714,000000,3.27,3.3999,3.26,3.33,98082,0
OMH.US,D,20230717,000000,3.27,3.36,3.18,3.18,97438,0
OMH.US,D,20230718,000000,3.19,3.25,2.87,2.91,326080,0
OMH.US,D,20230719,000000,2.87,3.2301,2.87,3.11,236151,0
OMH.US,D,20230720,000000,3.15,3.19,3.0015,3.11,63233,0
OMH.US,D,20230721,000000,3.25,3.25,3.05,3.18,77595,0
OMH.US,D,20230724,000000,3.15,3.26,3.1,3.26,49983,0
OMH.US,D,20230725,000000,3.25,3.25,3.03,3.03,74866,0
OMH.US,D,20230726,000000,3.07,3.19,3.07,3.1,71380,0
OMH.US,D,20230727,000000,3.05,3.15,3,3.01,53238,0
OMH.US,D,20230728,000000,2.96,3.05,2.9,2.92,99336,0
OMH.US,D,20230731,000000,2.99,3.07,2.8,2.8936,88086,0
OMH.US,D,20230801,000000,2.91,2.92,2.77,2.77,78890,0
OMH.US,D,20230802,000000,2.8198,2.8198,2.66,2.73,69049,0
OMH.US,D,20230803,000000,2.71,2.75,2.64,2.665,59029,0
OMH.US,D,20230804,000000,2.66,2.69,2.53,2.54,95773,0
OMH.US,D,20230807,000000,2.55,2.6499,2.3331,2.5,63943,0
OMH.US,D,20230808,000000,2.51,2.51,2.386,2.44,49094,0
OMH.US,D,20230809,000000,2.43,2.47,2.27,2.34,86664,0
OMH.US,D,20230810,000000,2.33,2.4096,2.23,2.235,48973,0
OMH.US,D,20230811,000000,2.2411,2.44,2.12,2.29,194522,0
OMH.US,D,20230814,000000,2.29,2.34,2.19,2.29,46763,0
OMH.US,D,20230815,000000,2.26,2.39,2.17,2.31,83851,0
OMH.US,D,20230816,000000,2.31,2.34,1.67,1.6801,312809,0
