<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OPGN.US,D,20150505,000000,530000,543000,457000,485000,7.3950000000000005,0
OPGN.US,D,20150506,000000,490000,544000,455000,465000,1.385,0
OPGN.US,D,20150507,000000,470000,498000,456000,465000,0.21000000000000002,0
OPGN.US,D,20150508,000000,455000,480000,419000,440000,0.35000000000000003,0
OPGN.US,D,20150511,000000,429000,432000,405000,415000,0.34500000000000003,0
OPGN.US,D,20150512,000000,402000,403000,387000,395000,0.675,0
OPGN.US,D,20150513,000000,395000,419000,385000,391000,0.65,0
OPGN.US,D,20150514,000000,380000,400000,379000,390000,0.17,0
OPGN.US,D,20150515,000000,382000,400000,382000,399000,0.35000000000000003,0
OPGN.US,D,20150518,000000,395000,400000,385000,396000,0.135,0
OPGN.US,D,20150519,000000,383000,388000,341000,383000,0.275,0
OPGN.US,D,20150520,000000,370000,390000,324000,345000,0.735,0
OPGN.US,D,20150521,000000,357000,358000,312000,336000,1.05,0
OPGN.US,D,20150522,000000,333000,356000,332000,340000,0.9,0
OPGN.US,D,20150526,000000,356000,370000,327000,365000,0.36000000000000004,0
OPGN.US,D,20150527,000000,374000,374000,350000,353000,0.13999999999999999,0
OPGN.US,D,20150528,000000,347000,393000,334000,390000,0.23500000000000001,0
OPGN.US,D,20150529,000000,369000,415000,369000,399000,0.34500000000000003,0
OPGN.US,D,20150601,000000,424000,424000,395000,412000,0.27999999999999997,0
OPGN.US,D,20150602,000000,417000,440000,400000,440000,0.52,0
OPGN.US,D,20150603,000000,430000,485000,430000,463000,0.435,0
OPGN.US,D,20150604,000000,472000,485000,470000,475000,0.305,0
OPGN.US,D,20150605,000000,465000,475000,430000,473000,0.13,0
OPGN.US,D,20150608,000000,453000,470000,450000,451000,0.18500000000000003,0
OPGN.US,D,20150609,000000,428000,449000,415000,434000,0.18500000000000003,0
OPGN.US,D,20150610,000000,445000,450000,415000,421000,0.08000000000000002,0
OPGN.US,D,20150611,000000,417000,452000,417000,440000,0.05500000000000001,0
OPGN.US,D,20150612,000000,440000,470000,418000,427000,0.22999999999999998,0
OPGN.US,D,20150615,000000,416000,465000,416000,455000,0.16000000000000003,0
OPGN.US,D,20150616,000000,447000,460000,436000,456000,0.09000000000000001,0
OPGN.US,D,20150617,000000,460000,460000,430000,447000,0.08000000000000002,0
OPGN.US,D,20150618,000000,444000,445000,381000,412000,0.275,0
OPGN.US,D,20150619,000000,413000,416000,387000,387000,0.365,0
OPGN.US,D,20150622,000000,398000,399000,386000,388000,0.034999999999999996,0
OPGN.US,D,20150623,000000,408160,423000,389000,390000,0.085,0
OPGN.US,D,20150624,000000,424000,424000,385000,403000,0.03,0
OPGN.US,D,20150625,000000,405000,437000,375000,403000,0.585,0
OPGN.US,D,20150626,000000,407000,410000,379000,387000,0.16000000000000003,0
OPGN.US,D,20150629,000000,377000,382000,366000,366000,0.06,0
OPGN.US,D,20150630,000000,365008,389140,365000,372000,0.065,0
OPGN.US,D,20150701,000000,364000,365000,362000,365000,0.04000000000000001,0
OPGN.US,D,20150702,000000,367000,388000,355000,372000,0.095,0
OPGN.US,D,20150706,000000,351000,409000,351000,362000,0.27,0
OPGN.US,D,20150707,000000,355000,360000,335000,335000,0.135,0
OPGN.US,D,20150708,000000,334000,339000,325000,327000,0.15500000000000003,0
OPGN.US,D,20150709,000000,350000,351000,326000,335000,0.1,0
OPGN.US,D,20150710,000000,327000,350000,324000,343000,1.09,0
OPGN.US,D,20150713,000000,341000,428000,326000,379000,0.895,0
OPGN.US,D,20150714,000000,400000,405000,375000,404000,1.17,0
OPGN.US,D,20150715,000000,408000,429000,386000,410000,0.45999999999999996,0
OPGN.US,D,20150716,000000,413000,425000,396000,408000,0.38,0
OPGN.US,D,20150717,000000,406000,419000,406000,415000,0.09000000000000001,0
OPGN.US,D,20150720,000000,416000,443000,415000,443000,0.34500000000000003,0
OPGN.US,D,20150721,000000,440000,440000,394000,396000,0.27999999999999997,0
OPGN.US,D,20150722,000000,396000,419000,386000,419000,0.10500000000000001,0
OPGN.US,D,20150723,000000,417000,417000,398000,398000,0.010000000000000002,0
OPGN.US,D,20150724,000000,392000,392000,363000,367000,0.215,0
OPGN.US,D,20150727,000000,359000,375000,317000,360000,1.035,0
OPGN.US,D,20150728,000000,373000,397000,346000,354000,0.54,0
OPGN.US,D,20150729,000000,350000,366000,328000,349000,0.505,0
OPGN.US,D,20150730,000000,334000,371000,334000,339000,0.11499999999999999,0
OPGN.US,D,20150731,000000,347000,382000,333000,333000,0.13999999999999999,0
OPGN.US,D,20150803,000000,330000,340992,307100,307100,0.125,0
OPGN.US,D,20150804,000000,311000,325000,311000,315000,0.08000000000000002,0
OPGN.US,D,20150805,000000,333000,333000,315000,322000,0.025,0
OPGN.US,D,20150806,000000,330000,330000,309000,309000,0.04000000000000001,0
OPGN.US,D,20150807,000000,319000,319000,308000,308000,0.04000000000000001,0
OPGN.US,D,20150810,000000,313000,319000,303000,303000,0.085,0
OPGN.US,D,20150811,000000,320000,320000,265000,285000,0.22999999999999998,0
OPGN.US,D,20150812,000000,320000,320000,240000,255000,0.36000000000000004,0
OPGN.US,D,20150813,000000,257000,275000,250000,272000,0.135,0
OPGN.US,D,20150814,000000,275000,275000,245000,249000,0.03,0
OPGN.US,D,20150817,000000,247000,257000,236000,255000,0.05500000000000001,0
OPGN.US,D,20150818,000000,253000,270000,249000,267000,0.06999999999999999,0
OPGN.US,D,20150819,000000,265000,265000,262000,263000,0.020000000000000004,0
OPGN.US,D,20150820,000000,240000,258000,236000,258000,0.034999999999999996,0
OPGN.US,D,20150821,000000,259000,263000,234000,253000,0.065,0
OPGN.US,D,20150824,000000,233000,245000,225912,237000,0.085,0
OPGN.US,D,20150825,000000,264000,267000,249000,265000,0.045000000000000005,0
OPGN.US,D,20150826,000000,266000,266000,236000,249000,0.085,0
OPGN.US,D,20150827,000000,235000,244000,235000,244000,0.010000000000000002,0
OPGN.US,D,20150828,000000,232000,277000,232000,259000,0.005000000000000001,0
OPGN.US,D,20150831,000000,228000,273000,224000,266000,0.095,0
OPGN.US,D,20150901,000000,233000,280000,233000,236000,0.025,0
OPGN.US,D,20150902,000000,229000,247000,229000,247000,0.010000000000000002,0
OPGN.US,D,20150903,000000,245000,254000,240000,249000,0.015,0
OPGN.US,D,20150904,000000,229000,239000,222000,225000,0.17500000000000002,0
OPGN.US,D,20150908,000000,236000,245000,221000,230000,0.12,0
OPGN.US,D,20150909,000000,238000,246000,225000,229000,0.1,0
OPGN.US,D,20150910,000000,245000,247000,225000,246000,0.08000000000000002,0
OPGN.US,D,20150911,000000,247000,247000,225000,230000,0.065,0
