<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OUSTW.US,D,20241224,000000,0.03,0.0325,0.021,0.03,24220,0
OUSTW.US,D,20241226,000000,0.025,0.035,0.025,0.035,14671,0
OUSTW.US,D,20241227,000000,0.036,0.0898,0.0211,0.0797,248657,0
OUSTW.US,D,20241230,000000,0.3383,0.3383,0.0731,0.1,196743,0
OUSTW.US,D,20241231,000000,0.07,0.0842,0.0515,0.06,55725,0
OUSTW.US,D,20250102,000000,0.0505,0.0577,0.0401,0.0559,18137,0
OUSTW.US,D,20250103,000000,0.06,0.06,0.0339,0.06,85878,0
OUSTW.US,D,20250106,000000,0.055,0.1,0.055,0.0891,28187,0
OUSTW.US,D,20250107,000000,0.1,0.1098,0.0761,0.089,70820,0
OUSTW.US,D,20250108,000000,0.0554,0.07,0.055001,0.0685,15654,0
OUSTW.US,D,20250110,000000,0.0684,0.0684,0.056,0.0561,15247,0
OUSTW.US,D,20250113,000000,0.056,0.09,0.035,0.0594,15402,0
OUSTW.US,D,20250114,000000,0.051,0.051,0.0486,0.049,3957,0
OUSTW.US,D,20250115,000000,0.05678,0.05678,0.021,0.0404,70796,0
OUSTW.US,D,20250116,000000,0.06,0.07,0.055,0.06,47699,0
OUSTW.US,D,20250117,000000,0.048,0.0648,0.048,0.048,18253,0
OUSTW.US,D,20250121,000000,0.05,0.0598,0.05,0.0598,26172,0
OUSTW.US,D,20250122,000000,0.0594,0.0598,0.0294,0.0351,39195,0
OUSTW.US,D,20250123,000000,0.03675,0.046,0.0262,0.0302,15829,0
OUSTW.US,D,20250124,000000,0.0301,0.04,0.0241,0.0336,29822,0
OUSTW.US,D,20250127,000000,0.0303,0.035001,0.03,0.035001,1969,0
OUSTW.US,D,20250128,000000,0.0301,0.030101,0.03,0.030101,1843,0
OUSTW.US,D,20250129,000000,0.0304,0.035051,0.0301,0.0302,3884,0
OUSTW.US,D,20250130,000000,0.0303,0.0303,0.0303,0.0303,101,0
OUSTW.US,D,20250131,000000,0.0301,0.0456,0.0301,0.0301,29733,0
OUSTW.US,D,20250203,000000,0.0301,0.0446,0.0301,0.0446,25560,0
OUSTW.US,D,20250204,000000,0.045,0.0501,0.0315,0.0315,26191,0
OUSTW.US,D,20250205,000000,0.0393,0.0393,0.0393,0.0393,12695,0
OUSTW.US,D,20250206,000000,0.099,0.099,0.0511,0.0724,185096,0
OUSTW.US,D,20250207,000000,0.0724,0.08,0.04,0.0601,56028,0
OUSTW.US,D,20250210,000000,0.05,0.062001,0.041,0.05,57938,0
OUSTW.US,D,20250211,000000,0.0427,0.0481,0.0401,0.0481,21118,0
OUSTW.US,D,20250212,000000,0.0401,0.0471,0.0401,0.0412,35491,0
OUSTW.US,D,20250213,000000,0.043799,0.0465,0.043799,0.0465,5487,0
