<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PCLA.US,D,20250116,000000,4,4.1,2.8209,2.84,980472,0
PCLA.US,D,20250117,000000,2.82,2.82,2.35,2.58,93965,0
PCLA.US,D,20250121,000000,2.61,2.61,2.21,2.5215,28733,0
PCLA.US,D,20250122,000000,2.52,2.6,2.23,2.35,67454,0
PCLA.US,D,20250123,000000,2.33,3.5,2.28,3.08,420976,0
PCLA.US,D,20250124,000000,3.05,5.53,3.05,4.55,3749186,0
PCLA.US,D,20250127,000000,4.71,6.36,4.3,5.29,1012687,0
PCLA.US,D,20250128,000000,5.25,5.4895,4.61,4.65,747250,0
PCLA.US,D,20250129,000000,4.75,5.2,4.7,5.05,150092,0
PCLA.US,D,20250130,000000,5.12,5.2,4.65,5.03,177382,0
PCLA.US,D,20250131,000000,5,5.47,4.9,5.16,269380,0
PCLA.US,D,20250203,000000,5.1,5.4,4.97,5.24,283281,0
PCLA.US,D,20250204,000000,5.3,5.7,5.2,5.44,660997,0
PCLA.US,D,20250205,000000,5.57,6.3899,5.44,6.35,1146619,0
PCLA.US,D,20250206,000000,6.29,6.99,6.1,6.52,1040440,0
PCLA.US,D,20250207,000000,6.6,7.31,6.32,7.1,862799,0
PCLA.US,D,20250210,000000,7.02,7.9,7,7.62,726636,0
PCLA.US,D,20250211,000000,7.65,8.98,6.74,7.81,2798708,0
PCLA.US,D,20250212,000000,7.96,8.6,7.66,8.42,1252166,0
PCLA.US,D,20250213,000000,8.32,8.8,8,8.03,2678486,0
