<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PFTA.US,D,20211001,000000,9.73,9.8,9.73,9.8,498,0
PFTA.US,D,20211004,000000,9.775,9.775,9.775,9.775,1226,0
PFTA.US,D,20211005,000000,9.8454,9.8454,9.775,9.775,203,0
PFTA.US,D,20211006,000000,9.68,9.77,9.68,9.7,5903,0
PFTA.US,D,20211007,000000,9.74,9.74,9.74,9.74,50032,0
PFTA.US,D,20211014,000000,9.7738,9.7738,9.7738,9.7738,434,0
PFTA.US,D,20211015,000000,9.75,9.75,9.75,9.75,6949,0
PFTA.US,D,20211018,000000,9.72,9.72,9.72,9.72,347,0
PFTA.US,D,20211019,000000,9.73,9.73,9.69,9.69,1751,0
PFTA.US,D,20211021,000000,9.7401,9.75,9.7401,9.75,2525,0
PFTA.US,D,20211025,000000,9.76,9.78,9.73,9.73,1241,0
PFTA.US,D,20211027,000000,9.725,9.725,9.725,9.725,134,0
PFTA.US,D,20211029,000000,9.73,9.73,9.73,9.73,111,0
PFTA.US,D,20211101,000000,9.74,9.74,9.74,9.74,82040,0
PFTA.US,D,20211102,000000,9.73,9.73,9.73,9.73,58806,0
PFTA.US,D,20211103,000000,9.71,9.73,9.71,9.73,5805,0
PFTA.US,D,20211104,000000,9.73,9.74,9.72,9.74,8500,0
PFTA.US,D,20211105,000000,9.75,9.75,9.75,9.75,100,0
PFTA.US,D,20211108,000000,9.73,9.76,9.68,9.68,180565,0
PFTA.US,D,20211109,000000,9.7099,9.71,9.67,9.67,9425,0
PFTA.US,D,20211110,000000,9.69,9.72,9.66,9.71,117420,0
PFTA.US,D,20211111,000000,9.7,9.71,9.7,9.71,519,0
PFTA.US,D,20211112,000000,9.7,9.7,9.6997,9.6997,621,0
PFTA.US,D,20211115,000000,9.7393,9.77,9.7393,9.74,10492,0
PFTA.US,D,20211118,000000,9.75,9.75,9.74,9.74,2806,0
PFTA.US,D,20211119,000000,9.8,9.8,9.73,9.73,713,0
PFTA.US,D,20211122,000000,9.72,9.75,9.72,9.75,12814,0
PFTA.US,D,20211123,000000,9.74,9.75,9.72,9.72,501257,0
PFTA.US,D,20211124,000000,9.75,9.75,9.75,9.75,106,0
PFTA.US,D,20211129,000000,9.74,9.74,9.72,9.72,3456,0
PFTA.US,D,20211130,000000,9.7,9.7,9.7,9.7,1000203,0
PFTA.US,D,20211203,000000,9.75,9.75,9.73,9.73,688,0
PFTA.US,D,20211206,000000,9.75,9.75,9.73,9.73,709,0
PFTA.US,D,20211207,000000,9.73,9.73,9.73,9.73,11202,0
PFTA.US,D,20211209,000000,9.74,9.86,9.74,9.86,9417,0
PFTA.US,D,20211210,000000,9.73,9.73,9.73,9.73,318,0
PFTA.US,D,20211214,000000,9.75,9.75,9.715,9.715,26604,0
PFTA.US,D,20211215,000000,9.71,9.71,9.7,9.7,34286,0
PFTA.US,D,20211216,000000,9.71,9.71,9.7,9.7,203,0
PFTA.US,D,20211220,000000,9.7,9.73,9.68,9.7,53066,0
PFTA.US,D,20211221,000000,9.68,9.68,9.68,9.68,328,0
PFTA.US,D,20211222,000000,9.74,9.74,9.74,9.74,1166,0
PFTA.US,D,20211227,000000,9.73,9.73,9.71,9.71,10302,0
